TIMESTAMP,ETF35624_OPEN_PRICE_USD,ETF35624_HIGH_PRICE_USD,ETF35624_LOW_PRICE_USD,ETF35624_CLOSE_PRICE_USD,ETF35624_VOLUME_USD,ETF35624_DIVIDENDS_USD,ETF35624_STOCK_SPLITS_USD
2025-03-22 00:00:00+00:00,9.600000339560211e-05,9.899999713525176e-05,9.40000027185306e-05,9.600000339560211e-05,291525,0.0,0.0
2025-03-23 00:00:00+00:00,9.600000339560211e-05,9.899999713525176e-05,9.500000305706635e-05,9.7999996796716e-05,303331,0.0,0.0
2025-03-24 00:00:00+00:00,9.7999996796716e-05,0.00010199999815085903,9.600000339560211e-05,9.999999747378752e-05,299102,0.0,0.0
2025-03-25 00:00:00+00:00,9.999999747378752e-05,0.00010399999882793054,9.7999996796716e-05,0.00010099999781232327,292657,0.0,0.0
2025-03-26 00:00:00+00:00,0.00010099999781232327,0.00010399999882793054,9.7999996796716e-05,9.899999713525176e-05,296307,0.0,0.0
2025-03-27 00:00:00+00:00,9.899999713525176e-05,0.00010099999781232327,9.7999996796716e-05,9.7999996796716e-05,293646,0.0,0.0
2025-03-28 00:00:00+00:00,9.7999996796716e-05,9.999999747378752e-05,9.200000204145908e-05,9.500000305706635e-05,291962,0.0,0.0
2025-03-29 00:00:00+00:00,9.500000305706635e-05,9.500000305706635e-05,8.800000068731606e-05,8.900000102585182e-05,296252,0.0,0.0
2025-03-30 00:00:00+00:00,8.900000102585182e-05,9.200000204145908e-05,8.70000003487803e-05,8.70000003487803e-05,294059,0.0,0.0
2025-03-31 00:00:00+00:00,8.70000003487803e-05,8.800000068731606e-05,7.999999797903001e-05,8.099999831756577e-05,298119,0.0,0.0
2025-04-01 00:00:00+00:00,8.099999831756577e-05,8.399999933317304e-05,7.699999696342275e-05,7.699999696342275e-05,287836,0.0,0.0
2025-04-02 00:00:00+00:00,7.699999696342275e-05,8.099999831756577e-05,7.400000322377309e-05,7.699999696342275e-05,301175,0.0,0.0
2025-04-03 00:00:00+00:00,7.699999696342275e-05,7.79999973019585e-05,7.300000288523734e-05,7.599999662488699e-05,296973,0.0,0.0
2025-04-04 00:00:00+00:00,7.599999662488699e-05,7.79999973019585e-05,7.300000288523734e-05,7.500000356230885e-05,298779,0.0,0.0
2025-04-05 00:00:00+00:00,7.500000356230885e-05,7.599999662488699e-05,7.300000288523734e-05,7.500000356230885e-05,290108,0.0,0.0
2025-04-06 00:00:00+00:00,7.500000356230885e-05,7.599999662488699e-05,6.600000051548705e-05,6.70000008540228e-05,294045,0.0,0.0
2025-04-07 00:00:00+00:00,6.70000008540228e-05,6.800000119255856e-05,4.999999873689376e-05,5.400000009103678e-05,293809,0.0,0.0
2025-04-08 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,5.2999999752501026e-05,5.2999999752501026e-05,293637,0.0,0.0
2025-04-09 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,5.2999999752501026e-05,5.400000009103678e-05,307749,0.0,0.0
2025-04-10 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,5.2999999752501026e-05,5.400000009103678e-05,132861,0.0,0.0
2025-04-11 00:00:00+00:00,5.400000009103678e-05,6.299999949987978e-05,5.2999999752501026e-05,6.199999916134402e-05,158843,0.0,0.0
2025-04-12 00:00:00+00:00,6.199999916134402e-05,6.199999916134402e-05,6.0999998822808266e-05,6.0999998822808266e-05,140799,0.0,0.0
2025-04-13 00:00:00+00:00,6.0999998822808266e-05,7.599999662488699e-05,5.999999848427251e-05,7.500000356230885e-05,131740,0.0,0.0
2025-04-14 00:00:00+00:00,7.500000356230885e-05,7.599999662488699e-05,7.400000322377309e-05,7.500000356230885e-05,133851,0.0,0.0
