,XRP
XRP,1.0
NEOS,0.7732464426900313
XLM,0.6924318430118657
ETH,0.584259288230706
LTC,0.5748795051411362
ZEC,0.5596443102467037
QTUM,0.5460125776514978
ETC,0.5233075755506413
IOTA,0.5227174702908721
DASH,0.5108378522652554
BAT,0.5008089044118352
BTC,0.4996453129320711
XMR,0.4778370489615649
XEM,0.4761768157594535
DGB,0.476157481584874
LSK,0.4698847406936112
SC,0.4631993594592163
ZEN,0.4536244878517944
KMD,0.4531295336977724
BTS,0.4509617038410931
NEWB,0.4437644936535337
AE,0.4236100598907253
DCR,0.4229597968273804
PIVX,0.4160617108623684
RLC,0.4153112906349609
WAVES,0.4145578323172441
FIRO,0.412625707455945
STEEM,0.4094138726678578
ARK,0.3987214488171295
GNO,0.394537242849998
GAS,0.3882247608295368
SYS,0.3872761003121555
SP,0.380056450967404
CYT,0.3520463783481953
NAV,0.3367437232246522
AMBER,0.3364977418680462
MONA,0.3222055458716786
JLP,0.3165781082367486
PPC,0.3072470034304044
VAL,0.2972344565742938
GRS,0.2914107968112107
GBYTE,0.291239196883556
LAMB,0.2837545826078137
DOGE,0.2795753368726666
TES,0.2768772360527828
CETI,0.2748612874757065
NXS,0.2714724974970919
XMS,0.2707280761184802
VTC,0.2638330813826683
MAID,0.2599817390534863
ANT,0.2555032757168793
WGR,0.2443249972941341
NMC,0.240910595281328
ZCL,0.2361257630292654
KIN,0.2348789194757104
BLK,0.2275507042860033
FTC,0.2226081224085005
2GIVE,0.2206592059825097
SNRG,0.2200538142724138
LBC,0.2187078367043003
LUNC,0.2135530803024837
BTCS,0.2093268335548909
PKB,0.2056650148710425
PLU,0.2016213094277349
XPX,0.2013170601071097
FOREX,0.1986743411195837
AV,0.1952135581923534
XDN,0.1920285953040817
VERI,0.190728063115784
C2,0.1853461182665035
SWING,0.1840700058778443
EQB,0.1778669649372088
EVIL,0.1758707024811166
SPR,0.1731632450640136
NOBL,0.1725323901449576
BCDN,0.1724624676203048
POST,0.1706077363888459
XCP,0.1663095922464806
XPY,0.1632076041033857
CRW,0.1607982746484711
CJ,0.1597169603370113
ENT,0.1541734408401746
ZET,0.1496087807878779
AGRS,0.1490925987027384
SKR,0.1454250844079358
XHI,0.145339746557048
AXIOM,0.1446461364323728
HBD,0.1436369537978077
IBANK,0.1405468353702237
BERN,0.1376340050013163
PXI,0.1370534317741732
42,0.1370067058445606
SKULL,0.1344579206105162
LUN,0.1334193692937043
BTB,0.1322046278264982
TAJ,0.1290579208098169
ZYD,0.1283940182051532
VLT,0.1280483616931709
ACOIN,0.1271754221534255
GLC,0.1266929326210894
ZENI,0.1261516062132935
EDRC,0.1255009071881812
VIDZ,0.1238476482945867
ADZ,0.1210198781396863
WBB,0.1176636149013476
HBN,0.116426327199465
XQN,0.1136455312886936
WINGS,0.1070394197956882
TECH,0.1070151392489867
VEC2,0.104359113248853
CSC,0.1038680047948741
XPM,0.1026556639767009
CLUB,0.1025993753865025
CAB,0.1016396813964814
BLU,0.1008907750275197
COOL,0.0990753096410126
OPAL,0.0987762944337865
XTO,0.0977331540699324
PXC,0.0966557530250961
CREVA,0.0959705251475194
KOBO,0.0953987989718303
RBY,0.0949123739102988
CF,0.093702619829297
LTCR,0.0918122109173534
DCY,0.0913694432473724
QTZ,0.0902867702536
FRN,0.0887777210960553
BITS,0.0877596132518226
ILC,0.086471511517203
AMS,0.085502470228537
DIME,0.0845932905729379
CANN,0.084047150062922
SANDG,0.0830625705786784
PUT,0.0826112912619391
HUSH,0.0826111086716888
EUC,0.0821364870468233
HMQ,0.0820249286942803
XBC,0.0815718539102962
CLAM,0.0805177777973623
START,0.0800885609953698
SIGNA,0.0798290795959096
IMS,0.0788249207278436
BCN,0.0775642656869936
LOG,0.0711123446246988
ICON,0.0703927907875968
LANA,0.0702085240642797
