,XRP
XLM,0.6136638983342622
ETH,0.4519047942602673
LTC,0.4397687827601168
IOTA,0.4064530595950959
ZEC,0.4052565453470454
DASH,0.3764677303901877
QTUM,0.3694128883277663
ETC,0.3545775954677648
BTC,0.350748827301186
XMR,0.3472041481778175
SP,0.3395705937732632
XEM,0.3306130444562201
BAT,0.3187052723160656
AMBER,0.3109116904677236
BTS,0.2987135951121717
NEWB,0.2944778065532211
DGB,0.2927909688506205
AE,0.2846184420512491
ZEN,0.2825501332861576
NEOS,0.2817697223384693
SC,0.2772356923127949
KMD,0.2580030906042342
LSK,0.2514895628994025
WAVES,0.2512450147582825
STEEM,0.2446019678974406
CYT,0.2367934202188446
XPY,0.208519616942556
DCR,0.2043261405212665
GNO,0.2038621515732478
JLP,0.2037856745512232
MONA,0.2016966933082092
FIRO,0.2002783148111752
RLC,0.1969852171225825
LUNC,0.1941904957965793
LKY,0.1901502933846631
TES,0.1875923600821035
SYS,0.1869982092228745
DOGE,0.1859401750181509
GBYTE,0.1834616529008831
ZCL,0.1665570512322695
ARK,0.1662190694897173
BTB,0.1604840249651019
IBANK,0.1590089858369325
SNRG,0.1565556723794085
ANT,0.1524327948877999
PKB,0.1520344132002489
BTCS,0.151446046435526
PIVX,0.1506694238270347
GAS,0.150207420400762
XDN,0.1491715609871688
ZET,0.1461212811765928
XMS,0.1398506712367827
LAMB,0.1391928961025008
2GIVE,0.1388498254576267
BLK,0.1385363602167207
NOBL,0.1364347738626035
HBD,0.1347579084863344
MAID,0.1325702596996216
VLT,0.1261445045560361
FTC,0.1252407319525318
POST,0.121525887952592
GRS,0.1213406524998106
PLU,0.1180064449746347
KIN,0.1164232620291349
HUSH,0.1148733359561045
SWING,0.1129176208864392
XHI,0.1077946233388042
BERN,0.1051127999671846
CARBON,0.1044329652168001
NMC,0.1032766545583506
NAV,0.1027001753329736
EVIL,0.1021524349217056
AV,0.1019692315710696
ADZ,0.1007742303616653
WDC,0.1005486493433535
C2,0.1003668786306546
CJ,0.1002988411479445
FRN,0.1000146673902431
BCDN,0.0997997822352437
VTC,0.0987757319532566
