TIMESTAMP,TRONDOG_OPEN_PRICE_USD,TRONDOG_HIGH_PRICE_USD,TRONDOG_LOW_PRICE_USD,TRONDOG_CLOSE_PRICE_USD,TRONDOG_VOLUME_USD,TRONDOG_DIVIDENDS_USD,TRONDOG_STOCK_SPLITS_USD
2024-08-28 00:00:00+00:00,0.001782999956049025,0.0026990000624209642,0.000977999996393919,0.0012159999459981918,391961,0.0,0.0
2024-08-29 00:00:00+00:00,0.0012159999459981918,0.0019369999645277858,0.0011480000102892518,0.0012839999981224537,4014860,0.0,0.0
2024-08-30 00:00:00+00:00,0.0012839999981224537,0.0015979999443516135,0.0012829999905079603,0.0014349999837577343,4278393,0.0,0.0
2024-08-31 00:00:00+00:00,0.0014349999837577343,0.0030360000673681498,0.001276999944821,0.002812999999150634,4768963,0.0,0.0
2024-09-01 00:00:00+00:00,0.002812999999150634,0.003771000076085329,0.0016560000367462635,0.0016580000519752502,6331546,0.0,0.0
2024-09-02 00:00:00+00:00,0.0016580000519752502,0.0021639999467879534,0.000666000007186085,0.0006880000000819564,4145205,0.0,0.0
2024-09-03 00:00:00+00:00,0.0006880000000819564,0.000813000020571053,0.0005080000264570117,0.0006479999865405262,2233713,0.0,0.0
2024-09-04 00:00:00+00:00,0.0006479999865405262,0.0007040000054985285,0.000375000003259629,0.0004020000051241368,1206957,0.0,0.0
2024-09-05 00:00:00+00:00,0.0004020000051241368,0.00043399998685345054,0.00033999999868683517,0.00034100000630132854,1000790,0.0,0.0
2024-09-06 00:00:00+00:00,0.00034100000630132854,0.0006009999779053032,0.00033599999733269215,0.000387999985832721,1334768,0.0,0.0
2024-09-07 00:00:00+00:00,0.000387999985832721,0.0005540000274777412,0.00038499999209307134,0.0005540000274777412,949590,0.0,0.0
2024-09-08 00:00:00+00:00,0.0005540000274777412,0.00108299998100847,0.0005540000274777412,0.0008140000281855464,926240,0.0,0.0
2024-09-09 00:00:00+00:00,0.0008140000281855464,0.0008140000281855464,0.000299000006634742,0.0004450000124052167,541493,0.0,0.0
2024-09-10 00:00:00+00:00,0.0004450000124052167,0.0006639999919570982,0.0004250000056345016,0.0004870000120718032,1041115,0.0,0.0
