TIMESTAMP,XLM_CLOSE_PRICE_USD,XLM_OPEN_PRICE_USD,XLM_HIGH_PRICE_USD,XLM_LOW_PRICE_USD
2017-02-22,0.00203,0.00204,0.00209,0.00194
2017-02-23,0.00201,0.00203,0.00207,0.00194
2017-02-24,0.00201,0.00201,0.00201,0.00201
2017-02-25,0.00189,0.00188,0.00194,0.00182
2017-02-26,0.0019,0.00189,0.00195,0.00178
2017-02-27,0.0018,0.0019,0.00196,0.0018
2017-02-28,0.00184,0.0018,0.0019,0.00179
2017-03-01,0.00173,0.00184,0.0019,0.00155
2017-03-02,0.00179,0.00173,0.00194,0.00169
2017-03-03,0.00181,0.00179,0.00189,0.00175
2017-03-04,0.00176,0.00181,0.00184,0.00176
2017-03-05,0.00174,0.00176,0.00179,0.0017
2017-03-06,0.00205,0.00174,0.00205,0.00174
2017-03-07,0.00204,0.00205,0.00213,0.0017
2017-03-08,0.00181,0.00204,0.0021,0.00178
2017-03-09,0.00179,0.00181,0.00201,0.0017
2017-03-10,0.00172,0.00179,0.00192,0.00151
2017-03-11,0.00175,0.00172,0.00181,0.00163
2017-03-12,0.00185,0.00175,0.00185,0.00175
2017-03-13,0.00196,0.00185,0.00207,0.00184
2017-03-14,0.0019,0.00196,0.00202,0.00184
2017-03-15,0.00193,0.0019,0.00202,0.00184
2017-03-16,0.00194,0.00193,0.00198,0.00181
2017-03-17,0.00183,0.00194,0.002,0.00181
2017-03-18,0.00182,0.00183,0.002,0.00182
2017-03-19,0.00185,0.00182,0.00201,0.00178
2017-03-20,0.00192,0.00185,0.00194,0.00184
2017-03-21,0.00214,0.00192,0.0023,0.00185
2017-03-22,0.00192,0.00214,0.00215,0.00183
2017-03-23,0.00225,0.00192,0.00227,0.00192
2017-03-24,0.00204,0.00225,0.00245,0.00201
2017-03-25,0.00191,0.00204,0.00224,0.00191
2017-03-26,0.00198,0.00191,0.00216,0.00191
2017-03-27,0.00192,0.00198,0.0021,0.00179
2017-03-28,0.00194,0.00192,0.00209,0.0018
2017-03-29,0.00199,0.00194,0.00215,0.00188
2017-03-30,0.00228,0.00199,0.00248,0.00195
2017-03-31,0.00237,0.00228,0.0029,0.00217
2017-04-01,0.00268,0.00237,0.0028,0.0023
2017-04-02,0.00429,0.00268,0.00476,0.00253
2017-04-03,0.00329,0.00429,0.0052,0.00286
2017-04-04,0.00293,0.00329,0.00346,0.0027
2017-04-05,0.00318,0.00293,0.00354,0.00288
2017-04-06,0.00287,0.00318,0.00345,0.00274
2017-04-07,0.00275,0.00287,0.00299,0.00264
2017-04-08,0.00295,0.00275,0.00314,0.00269
2017-04-09,0.00279,0.00295,0.003,0.00273
2017-04-10,0.00283,0.00279,0.00288,0.00273
2017-04-11,0.00283,0.00283,0.00289,0.00278
2017-04-12,0.00305,0.00283,0.00336,0.0028
2017-04-13,0.00311,0.00305,0.00313,0.00298
2017-04-14,0.00325,0.00311,0.00335,0.00287
2017-04-15,0.0034,0.00325,0.0035,0.00313
2017-04-16,0.00381,0.00347,0.00403,0.00335
2017-04-17,0.00367,0.00381,0.00393,0.00351
2017-04-18,0.00389,0.00367,0.0039,0.0035
2017-04-19,0.0037,0.00389,0.00392,0.00341
2017-04-20,0.00359,0.0037,0.0038,0.00346
2017-04-21,0.00368,0.00359,0.00373,0.00333
2017-04-22,0.00382,0.00368,0.00384,0.00367
2017-04-23,0.00385,0.00382,0.00388,0.00371
2017-04-24,0.00418,0.00385,0.0043,0.00383
2017-04-25,0.00411,0.00418,0.00431,0.00396
2017-04-26,0.00418,0.00411,0.0044,0.00398
2017-04-27,0.00432,0.00418,0.00434,0.00414
2017-04-28,0.00482,0.00432,0.0049,0.0042
2017-04-29,0.00534,0.00482,0.00573,0.00473
2017-04-30,0.0052,0.00534,0.00588,0.00499
2017-05-01,0.0056,0.0052,0.00616,0.0049
2017-05-02,0.00518,0.0056,0.0058,0.00478
2017-05-03,0.00558,0.00518,0.00562,0.00487
2017-05-04,0.0068,0.00558,0.00772,0.00554
2017-05-05,0.01086,0.0068,0.0146,0.0068
2017-05-06,0.0225,0.01086,0.024,0.01067
2017-05-07,0.04549,0.0225,0.0821,0.01889
2017-05-08,0.04004,0.04549,0.056,0.032
2017-05-09,0.0284,0.04004,0.04339,0.022
2017-05-10,0.03204,0.0284,0.03854,0.027
2017-05-11,0.037,0.03204,0.045,0.02767
2017-05-12,0.0416,0.037,0.04778,0.037
2017-05-13,0.0385,0.0416,0.04332,0.03655
2017-05-14,0.0395,0.0385,0.04213,0.037
2017-05-15,0.04459,0.0395,0.04484,0.03825
2017-05-16,0.0505,0.04459,0.05316,0.04382
2017-05-17,0.04997,0.0505,0.05596,0.0415
2017-05-18,0.04731,0.04997,0.05,0.042
2017-05-19,0.0494,0.04731,0.05555,0.0453
2017-05-20,0.05375,0.0494,0.0552,0.04921
2017-05-21,0.06216,0.05375,0.06909,0.05291
2017-05-22,0.05012,0.06216,0.06553,0.0462
2017-05-23,0.05519,0.05012,0.05725,0.049
2017-05-24,0.05,0.05519,0.0596,0.0472
2017-05-25,0.03801,0.05,0.05065,0.0374
2017-05-26,0.039,0.03801,0.05146,0.035
2017-05-27,0.03201,0.039,0.0413,0.02
2017-05-28,0.0342,0.03201,0.03965,0.02799
2017-05-29,0.0359,0.0342,0.03832,0.032
2017-05-30,0.03066,0.0359,0.03743,0.03
2017-05-31,0.03322,0.03066,0.0345,0.028
2017-06-01,0.04101,0.03322,0.043,0.03242
2017-06-02,0.0391,0.04101,0.042,0.03653
2017-06-03,0.03729,0.0391,0.0397,0.0351
2017-06-04,0.03729,0.03729,0.03729,0.03729
2017-06-05,0.04055,0.03913,0.04208,0.03875
2017-06-06,0.0446,0.04055,0.0455,0.03763
2017-06-07,0.0466,0.0446,0.0545,0.0437
2017-06-08,0.05011,0.0466,0.05646,0.04475
2017-06-09,0.0474,0.05011,0.052,0.04614
2017-06-10,0.04196,0.0474,0.0479,0.0405
2017-06-11,0.04511,0.04196,0.0471,0.0403
2017-06-12,0.03843,0.04511,0.04752,0.034
2017-06-13,0.04101,0.03843,0.043,0.0373
2017-06-14,0.03814,0.04101,0.04353,0.034
2017-06-15,0.036,0.03814,0.03858,0.0293
2017-06-16,0.03651,0.036,0.03759,0.03347
2017-06-17,0.0396,0.03651,0.04064,0.03495
2017-06-18,0.0381,0.0396,0.04004,0.0365
2017-06-19,0.0413,0.0381,0.0423,0.03764
2017-06-20,0.0405,0.0413,0.0446,0.039
2017-06-21,0.0383,0.0405,0.04231,0.037
2017-06-22,0.03913,0.0383,0.0397,0.037
2017-06-23,0.03996,0.03913,0.04027,0.03913
2017-06-24,0.03631,0.03996,0.04008,0.03537
2017-06-25,0.03184,0.03631,0.03706,0.0288
2017-06-26,0.02899,0.03184,0.034,0.0235
2017-06-27,0.029,0.02899,0.03099,0.0226
2017-06-28,0.0315,0.029,0.03329,0.027
2017-06-29,0.02823,0.0315,0.0326,0.02761
2017-06-30,0.02634,0.02823,0.029,0.02634
2017-07-01,0.02397,0.02634,0.027,0.02225
2017-07-02,0.0251,0.02397,0.02527,0.02161
2017-07-03,0.02604,0.0251,0.027,0.02407
2017-07-04,0.0257,0.02604,0.028,0.02526
2017-07-05,0.02558,0.0257,0.02584,0.02431
2017-07-06,0.0253,0.02558,0.02613,0.02489
2017-07-07,0.02031,0.0253,0.02561,0.0196
2017-07-08,0.0216,0.02031,0.02174,0.01715
2017-07-09,0.01923,0.0216,0.0225,0.01923
2017-07-10,0.0148,0.01923,0.01971,0.01357
2017-07-11,0.0143,0.0148,0.0157,0.012
2017-07-12,0.01785,0.0143,0.01785,0.01244
2017-07-13,0.01712,0.01785,0.0203,0.0151
2017-07-14,0.0161,0.01712,0.01729,0.01459
2017-07-15,0.0176,0.0161,0.01826,0.01479
2017-07-16,0.01566,0.0176,0.0192,0.01347
2017-07-17,0.01861,0.01566,0.01899,0.0155
2017-07-18,0.01851,0.01861,0.02042,0.01723
2017-07-19,0.0171,0.01851,0.02,0.0169
2017-07-20,0.01898,0.0171,0.02101,0.0171
2017-07-21,0.019,0.01898,0.02052,0.0185
2017-07-22,0.0231,0.019,0.0241,0.0189
2017-07-23,0.02222,0.0231,0.02393,0.0205
2017-07-24,0.02275,0.02222,0.02315,0.02101
2017-07-25,0.01862,0.02275,0.02309,0.01702
2017-07-26,0.01889,0.01862,0.02,0.01752
2017-07-27,0.01851,0.01889,0.0195,0.01798
2017-07-28,0.01709,0.01851,0.01873,0.0165
