,K,Alpha,Tau,MSE
0,7,250,0.3,0.0014495254525607416
1,7,250,0.25,0.0014495624003179556
2,9,500,0.3,0.001449568399095569
3,10,750,0.3,0.001449576447893795
4,7,250,0.2,0.001449629383992981
5,7,250,0.15,0.0014497735712248833
6,10,500,0.3,0.0014497967464137014
7,10,500,0.25,0.001449941753779954
8,7,250,0.1,0.0014501864982664951
9,10,500,0.2,0.0014502010629623505
10,6,250,0.3,0.001450371390455943
11,10,500,0.15,0.0014507383987635864
12,10,250,0.3,0.0014510256486162027
13,8,250,0.3,0.001451486165449038
14,10,250,0.25,0.0014515786666738704
15,15,1000,0.3,0.0014516073531346237
16,13,1000,0.3,0.0014516650219255772
17,14,1000,0.3,0.0014517723299094477
18,9,250,0.3,0.0014520402682361706
19,8,250,0.25,0.001452295563159696
20,10,250,0.2,0.0014525235901800655
21,13,1000,0.25,0.0014526296787953363
22,9,250,0.25,0.0014528253040097395
23,12,500,0.3,0.0014531201766545723
24,8,250,0.2,0.0014537535954188834
25,9,250,0.2,0.0014539843623728433
26,10,250,0.15,0.0014544071630113763
27,13,1000,0.2,0.00145511069476268
28,9,250,0.15,0.0014555440524553285
29,13,500,0.3,0.001455993996359015
30,12,500,0.25,0.001456224165460877
31,10,500,0.1,0.0014562575120034438
32,11,500,0.3,0.001456266226103788
33,9,250,0.1,0.0014563853127179851
34,14,500,0.3,0.0014564286178389018
35,8,250,0.15,0.0014568674010917294
36,12,1000,0.3,0.0014575617261570783
37,15,500,0.3,0.0014587020279804765
38,13,500,0.25,0.0014589969173604575
39,10,250,0.1,0.0014594086650133674
40,14,500,0.25,0.0014596098844490116
41,11,500,0.25,0.0014596579455255602
42,12,250,0.3,0.0014602243537219762
43,12,1000,0.25,0.001461770330391328
44,15,500,0.25,0.00146294538475484
45,13,500,0.2,0.0014645625473146075
46,12,250,0.25,0.0014648845668728003
47,14,500,0.2,0.0014654936362256702
48,11,250,0.3,0.001465592701798556
49,8,250,0.1,0.0014657646587645642
50,11,500,0.2,0.0014668855464120654
51,12,500,0.15,0.0014704850287016985
52,11,250,0.25,0.001470565218252102
53,15,500,0.2,0.0014706792780187579
54,12,250,0.2,0.0014735878912005202
55,15,1000,0.25,0.001475533117323458
56,13,500,0.15,0.0014765901446604011
57,13,250,0.3,0.0014772766396929531
