TIMESTAMP,BOOCHIE_OPEN_PRICE_USD,BOOCHIE_HIGH_PRICE_USD,BOOCHIE_LOW_PRICE_USD,BOOCHIE_CLOSE_PRICE_USD,BOOCHIE_VOLUME_USD,BOOCHIE_DIVIDENDS_USD,BOOCHIE_STOCK_SPLITS_USD
2025-05-20 00:00:00+00:00,,,,0.0,3208088,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,5528257,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,13147565,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,10520181,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,3647723,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,3449130,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,3022519,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,3389872,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,3060453,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,3554808,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,5667371,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,3845905,0.0,0.0
2025-06-01 00:00:00+00:00,5.280436088384022e-09,5.457250651375034e-09,4.1936698558231456e-09,4.7057873153733e-09,2232169,0.0,0.0
