TIMESTAMP,GMUBARAK_OPEN_PRICE_USD,GMUBARAK_HIGH_PRICE_USD,GMUBARAK_LOW_PRICE_USD,GMUBARAK_CLOSE_PRICE_USD,GMUBARAK_VOLUME_USD,GMUBARAK_DIVIDENDS_USD,GMUBARAK_STOCK_SPLITS_USD
2025-04-16 00:00:00+00:00,,,,0.0,288047,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,32303,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,13750,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,25187,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,13454,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,5804,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,9909,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,19974,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,141557,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,61303,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,37881,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,33828,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,18870,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,20422,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,15771,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,26593,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,13525,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,3015,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,4042,0.0,0.0
2025-05-08 00:00:00+00:00,,,,0.0,4168,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,2004,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,6516,0.0,0.0
2025-05-12 00:00:00+00:00,,,,0.0,8531,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,3889,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,722,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,160,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,581,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,1273,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,2584,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,375,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,2298,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,18131,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,10349,0.0,0.0
2025-06-01 00:00:00+00:00,1.6916743006412105e-10,1.741645855313223e-10,1.666672078126652e-10,1.7193257928482808e-10,1779,0.0,0.0
