,BTC,Lag
DOGE,2.98280844340718e-08,28
ETH,1.4131175311290114e-06,9
XRP,5.386107505234064e-06,11
DGB,1.2608548555915903e-05,29
SC,0.0002977218098946,30
XMR,0.0003196280343371,5
ZEN,0.0008657739636063,30
QTUM,0.001550722546813,19
ETC,0.0022705305400684,8
XEM,0.0025018263074802,29
BAT,0.0033068264086771,9
RLC,0.0044064555655834,12
BTS,0.0061076470094536,12
GNO,0.0122579926039433,6
LSK,0.0291216119265849,14
DASH,0.0300605582194137,17
LTC,0.0302807549500353,11
GAS,0.041084024221645,30
KMD,0.0433581609497744,7
MIOTA,0.0547646659226622,17
ZEC,0.0840180893261062,7
WAVES,0.0889363366496419,25
PIVX,0.0909274913015539,3
FIRO,0.1313010827722017,1
XLM,0.1384401614164241,17
LUNC,0.1429523076933834,3
ANT,0.1527884723362192,29
ARK,0.1957248931843424,16
STEEM,0.3879499715846239,21
SYS,0.4315813683522164,2
DCR,0.4688137776699251,1
