,BTC
ETH,0.00010865706769226085
SC,0.005322393317273047
DGB,0.006517468070193839
ETC,0.009328639388881715
XRP,0.012010567711340977
XMR,0.01594395590374668
XEM,0.02908587238407108
ZEN,0.05126970047070883
DOGE,0.058349676458410014
RLC,0.058650381380289544
GNO,0.05875728686003997
BAT,0.06807922215299407
BTS,0.07848270786128914
LSK,0.08793203673969477
LTC,0.0892666586529597
QTUM,0.08966581163660638
KMD,0.13082451643911228
MIOTA,0.15929227515262384
DASH,0.16045644961113795
ZEC,0.18687954203104926
WAVES,0.217756350753325
GAS,0.2771840110336206
XLM,0.3106649082768642
PIVX,0.3764155354742625
ANT,0.3846329559255826
ARK,0.4303283173133439
FIRO,0.49782316395889126
LUNC,0.63277127258061
STEEM,0.6625877347567497
SYS,0.7481551711868648
DCR,0.8921371960320174
