TIMESTAMP,ANT_CLOSE_PRICE_USD,ANT_OPEN_PRICE_USD,ANT_HIGH_PRICE_USD,ANT_LOW_PRICE_USD
2018-02-02,5.4817,5.6166,5.6736,4.4943
2018-02-03,5.7525,5.4817,6.03,5.0939
2018-02-04,5.1695,5.7525,5.8434,4.9852
2018-02-05,3.8096,5.1695,5.1695,3.7177
2018-02-06,4.7027,3.8096,4.782,3.0018
2018-02-07,4.5927,4.7027,5.0416,4.3178
2018-02-08,4.578,4.5927,5.2173,4.5601
2018-02-09,4.755,4.578,4.8458,4.3189
2018-02-10,4.3476,4.755,4.8664,4.2494
2018-02-11,4.1696,4.3476,4.3476,3.9822
2018-02-12,4.6738,4.1696,4.6828,4.1696
2018-02-13,4.5015,4.6738,4.8705,4.4827
2018-02-14,4.7223,4.5015,4.7422,4.3783
2018-02-15,4.8502,4.7223,4.9823,4.5858
2018-02-16,4.9803,4.8502,4.9886,4.496
2018-02-17,5.085,4.9803,5.224,4.9539
2018-02-18,4.6301,5.085,5.0967,4.5234
2018-02-19,4.5259,4.6301,4.9283,4.4898
2018-02-20,4.1089,4.5259,4.8939,4.0743
2018-02-21,4.1622,4.1089,4.2446,3.8303
2018-02-22,3.7252,4.1622,4.3903,3.6313
2018-02-23,3.7845,3.7252,3.8995,3.564
2018-02-24,3.3585,3.7845,3.827,3.3205
2018-02-25,3.3086,3.3585,3.4479,3.1843
2018-02-26,3.7706,3.3086,3.8704,3.2559
2018-02-27,3.9394,3.7706,4.5668,3.7706
2018-02-28,3.8381,3.9394,4.1087,3.693
2018-03-01,4.295,3.8381,4.354,3.6284
2018-03-02,4.2771,4.295,4.6993,4.0749
2018-03-03,4.6251,4.2771,5.3252,4.2287
2018-03-04,4.4374,4.6251,4.6562,4.135
2018-03-05,5.1942,4.4374,9.3442,4.4097
2018-03-06,5.0412,5.1361,5.5399,4.8397
2018-03-07,4.3409,5.0412,5.0412,3.8816
2018-03-08,3.7098,4.3279,4.3279,3.7098
2018-03-09,3.4783,3.7098,3.71,3.1283
2018-03-10,3.4336,3.4783,4.0029,3.4336
2018-03-11,3.6206,3.4336,3.6324,3.3579
2018-03-12,3.484,3.6206,3.7686,3.4213
2018-03-13,3.4843,3.484,3.5785,3.4439
2018-03-14,3.0971,3.4843,3.5254,3.033
2018-03-15,3.2214,3.0971,3.2228,2.9671
2018-03-16,3.2325,3.2214,3.3457,3.1248
2018-03-17,2.6712,3.2325,3.2325,2.6316
2018-03-18,2.5985,2.6712,2.6811,2.25
2018-03-19,2.7743,2.5985,2.8385,2.5985
2018-03-20,3.601,2.7743,3.6403,2.7299
2018-03-21,4.2097,3.601,4.3368,3.5814
2018-03-22,3.9524,4.2097,4.3272,3.7922
2018-03-23,3.6509,3.9524,3.9524,3.5372
2018-03-24,3.5542,3.6509,3.7282,3.508
2018-03-25,3.4489,3.5542,3.5542,3.3617
2018-03-26,3.3566,3.4489,3.4931,3.2182
2018-03-27,3.2284,3.3566,3.3767,3.2143
2018-03-28,3.2468,3.2284,3.416,3.167
2018-03-29,2.8409,3.2468,3.2628,2.7889
2018-03-30,2.3567,2.8409,2.8409,2.2968
2018-03-31,2.2513,2.3567,2.4223,2.2456
2018-04-01,2.2094,2.2513,2.2817,2.085
2018-04-02,2.2614,2.2094,2.2809,2.2094
2018-04-03,2.5344,2.2614,2.6717,2.26
2018-04-04,2.2684,2.5344,2.5457,2.2421
2018-04-05,2.2874,2.2684,2.3144,2.2264
2018-04-06,2.2593,2.2874,2.3065,2.2406
2018-04-07,2.3025,2.2593,2.4044,2.2496
2018-04-08,2.4361,2.3025,2.753,2.3025
2018-04-09,2.3827,2.4361,2.7136,2.3621
2018-04-10,2.3875,2.3827,2.5478,2.3293
2018-04-11,2.482,2.3875,2.4865,2.3767
2018-04-12,2.72,2.482,2.7204,2.4053
2018-04-13,2.7415,2.7201,2.9228,2.6839
2018-04-14,2.9984,2.7415,3.0802,2.7043
2018-04-15,3.2647,2.9984,3.2783,2.9861
2018-04-16,3.2561,3.2647,3.3604,3.0943
2018-04-17,3.2658,3.2561,3.382,3.2265
2018-04-18,3.6205,3.2658,3.6671,3.2524
2018-04-19,3.6921,3.6205,3.9676,3.5268
2018-04-20,4.0775,3.6921,4.6728,3.6847
2018-04-21,3.9517,4.0775,4.1638,3.761
2018-04-22,4.0508,3.9517,4.096,3.9153
2018-04-23,4.2127,4.0508,4.2266,4.0116
2018-04-24,4.3512,4.2127,4.4204,4.1826
2018-04-25,3.8542,4.3512,4.3546,3.691
2018-04-26,4.4454,3.8542,4.5205,3.7747
2018-04-27,4.253,4.4454,4.4868,4.2223
2018-04-28,4.3562,4.253,4.4192,4.2114
2018-04-29,4.4322,4.3562,4.4382,4.2062
2018-04-30,4.4514,4.4322,4.5205,4.2859
2018-05-01,4.31,4.4514,4.4514,4.1597
2018-05-02,4.4986,4.31,4.5205,4.31
2018-05-03,4.5657,4.4986,4.6228,4.4637
2018-05-04,4.5919,4.5657,4.7733,4.5161
2018-05-05,4.746,4.5919,4.799,4.5499
2018-05-06,4.5544,4.746,4.837,4.4658
2018-05-07,4.623,4.5544,4.6859,4.4491
2018-05-08,4.4652,4.828,4.828,4.4491
2018-05-09,4.5994,4.4652,4.7278,4.2859
2018-05-10,4.5761,4.5994,4.8314,4.4703
2018-05-11,4.2697,4.5761,4.5761,4.1191
2018-05-12,4.3234,4.2697,4.3762,4.0996
2018-05-13,4.5376,4.3234,4.5561,4.2751
2018-05-14,4.3387,4.5376,4.6106,4.3257
2018-05-15,4.0642,4.3387,4.356,4.048
2018-05-16,4.2008,4.0804,4.2476,3.8591
2018-05-17,4.0387,4.2008,4.2795,4.0272
2018-05-18,3.9868,4.0387,4.0387,3.9379
2018-05-19,3.9631,3.9868,4.019,3.9309
2018-05-20,3.8971,3.9631,4.2127,3.8584
2018-05-21,4.0092,3.8971,4.0187,3.8297
2018-05-22,3.7729,4.0092,4.0276,3.7729
2018-05-23,3.5134,3.7824,3.8335,3.5016
2018-05-24,3.5509,3.5016,3.6113,3.4711
2018-05-25,3.1759,3.5509,3.5511,3.1723
2018-05-26,3.1392,3.1759,3.2042,3.1072
2018-05-27,2.8755,3.1392,3.1392,2.8619
2018-05-28,2.6836,2.8755,2.8945,2.6755
2018-05-29,2.8929,2.6836,2.9077,2.6164
2018-05-30,3.0768,2.8929,3.1331,2.871
2018-05-31,3.0932,3.0768,3.2019,3.0335
2018-06-01,3.0756,3.0932,3.1381,3.0378
2018-06-02,3.076,3.0756,3.1471,3.0628
2018-06-03,3.0189,3.076,3.133,3.0152
2018-06-04,2.8051,3.0189,3.0339,2.7981
2018-06-05,2.8524,2.8051,2.8578,2.7566
2018-06-06,2.8286,2.8524,2.8643,2.8084
2018-06-07,2.8731,2.8286,2.8858,2.8286
2018-06-08,2.7972,2.8731,2.8793,2.7794
2018-06-09,2.8045,2.7972,2.8173,2.7916
2018-06-10,2.384,2.7772,2.7887,2.3739
2018-06-11,2.3699,2.384,2.4402,2.2699
2018-06-12,2.2788,2.3699,2.4302,2.2684
2018-06-13,2.2111,2.2788,2.2865,2.1451
2018-06-14,2.2589,2.2001,2.2768,2.167
2018-06-15,2.4332,2.2589,2.4777,2.2236
2018-06-16,2.2402,2.4332,2.4424,2.2384
2018-06-17,2.2638,2.2505,2.2857,2.2371
2018-06-18,2.2888,2.2638,2.2993,2.1997
2018-06-19,2.2267,2.2888,2.3201,2.2162
2018-06-20,2.1932,2.2267,2.2523,2.1451
2018-06-21,2.177,2.1932,2.2284,2.1724
2018-06-22,1.9078,2.177,2.2468,1.8983
2018-06-23,1.9091,1.9078,1.9269,1.8964
2018-06-24,1.8249,1.9091,1.9091,1.7765
2018-06-25,1.8864,1.8328,1.9046,1.8199
2018-06-26,1.8112,1.8864,1.8991,1.8112
2018-06-27,1.7486,1.8112,1.8112,1.6718
2018-06-28,1.7339,1.7486,1.7771,1.7319
2018-06-29,1.7776,1.7339,1.7778,1.6809
2018-06-30,1.8734,1.7776,1.8821,1.7776
2018-07-01,1.8753,1.8734,1.8962,1.8662
2018-07-02,1.915,1.8753,1.9176,1.8249
2018-07-03,1.9157,1.915,2.0231,1.9085
2018-07-04,1.9459,1.9157,1.9636,1.8723
2018-07-05,1.9159,1.9459,1.9684,1.9085
2018-07-06,2.0157,1.9159,2.024,1.9159
2018-07-07,2.013,2.0157,2.029,1.9518
2018-07-08,1.9908,2.013,2.0177,1.9812
2018-07-09,1.9173,1.9908,1.9908,1.9085
2018-07-10,1.7361,1.9173,1.9261,1.7319
2018-07-11,1.6892,1.7361,1.7361,1.6192
2018-07-12,1.4768,1.6892,1.7079,1.4315
2018-07-13,1.5036,1.4768,1.5326,1.4768
2018-07-14,1.5152,1.5036,1.5212,1.4982
2018-07-15,1.5614,1.5152,1.5648,1.5084
2018-07-16,1.6641,1.5614,1.6679,1.5555
2018-07-17,1.7643,1.6641,1.7973,1.6641
2018-07-18,1.7244,1.7643,1.8094,1.7127
2018-07-19,1.7164,1.7244,1.7867,1.6747
2018-07-20,1.6318,1.7164,1.7164,1.6254
2018-07-21,1.6611,1.6318,1.6642,1.6226
2018-07-22,1.6291,1.6611,1.6724,1.6133
2018-07-23,1.5633,1.6291,1.7016,1.5541
2018-07-24,1.6589,1.5633,1.6889,1.5633
2018-07-25,1.6565,1.6589,1.6736,1.6133
2018-07-26,1.6499,1.6565,1.8104,1.6499
2018-07-27,1.7509,1.6499,1.7584,1.6395
2018-07-28,1.7636,1.7509,1.7784,1.7255
2018-07-29,1.7583,1.7636,1.793,1.7515
2018-07-30,1.7203,1.7583,1.7828,1.6999
2018-07-31,1.6087,1.7203,1.7272,1.5995
2018-08-01,1.5065,1.6087,1.6087,1.5064
2018-08-02,1.4862,1.5065,1.5326,1.4749
2018-08-03,1.4757,1.4862,1.4928,1.4414
2018-08-04,1.4555,1.4757,1.5326,1.453
2018-08-05,1.4945,1.4555,1.4986,1.4422
2018-08-06,1.5085,1.4945,1.5909,1.4904
2018-08-07,1.4458,1.5085,1.525,1.4315
2018-08-08,1.2804,1.4458,1.4458,1.2699
2018-08-09,1.3324,1.2804,1.3397,1.2513
2018-08-10,1.2181,1.3324,1.3324,1.2145
2018-08-11,1.2095,1.2181,1.2181,1.1618
2018-08-12,1.2136,1.2095,1.234,1.1787
2018-08-13,1.0421,1.2136,1.2157,1.0381
2018-08-14,0.9606,1.0421,1.0421,0.9118
2018-08-15,1.0422,0.9606,1.0658,0.9606
2018-08-16,0.982,1.0422,1.078,0.9772
2018-08-17,1.1007,0.982,1.1024,0.982
2018-08-18,1.0652,1.1007,1.119,1.0491
2018-08-19,1.0503,1.0652,1.0652,1.0263
2018-08-20,1.0183,1.0503,1.0556,1.0144
2018-08-21,1.0466,1.0183,1.078,1.012
2018-08-22,0.9677,1.0466,1.0563,0.9661
2018-08-23,0.9843,0.9677,1.0079,0.9677
2018-08-24,1.0018,0.9843,1.0063,0.9843
2018-08-25,1.0214,1.0018,1.0573,0.9952
2018-08-26,0.9987,1.0214,1.0214,0.9951
2018-08-27,1.034,0.9987,1.034,0.9987
2018-08-28,1.0774,1.034,1.0814,1.034
2018-08-29,1.045,1.0774,1.0823,1.0407
2018-08-30,1.0417,1.045,1.1119,1.0322
2018-08-31,1.0354,1.0417,1.0443,1.0252
2018-09-01,1.0894,1.0354,1.0924,1.0334
2018-09-02,1.0679,1.0894,1.0948,1.0591
2018-09-03,1.0203,1.0679,1.0732,0.9976
2018-09-04,1.0453,1.0203,1.0497,1.0203
2018-09-05,0.9134,1.0453,1.0453,0.912
2018-09-06,0.8472,0.9134,0.9134,0.8337
2018-09-07,0.8366,0.8472,0.857,0.8265
2018-09-08,0.7723,0.8366,0.8366,0.7668
2018-09-09,0.7515,0.7723,0.7783,0.7507
2018-09-10,0.7218,0.7515,0.7599,0.6926
2018-09-11,0.7139,0.7218,0.746,0.705
