TIMESTAMP,ANT_CLOSE_PRICE_USD,ANT_OPEN_PRICE_USD,ANT_HIGH_PRICE_USD,ANT_LOW_PRICE_USD
2018-09-12,0.6869,0.7139,0.7139,0.6651
2018-09-13,0.735,0.6869,0.7371,0.6869
2018-09-14,0.7763,0.735,0.7813,0.733
2018-09-15,0.7717,0.7763,0.7839,0.7682
2018-09-16,0.7791,0.7717,0.7813,0.7534
2018-09-17,0.7745,0.7791,0.8176,0.7682
2018-09-18,0.7782,0.7745,0.8134,0.7683
2018-09-19,0.7751,0.7782,0.7829,0.7534
2018-09-20,0.8091,0.7751,0.8123,0.7751
2018-09-21,0.8577,0.8091,0.8617,0.8059
2018-09-22,0.9334,0.8577,0.9414,0.8521
2018-09-23,0.9233,0.9334,0.949,0.8917
2018-09-24,0.9356,0.9233,0.9676,0.9233
2018-09-25,0.8773,0.9356,0.9356,0.8688
2018-09-26,0.8716,0.8773,0.8837,0.8577
2018-09-27,0.9473,0.8716,1.1731,0.8716
2018-09-28,0.9061,0.9473,0.9512,0.8641
2018-09-29,0.8823,0.9061,0.9356,0.7103
2018-09-30,0.8869,0.8823,0.8873,0.8587
2018-10-01,0.8612,0.8869,0.8995,0.8556
2018-10-02,0.8243,0.8612,0.8629,0.8216
2018-10-03,0.7783,0.8243,0.8243,0.7751
2018-10-04,0.7873,0.7783,0.7935,0.7783
2018-10-05,0.8181,0.7873,0.8196,0.7804
2018-10-06,0.8092,0.8181,0.8181,0.8056
2018-10-07,0.7991,0.8092,0.8092,0.7955
2018-10-08,0.8529,0.7991,1.6462,0.7991
2018-10-09,0.8304,0.8529,0.8563,0.8268
2018-10-10,0.8301,0.8304,0.8312,0.8067
2018-10-11,0.7681,0.8301,0.8312,0.7631
2018-10-12,0.7653,0.7681,0.7745,0.7595
2018-10-13,0.7712,0.7653,0.774,0.7561
2018-10-14,0.7692,0.7712,0.7892,0.7659
2018-10-15,0.7507,0.7692,0.8697,0.6994
2018-10-16,0.7492,0.7507,0.7521,0.7459
2018-10-17,0.7475,0.7492,0.7524,0.7445
2018-10-18,0.764,0.7475,0.769,0.7444
2018-10-19,0.7349,0.764,0.764,0.732
2018-10-20,0.718,0.7349,0.7454,0.7087
2018-10-21,0.718,0.718,0.7262,0.7087
2018-10-22,0.7207,0.718,0.7244,0.7133
2018-10-23,0.7248,0.7207,0.7408,0.7067
2018-10-24,0.7346,0.7248,0.7537,0.7221
2018-10-25,0.7474,0.7346,0.7489,0.7283
2018-10-26,0.7514,0.7474,0.7544,0.7411
2018-10-27,0.7524,0.7514,0.7586,0.7425
2018-10-28,0.7627,0.7524,0.8337,0.7481
2018-10-29,0.7946,0.7627,0.8541,0.762
2018-10-30,0.7961,0.7946,0.8057,0.7805
2018-10-31,0.8043,0.7961,0.811,0.782
2018-11-01,0.7764,0.8043,0.8043,0.7719
2018-11-02,0.7884,0.7764,0.7902,0.7733
2018-11-03,0.7853,0.7884,0.7922,0.7837
2018-11-04,0.811,0.7853,0.8167,0.7853
2018-11-05,0.7831,0.811,0.8215,0.7817
2018-11-06,0.7658,0.7831,0.7868,0.7627
2018-11-07,0.7767,0.7658,0.78,0.7658
2018-11-08,0.7324,0.7767,0.7767,0.7142
2018-11-09,0.7258,0.7324,0.7342,0.7246
2018-11-10,0.7263,0.7258,0.7291,0.7258
2018-11-11,0.7244,0.7263,0.7263,0.7229
2018-11-12,0.7345,0.7244,0.7367,0.7244
2018-11-13,0.7002,0.7345,0.7345,0.6973
2018-11-14,0.5925,0.7002,0.7002,0.5897
2018-11-15,0.5658,0.5925,0.6235,0.5504
2018-11-16,0.5602,0.5658,0.5695,0.5599
2018-11-17,0.5586,0.5602,0.5608,0.5563
2018-11-18,0.5545,0.5586,0.6115,0.5545
2018-11-19,0.4415,0.5545,0.5545,0.4349
2018-11-20,0.387,0.4415,0.4415,0.3723
2018-11-21,0.3868,0.387,0.3996,0.3808
2018-11-22,0.365,0.3868,0.3885,0.365
2018-11-23,0.3399,0.365,0.365,0.3361
2018-11-24,0.3229,0.3399,0.3549,0.3186
2018-11-25,0.3304,0.3229,0.3348,0.2948
2018-11-26,0.3034,0.3304,0.3316,0.3026
2018-11-27,0.3378,0.3034,0.3413,0.2967
2018-11-28,0.4154,0.3378,0.4261,0.3378
2018-11-29,0.4697,0.4163,0.4812,0.4118
2018-11-30,0.4364,0.4697,0.4728,0.4347
2018-12-01,0.4631,0.4364,0.4719,0.4321
2018-12-02,0.4661,0.4631,0.4689,0.4585
2018-12-03,0.4366,0.4661,0.4675,0.4349
2018-12-04,0.4267,0.4366,0.4665,0.4247
2018-12-05,0.4822,0.4267,0.4832,0.4267
2018-12-06,0.4444,0.4822,0.4836,0.4377
2018-12-07,0.4229,0.4444,0.4444,0.3886
2018-12-08,0.4454,0.4229,0.447,0.4214
2018-12-09,0.4583,0.4454,0.4648,0.4454
2018-12-10,0.4442,0.4583,0.4716,0.4424
2018-12-11,0.4021,0.4442,0.4673,0.4001
2018-12-12,0.405,0.4021,0.419,0.4004
2018-12-13,0.3537,0.405,0.4059,0.3521
2018-12-14,0.3537,0.3537,0.3662,0.3515
2018-12-15,0.3435,0.3537,0.3537,0.3419
2018-12-16,0.3436,0.3435,0.3523,0.3435
2018-12-17,0.3927,0.3436,0.3958,0.3419
2018-12-18,0.3889,0.3927,0.3927,0.3773
2018-12-19,0.4083,0.3889,0.4196,0.3889
2018-12-20,0.4906,0.4083,0.5022,0.4044
2018-12-21,0.4591,0.4906,0.4967,0.4591
2018-12-22,0.457,0.4591,0.46,0.4443
2018-12-23,0.4702,0.457,0.4712,0.457
2018-12-24,0.5128,0.4702,0.5358,0.4702
2018-12-25,0.4724,0.5128,0.5128,0.4681
2018-12-26,0.4611,0.4724,0.4724,0.4508
2018-12-27,0.4204,0.4611,0.4611,0.4199
2018-12-28,0.4441,0.4204,0.4484,0.4065
2018-12-29,0.4273,0.4441,0.447,0.4251
2018-12-30,0.4076,0.4273,0.4273,0.4026
2018-12-31,0.3869,0.4076,0.4076,0.3848
2019-01-01,0.3905,0.3869,0.3915,0.3803
2019-01-02,0.415,0.3905,0.4455,0.3905
2019-01-03,0.3943,0.415,0.4285,0.3934
2019-01-04,0.4016,0.3943,0.4042,0.3943
2019-01-05,0.4311,0.4016,0.4341,0.4016
2019-01-06,0.4329,0.4311,0.4369,0.4275
2019-01-07,0.479,0.4329,0.5306,0.4312
2019-01-08,0.5382,0.479,0.5481,0.4704
2019-01-09,0.5245,0.5382,0.5393,0.5084
2019-01-10,0.4364,0.5245,0.5395,0.4287
2019-01-11,0.4418,0.4364,0.4418,0.4337
2019-01-12,0.4475,0.4418,0.4475,0.4411
2019-01-13,0.4719,0.4475,0.4868,0.4475
2019-01-14,0.5061,0.4719,0.5061,0.4719
2019-01-15,0.4577,0.5061,0.5061,0.4545
2019-01-16,0.4476,0.4577,0.4775,0.4338
2019-01-17,0.4604,0.4476,0.4604,0.4421
2019-01-18,0.4504,0.4604,0.4948,0.4455
2019-01-19,0.4533,0.4504,0.4533,0.4465
2019-01-20,0.4418,0.4533,0.4533,0.4343
2019-01-21,0.4287,0.4418,0.4418,0.4287
2019-01-22,0.4429,0.4287,0.4839,0.4287
2019-01-23,0.44,0.4429,0.4475,0.44
2019-01-24,0.4382,0.44,0.4418,0.4362
2019-01-25,0.426,0.4382,0.4382,0.4232
2019-01-26,0.4267,0.426,0.4332,0.4232
2019-01-27,0.414,0.4267,0.4311,0.4097
2019-01-28,0.414,0.414,0.414,0.414
2019-01-29,0.414,0.414,0.414,0.414
2019-01-30,0.414,0.414,0.414,0.414
2019-01-31,0.414,0.414,0.414,0.414
2019-03-19,0.414,0.414,0.414,0.414
2019-08-08,0.6,0.6,0.6,0.6
2019-08-09,0.6,0.6,0.6,0.6
2019-08-10,0.6,0.6,0.6,0.6
2019-08-11,0.6,0.6,0.6,0.6
2019-08-12,0.6,0.6,0.6,0.6
2019-08-13,0.6,0.6,0.6,0.6
2019-08-14,0.6,0.6,0.6,0.6
2019-08-15,0.6,0.6,0.6,0.6
2019-08-16,0.6,0.6,0.6,0.6
2019-08-17,0.6,0.6,0.6,0.6
2019-08-18,0.6,0.6,0.6,0.6
2019-08-19,0.6,0.6,0.6,0.6
2019-08-20,0.6,0.6,0.6,0.6
2019-08-21,0.6,0.6,0.6,0.6
2019-08-22,0.6,0.6,0.6,0.6
2019-08-23,0.6,0.6,0.6,0.6
2019-08-24,0.6,0.6,0.6,0.6
2019-08-25,0.6,0.6,0.6,0.6
2019-08-26,0.6,0.6,0.6,0.6
2019-08-27,0.6,0.6,0.6,0.6
2019-08-28,0.6,0.6,0.6,0.6
2019-08-29,0.5856,0.6,0.6,0.5856
2019-08-30,0.5856,0.5856,0.5856,0.5856
2019-08-31,0.5856,0.5856,0.5856,0.5856
2019-09-01,0.5038,0.55,0.55,0.5038
2019-09-02,0.5038,0.5038,0.5038,0.5038
2019-09-03,0.5038,0.5038,0.5038,0.5038
2019-09-04,0.5038,0.5038,0.5038,0.5038
2019-09-05,0.5038,0.5038,0.5038,0.5038
2019-09-06,0.5,0.5038,0.5038,0.5
2019-09-07,0.5042,0.5,0.5042,0.5
2019-09-08,0.5042,0.5042,0.5042,0.5042
2019-09-09,0.969,0.5042,0.969,0.5042
2019-09-10,0.969,0.969,0.969,0.969
2019-09-11,0.969,0.969,0.969,0.969
2019-09-12,0.969,0.969,0.969,0.969
2019-09-13,1.0,0.969,1.0,0.969
2019-09-14,1.0,1.0,1.0,1.0
2019-09-18,0.61,0.922,0.922,0.61
2019-09-19,0.61,0.61,0.61,0.61
2019-09-20,0.61,0.61,0.61,0.61
2019-09-21,0.61,0.61,0.61,0.61
2019-09-22,0.61,0.61,0.61,0.61
2019-09-23,0.61,0.61,0.61,0.61
2019-09-24,0.6341,0.61,0.6341,0.61
2019-09-25,0.6341,0.6341,0.6341,0.6341
2019-09-26,0.6485,0.6341,0.6485,0.6341
2019-09-27,0.6485,0.6485,0.6485,0.6485
2019-09-28,0.6485,0.6485,0.6485,0.6485
2019-09-29,0.6485,0.6485,0.6485,0.6485
2019-09-30,0.6485,0.6485,0.6485,0.6485
2019-10-01,0.6485,0.6485,0.6485,0.6485
2019-10-02,0.6485,0.6485,0.6485,0.6485
2019-10-03,0.6485,0.6485,0.6485,0.6485
2019-10-04,0.6485,0.6485,0.6485,0.6485
2019-10-05,0.6485,0.6485,0.6485,0.6485
2019-10-06,0.6485,0.6485,0.6485,0.6485
2019-10-07,0.6485,0.6485,0.6485,0.6485
2019-10-08,0.6485,0.6485,0.6485,0.6485
2019-10-09,0.65,0.6485,0.9488,0.6485
2019-10-10,0.65,0.65,0.65,0.65
2019-10-11,0.9442,0.65,0.9442,0.65
2019-10-12,0.8298,0.9442,0.9442,0.8298
2019-10-13,0.83,0.8298,1.0,0.81
2019-10-14,0.83,0.83,0.83,0.83
2019-10-15,0.83,0.83,0.83,0.83
2019-10-16,1.0,0.83,1.236,0.83
2019-10-17,0.785,1.0,1.0,0.785
2019-10-18,1.19,0.785,1.19,0.6583
2019-10-19,1.119,1.19,1.19,1.119
2019-10-20,1.119,1.119,1.119,1.119
2019-10-21,1.119,1.119,1.119,1.119
2019-10-22,1.119,1.119,1.119,1.119
2019-10-23,0.7183,1.119,1.119,0.7183
2019-10-24,0.7183,0.7183,0.7183,0.7183
2019-10-25,0.7183,0.7183,0.7183,0.7183
2019-10-26,0.7183,0.7183,0.7183,0.7183
2019-10-27,0.7183,0.7183,0.7183,0.7183
2019-10-28,0.7183,0.7183,0.7183,0.7183
2019-10-29,0.7183,0.7183,0.7183,0.7183
2019-10-30,0.7183,0.7183,0.7183,0.7183
2019-10-31,0.7183,0.7183,0.7183,0.7183
2019-11-01,0.7183,0.7183,0.7183,0.7183
2019-11-02,0.72,0.7183,0.988,0.7183
2019-11-03,0.822,0.72,1.19,0.72
2019-11-04,0.766,0.822,1.1088,0.766
2019-11-05,0.766,0.766,0.766,0.766
2019-11-06,0.766,0.766,0.766,0.766
2019-11-07,0.7755,0.766,0.7755,0.766
2019-11-08,0.7755,0.7755,0.7755,0.7755
2019-11-09,0.7406,0.7755,0.7755,0.7406
2019-11-10,0.7406,0.7406,0.7406,0.7406
2019-11-11,0.7406,0.7406,0.7406,0.7406
2019-11-12,0.7406,0.7406,0.7406,0.7406
2019-11-13,0.7406,0.7406,0.7406,0.7406
2019-11-14,0.74,0.7406,0.7406,0.74
2019-11-15,0.7,0.74,0.74,0.7
2019-11-16,0.7,0.7,0.7,0.7
2019-11-17,0.7,0.7,0.7,0.7
2019-11-18,0.7,0.7,0.7,0.7
2019-11-19,0.7,0.7,0.7,0.7
2019-11-20,0.7279,0.7,0.7323,0.7
2019-11-21,0.615,0.7279,0.7279,0.615
2019-11-22,0.56,0.615,0.6313,0.56
2019-11-23,0.56,0.56,0.56,0.56
2019-11-25,0.5,0.56,0.56,0.5
2019-11-26,0.5,0.5,0.5,0.5
2019-11-27,0.5,0.5,0.5,0.5
2019-11-28,0.5,0.5,0.5,0.5
2019-11-29,0.5,0.5,0.5,0.5
2019-11-30,0.5,0.5,0.5,0.5
2019-12-01,0.5,0.5,0.5,0.5
2019-12-02,0.5,0.5,0.5,0.5
2019-12-03,0.5574,0.5,0.5844,0.5
2019-12-04,0.5529,0.5574,0.5574,0.5529
2019-12-05,0.5529,0.5529,0.5529,0.5529
2019-12-06,0.5356,0.5356,0.5356,0.5356
2019-12-07,0.5356,0.5356,0.5356,0.5356
2019-12-08,0.5356,0.5356,0.5356,0.5356
2019-12-09,0.5356,0.5356,0.5356,0.5356
2019-12-10,0.4928,0.5356,0.5356,0.4909
2019-12-11,0.4907,0.4928,0.4928,0.4899
2019-12-12,0.4656,0.4907,0.4907,0.4578
2019-12-13,0.4656,0.4656,0.4656,0.4656
2019-12-14,0.4656,0.4656,0.4656,0.4656
2019-12-15,0.4656,0.4656,0.4656,0.4656
2019-12-16,0.4656,0.4656,0.4656,0.4656
2019-12-17,0.4337,0.4656,0.4656,0.4337
2019-12-18,0.4631,0.4337,0.4951,0.4337
2019-12-19,0.4297,0.4631,0.4631,0.4297
2019-12-20,0.4297,0.4297,0.4297,0.4297
2019-12-21,0.4297,0.4297,0.4297,0.4297
2019-12-22,0.4297,0.4297,0.4297,0.4297
2019-12-23,0.4297,0.4297,0.4297,0.4297
2019-12-24,0.4259,0.4297,0.4297,0.4092
2019-12-25,0.4224,0.4259,0.4259,0.42
2019-12-26,0.4322,0.4224,0.4322,0.4224
2019-12-27,0.47,0.4322,0.75,0.3979
2019-12-28,0.4326,0.47,0.48,0.4326
2019-12-29,0.435,0.4326,0.4794,0.418
2019-12-30,0.455,0.435,0.464,0.435
2019-12-31,0.407,0.455,0.455,0.407
2020-01-01,0.4065,0.407,0.45,0.401
2020-01-02,0.394,0.4065,0.4448,0.394
2020-01-03,0.4073,0.394,0.44,0.3879
2020-01-04,0.4255,0.4073,0.439,0.4005
2020-01-05,0.4027,0.4255,0.5,0.4027
2020-01-06,0.455,0.4027,0.487,0.4027
2020-01-07,0.7024,0.455,0.7024,0.4141
2020-01-08,0.5655,0.7024,0.7024,0.5384
2020-01-09,0.5723,0.5655,0.6466,0.47
2020-01-10,0.5493,0.5723,0.6299,0.501
2020-01-11,0.5675,0.5493,0.5675,0.5398
2020-01-12,0.5468,0.5675,0.5831,0.5468
2020-01-13,0.565,0.5468,0.58,0.5318
2020-01-14,0.6142,0.565,0.6532,0.555
2020-01-15,0.588,0.6142,0.6726,0.53
2020-01-16,0.609,0.588,0.609,0.5465
2020-01-17,0.5655,0.609,0.609,0.545
2020-01-18,0.5917,0.5655,0.7082,0.5537
2020-01-19,0.631,0.5917,0.6576,0.5555
2020-01-20,0.5843,0.631,0.631,0.5703
2020-01-21,0.5834,0.5843,0.5843,0.5729
2020-01-22,0.617,0.5834,0.6295,0.5729
2020-01-23,0.5699,0.617,0.617,0.5555
