TIMESTAMP,PHNIX_OPEN_PRICE_USD,PHNIX_HIGH_PRICE_USD,PHNIX_LOW_PRICE_USD,PHNIX_CLOSE_PRICE_USD,PHNIX_VOLUME_USD,PHNIX_DIVIDENDS_USD,PHNIX_STOCK_SPLITS_USD
2025-02-22 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.4000000192027073e-05,822478,0.0,0.0
2025-02-23 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,815127,0.0,0.0
2025-02-24 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.1000000085914508e-05,1.1000000085914508e-05,829137,0.0,0.0
2025-02-25 00:00:00+00:00,1.1000000085914508e-05,1.4000000192027073e-05,7.999999979801942e-06,9.999999747378752e-06,916435,0.0,0.0
2025-02-26 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,830638,0.0,0.0
2025-02-27 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,823020,0.0,0.0
2025-02-28 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,9.000000318337698e-06,879258,0.0,0.0
2025-03-01 00:00:00+00:00,9.000000318337698e-06,1.4000000192027073e-05,9.000000318337698e-06,1.2000000424450263e-05,894429,0.0,0.0
2025-03-02 00:00:00+00:00,1.2000000424450263e-05,2.9999999242136255e-05,1.2000000424450263e-05,2.300000051036477e-05,1230714,0.0,0.0
2025-03-03 00:00:00+00:00,2.300000051036477e-05,2.499999936844688e-05,1.700000029813964e-05,1.700000029813964e-05,811857,0.0,0.0
2025-03-04 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.700000029813964e-05,802349,0.0,0.0
2025-03-05 00:00:00+00:00,1.700000029813964e-05,2.8000000384054147e-05,1.5999999959603883e-05,2.700000004551839e-05,475708,0.0,0.0
