TIMESTAMP,XMR_OPEN_PRICE_USDT,XMR_HIGH_PRICE_USDT,XMR_LOW_PRICE_USDT,XMR_CLOSE_PRICE_USDT,ETH_OPEN_PRICE_USDT,ETH_HIGH_PRICE_USDT,ETH_LOW_PRICE_USDT,ETH_CLOSE_PRICE_USDT,XRP_OPEN_PRICE_USDT,XRP_HIGH_PRICE_USDT,XRP_LOW_PRICE_USDT,XRP_CLOSE_PRICE_USDT,ZEC_OPEN_PRICE_USDT,ZEC_HIGH_PRICE_USDT,ZEC_LOW_PRICE_USDT,ZEC_CLOSE_PRICE_USDT,XLM_OPEN_PRICE_USDT,XLM_HIGH_PRICE_USDT,XLM_LOW_PRICE_USDT,XLM_CLOSE_PRICE_USDT,BTC_OPEN_PRICE_USDT,BTC_HIGH_PRICE_USDT,BTC_LOW_PRICE_USDT,BTC_CLOSE_PRICE_USDT
2017-08-17 04:00:00,,,,,301.13,312.0,298.0,307.06,,,,,,,,,,,,,4261.48,4485.39,4261.32,4352.34
2017-08-17 16:00:00,,,,,307.06,312.18,295.19,301.4,,,,,,,,,,,,,4352.34,4369.69,4134.61,4292.39
2017-08-18 04:00:00,,,,,301.4,311.79,296.32,298.8,,,,,,,,,,,,,4292.39,4371.52,4193.7,4236.89
2017-08-18 16:00:00,,,,,298.8,301.11,283.94,293.22,,,,,,,,,,,,,4236.89,4297.75,3938.77,4138.55
2017-08-19 04:00:00,,,,,293.22,299.9,278.0,288.64,,,,,,,,,,,,,4138.55,4156.0,3850.0,3972.05
2017-08-19 16:00:00,,,,,288.64,295.0,284.16,292.41,,,,,,,,,,,,,3972.05,4149.99,3953.4,4094.62
2017-08-20 04:00:00,,,,,292.41,296.92,282.85,295.1,,,,,,,,,,,,,4094.62,4211.08,4032.62,4125.0
2017-08-20 16:00:00,,,,,295.1,300.9,293.28,299.85,,,,,,,,,,,,,4125.0,4185.94,4039.0,4084.76
2017-08-21 04:00:00,,,,,299.85,346.52,299.11,334.94,,,,,,,,,,,,,4084.76,4104.68,3911.79,4022.0
2017-08-21 16:00:00,,,,,334.94,342.72,280.0,280.0,,,,,,,,,,,,,4022.0,4070.49,3688.97,3862.39
2017-08-22 04:00:00,,,,,280.0,313.16,144.21,308.39,,,,,,,,,,,,,3862.39,3990.12,3400.0,3858.23
2017-08-22 16:00:00,,,,,308.39,320.76,305.08,317.26,,,,,,,,,,,,,3858.23,4127.99,3853.47,4100.41
2017-08-23 04:00:00,,,,,317.26,324.99,313.75,319.2,,,,,,,,,,,,,4100.41,4265.8,4035.32,4197.05
2017-08-23 16:00:00,,,,,319.2,322.34,312.05,315.22,,,,,,,,,,,,,4197.05,4259.58,4069.8,4113.58
2017-08-24 04:00:00,,,,,315.22,328.04,314.31,321.2,,,,,,,,,,,,,4113.58,4250.94,4090.39,4222.0
2017-08-24 16:00:00,,,,,321.2,330.44,318.97,326.55,,,,,,,,,,,,,4222.0,4371.68,4178.22,4312.69
2017-08-25 04:00:00,,,,,326.55,335.41,326.55,333.15,,,,,,,,,,,,,4312.69,4422.29,4261.13,4394.36
2017-08-25 16:00:00,,,,,333.15,338.28,323.41,323.46,,,,,,,,,,,,,4394.36,4453.91,4228.99,4297.94
2017-08-26 04:00:00,,,,,323.46,335.44,323.41,327.0,,,,,,,,,,,,,4297.94,4319.7,4221.14,4275.0
2017-08-26 16:00:00,,,,,327.0,338.28,326.7,331.62,,,,,,,,,,,,,4275.0,4400.0,4212.41,4314.91
2017-08-27 04:00:00,,,,,331.62,338.42,330.73,334.67,,,,,,,,,,,,,4314.91,4370.85,4285.54,4325.0
2017-08-27 16:00:00,,,,,334.67,351.0,332.97,343.44,,,,,,,,,,,,,4325.0,4386.79,4239.36,4239.37
2017-08-28 04:00:00,,,,,343.44,347.41,331.95,341.83,,,,,,,,,,,,,4239.37,4365.4,4124.54,4273.59
2017-08-28 16:00:00,,,,,341.83,348.5,340.49,346.0,,,,,,,,,,,,,4273.59,4399.82,4273.59,4386.69
2017-08-29 00:00:00,,,,,346.0,367.13,346.0,356.75,,,,,,,,,,,,,4386.69,4417.61,4313.55,4368.5
2017-08-29 12:00:00,,,,,356.75,377.6,356.75,374.7,,,,,,,,,,,,,4368.5,4625.85,4347.59,4587.48
