TIMESTAMP,LIO33738_OPEN_PRICE_USD,LIO33738_HIGH_PRICE_USD,LIO33738_LOW_PRICE_USD,LIO33738_CLOSE_PRICE_USD,LIO33738_VOLUME_USD,LIO33738_DIVIDENDS_USD,LIO33738_STOCK_SPLITS_USD
2024-10-30 00:00:00+00:00,0.00035799999022856355,0.0007590000168420374,0.0003239999932702631,0.00043799998820759356,758343,0.0,0.0
2024-10-31 00:00:00+00:00,0.00043799998820759356,0.000645000021904707,0.00026599998818710446,0.0004039999912492931,393598,0.0,0.0
2024-11-01 00:00:00+00:00,0.0004039999912492931,0.0005300000193528831,0.0002749999985098839,0.0004199999966658652,185988,0.0,0.0
2024-11-02 00:00:00+00:00,0.0004199999966658652,0.00044299999717622995,0.0002969999914057553,0.00033400001120753586,95560,0.0,0.0
2024-11-03 00:00:00+00:00,0.00033400001120753586,0.00036199999158270657,0.0002300000051036477,0.0003349999897181988,60150,0.0,0.0
2024-11-04 00:00:00+00:00,0.0003349999897181988,0.0003480000013951212,0.00020700000459328294,0.00020700000459328294,36692,0.0,0.0
2024-11-05 00:00:00+00:00,0.00020700000459328294,0.00020700000459328294,9.899999713525176e-05,0.0001630000042496249,56119,0.0,0.0
2024-11-06 00:00:00+00:00,0.0001630000042496249,0.00021499999274965376,0.0001449999981559813,0.00019500000053085387,25186,0.0,0.0
2024-11-07 00:00:00+00:00,0.00019500000053085387,0.00021800000104121864,0.00016900000628083944,0.0001829999964684248,18118,0.0,0.0
2024-11-08 00:00:00+00:00,0.0001829999964684248,0.00030899999546818435,0.00014099999680183828,0.0002699999895412475,58203,0.0,0.0
2024-11-09 00:00:00+00:00,0.0002699999895412475,0.0003009999927598983,0.00022600000374950469,0.0002730000123847276,21009,0.0,0.0
2024-11-10 00:00:00+00:00,0.0002730000123847276,0.00030700000934302807,0.00019299999985378236,0.00020900000527035445,22182,0.0,0.0
2024-11-11 00:00:00+00:00,0.00020900000527035445,0.0002410000015515834,0.00018000000272877514,0.0001849999971454963,42151,0.0,0.0
2024-11-12 00:00:00+00:00,0.0001849999971454963,0.0002280000044265762,0.00015799999528098851,0.00017699999443721026,26069,0.0,0.0
2024-11-13 00:00:00+00:00,0.00017699999443721026,0.00017699999443721026,0.00012799999967683107,0.0001340000017080456,27663,0.0,0.0
2024-11-14 00:00:00+00:00,0.0001340000017080456,0.0003009999927598983,0.0001250000059371814,0.00017600000137463212,182784,0.0,0.0
