TIMESTAMP,TUCKER29199_OPEN_PRICE_USD,TUCKER29199_HIGH_PRICE_USD,TUCKER29199_LOW_PRICE_USD,TUCKER29199_CLOSE_PRICE_USD,TUCKER29199_VOLUME_USD,TUCKER29199_DIVIDENDS_USD,TUCKER29199_STOCK_SPLITS_USD
2024-01-29 00:00:00+00:00,1.2000000424450263e-05,2.099999983329326e-05,9.000000318337698e-06,9.999999747378752e-06,131978,0.0,0.0
2024-01-30 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,7.999999979801942e-06,9.999999747378752e-06,55501,0.0,0.0
2024-01-31 00:00:00+00:00,9.999999747378752e-06,1.5999999959603883e-05,7.000000096013537e-06,7.999999979801942e-06,79542,0.0,0.0
2024-02-01 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,6.000000212225132e-06,6.000000212225132e-06,36422,0.0,0.0
2024-02-02 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,4.999999873689376e-06,7.000000096013537e-06,22532,0.0,0.0
2024-02-03 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,3.999999989900971e-06,6.000000212225132e-06,18029,0.0,0.0
2024-02-04 00:00:00+00:00,6.000000212225132e-06,1.2000000424450263e-05,4.999999873689376e-06,7.999999979801942e-06,69040,0.0,0.0
2024-02-05 00:00:00+00:00,7.999999979801942e-06,1.2000000424450263e-05,7.000000096013537e-06,1.2000000424450263e-05,43094,0.0,0.0
2024-02-06 00:00:00+00:00,1.2000000424450263e-05,4.999999873689376e-05,1.2000000424450263e-05,3.7000001611886546e-05,692436,0.0,0.0
2024-02-07 00:00:00+00:00,3.7000001611886546e-05,7.100000220816582e-05,3.300000025774352e-05,5.6000000768108293e-05,1038545,0.0,0.0
2024-02-08 00:00:00+00:00,5.500000042957254e-05,7.999999797903001e-05,3.199999991920777e-05,3.7999998312443495e-05,937702,0.0,0.0
2024-02-09 00:00:00+00:00,3.7999998312443495e-05,4.5000000682193786e-05,1.8999999156221747e-05,2.499999936844688e-05,605612,0.0,0.0
2024-02-10 00:00:00+00:00,2.499999936844688e-05,2.9000000722589903e-05,1.5999999959603883e-05,1.8000000636675395e-05,244065,0.0,0.0
2024-02-11 00:00:00+00:00,1.8000000636675395e-05,2.2000000171829015e-05,1.5999999959603883e-05,1.9999999494757503e-05,91728,0.0,0.0
2024-02-12 00:00:00+00:00,1.9999999494757503e-05,3.199999991920777e-05,1.9999999494757503e-05,2.499999936844688e-05,109332,0.0,0.0
2024-02-13 00:00:00+00:00,2.499999936844688e-05,2.8000000384054147e-05,1.700000029813964e-05,2.099999983329326e-05,84832,0.0,0.0
2024-02-14 00:00:00+00:00,2.099999983329326e-05,2.5999999706982635e-05,1.2000000424450263e-05,2.2000000171829015e-05,240134,0.0,0.0
