,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{XRP}/\emph{USDT} OP,2771,0.53,0.36,0.14,0.19,0.30,0.46,0.61,1.17,2.78
\emph{XRP}/\emph{USDT} HP,2771,0.55,0.39,0.15,0.20,0.31,0.47,0.63,1.24,3.29
\emph{XRP}/\emph{USDT} LP,2771,0.50,0.33,0.10,0.19,0.28,0.45,0.59,1.09,2.58
\emph{XRP}/\emph{USDT} CP,2771,0.53,0.36,0.14,0.19,0.30,0.46,0.61,1.17,2.78
