,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{XRP}/\emph{USDT} OP,58408,0.52,0.33,0.12,0.20,0.31,0.47,0.61,1.13,2.85
\emph{XRP}/\emph{USDT} HP,58408,0.53,0.34,0.13,0.20,0.31,0.47,0.61,1.14,2.91
\emph{XRP}/\emph{USDT} LP,58408,0.52,0.33,0.10,0.20,0.31,0.46,0.60,1.11,2.70
\emph{XRP}/\emph{USDT} CP,58408,0.52,0.33,0.12,0.20,0.31,0.47,0.61,1.13,2.85
