TIMESTAMP,WHALE30068_OPEN_PRICE_USD,WHALE30068_HIGH_PRICE_USD,WHALE30068_LOW_PRICE_USD,WHALE30068_CLOSE_PRICE_USD,WHALE30068_VOLUME_USD,WHALE30068_DIVIDENDS_USD,WHALE30068_STOCK_SPLITS_USD
2024-03-22 00:00:00+00:00,4.600000102072954e-05,6.0999998822808266e-05,2.9000000722589903e-05,4.5000000682193786e-05,832236,0.0,0.0
2024-03-23 00:00:00+00:00,4.5000000682193786e-05,4.8000001697801054e-05,2.9999999242136255e-05,2.9999999242136255e-05,185503,0.0,0.0
2024-03-24 00:00:00+00:00,2.9999999242136255e-05,3.7000001611886546e-05,2.700000004551839e-05,3.5000000934815034e-05,95610,0.0,0.0
2024-03-25 00:00:00+00:00,3.5000000934815034e-05,3.600000127335079e-05,2.4000000848900527e-05,2.9000000722589903e-05,105379,0.0,0.0
2024-03-26 00:00:00+00:00,2.9000000722589903e-05,3.099999958067201e-05,2.700000004551839e-05,2.700000004551839e-05,28015,0.0,0.0
2024-03-27 00:00:00+00:00,2.700000004551839e-05,4.70000013592653e-05,2.700000004551839e-05,3.7000001611886546e-05,141580,0.0,0.0
2024-03-28 00:00:00+00:00,3.7000001611886546e-05,4.999999873689376e-05,2.9999999242136255e-05,3.099999958067201e-05,157347,0.0,0.0
2024-03-29 00:00:00+00:00,3.099999958067201e-05,3.7000001611886546e-05,2.9999999242136255e-05,3.300000025774352e-05,90516,0.0,0.0
2024-03-30 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,2.700000004551839e-05,2.9999999242136255e-05,44819,0.0,0.0
2024-03-31 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9999999242136255e-05,21716,0.0,0.0
2024-04-01 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,1.9999999494757503e-05,2.499999936844688e-05,58181,0.0,0.0
2024-04-02 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.300000051036477e-05,36280,0.0,0.0
2024-04-03 00:00:00+00:00,2.300000051036477e-05,2.8000000384054147e-05,2.2000000171829015e-05,2.300000051036477e-05,33475,0.0,0.0
2024-04-04 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.099999983329326e-05,2.099999983329326e-05,16919,0.0,0.0
2024-04-05 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.8000000636675395e-05,1.8999999156221747e-05,10831,0.0,0.0
