TIMESTAMP,HOKK30018_OPEN_PRICE_USD,HOKK30018_HIGH_PRICE_USD,HOKK30018_LOW_PRICE_USD,HOKK30018_CLOSE_PRICE_USD,HOKK30018_VOLUME_USD,HOKK30018_DIVIDENDS_USD,HOKK30018_STOCK_SPLITS_USD
2024-03-20 00:00:00+00:00,,,,0.0,39110,0.0,0.0
2024-03-21 00:00:00+00:00,,,,0.0,24017,0.0,0.0
2024-03-22 00:00:00+00:00,,,,0.0,15678,0.0,0.0
2024-03-23 00:00:00+00:00,,,,0.0,4040,0.0,0.0
2024-03-24 00:00:00+00:00,,,,0.0,5155,0.0,0.0
2024-03-25 00:00:00+00:00,,,,0.0,3911,0.0,0.0
2024-03-26 00:00:00+00:00,,,,0.0,17644,0.0,0.0
2024-03-27 00:00:00+00:00,,,,0.0,24257,0.0,0.0
2024-03-28 00:00:00+00:00,,,,0.0,6950,0.0,0.0
2024-03-29 00:00:00+00:00,,,,0.0,3684,0.0,0.0
2024-03-30 00:00:00+00:00,,,,0.0,10735,0.0,0.0
2024-03-31 00:00:00+00:00,,,,0.0,10106,0.0,0.0
2024-04-01 00:00:00+00:00,,,,0.0,4951,0.0,0.0
2024-04-02 00:00:00+00:00,,,,0.0,9483,0.0,0.0
2024-04-03 00:00:00+00:00,,,,0.0,9659,0.0,0.0
2024-04-04 00:00:00+00:00,,,,0.0,2558,0.0,0.0
2024-04-05 00:00:00+00:00,,,,0.0,22345,0.0,0.0
2024-04-06 00:00:00+00:00,,,,0.0,16468,0.0,0.0
2024-04-07 00:00:00+00:00,,,,0.0,6906,0.0,0.0
2024-04-08 00:00:00+00:00,,,,0.0,14516,0.0,0.0
2024-04-09 00:00:00+00:00,,,,0.0,8378,0.0,0.0
2024-04-10 00:00:00+00:00,,,,0.0,7021,0.0,0.0
2024-04-11 00:00:00+00:00,,,,0.0,36476,0.0,0.0
2024-04-12 00:00:00+00:00,,,,0.0,102578,0.0,0.0
2024-04-13 00:00:00+00:00,,,,0.0,14554,0.0,0.0
2024-04-14 00:00:00+00:00,,,,0.0,10253,0.0,0.0
2024-04-15 00:00:00+00:00,,,,0.0,9831,0.0,0.0
2024-04-16 00:00:00+00:00,,,,0.0,19330,0.0,0.0
2024-04-17 00:00:00+00:00,,,,0.0,2066,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,4677,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,30517,0.0,0.0
2024-04-20 00:00:00+00:00,,,,0.0,51746,0.0,0.0
2024-04-21 00:00:00+00:00,,,,0.0,5187,0.0,0.0
2024-04-22 00:00:00+00:00,,,,0.0,3368,0.0,0.0
2024-04-23 00:00:00+00:00,,,,0.0,2103,0.0,0.0
2024-04-24 00:00:00+00:00,,,,0.0,17285,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,4705,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,11687,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,24011,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,6164,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,2584,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,2560,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,1050,0.0,0.0
