TIMESTAMP,STORAGENT_OPEN_PRICE_USD,STORAGENT_HIGH_PRICE_USD,STORAGENT_LOW_PRICE_USD,STORAGENT_CLOSE_PRICE_USD,STORAGENT_VOLUME_USD,STORAGENT_DIVIDENDS_USD,STORAGENT_STOCK_SPLITS_USD
2025-03-02 00:00:00+00:00,3.9999998989515007e-05,5.199999941396527e-05,3.7000001611886546e-05,4.8999998398358e-05,161109,0.0,0.0
2025-03-03 00:00:00+00:00,4.8999998398358e-05,5.199999941396527e-05,4.70000013592653e-05,4.999999873689376e-05,137230,0.0,0.0
2025-03-04 00:00:00+00:00,4.999999873689376e-05,5.199999941396527e-05,4.70000013592653e-05,5.199999941396527e-05,138151,0.0,0.0
2025-03-05 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,4.70000013592653e-05,4.999999873689376e-05,138093,0.0,0.0
2025-03-06 00:00:00+00:00,4.999999873689376e-05,5.199999941396527e-05,4.70000013592653e-05,4.8000001697801054e-05,145718,0.0,0.0
2025-03-07 00:00:00+00:00,4.8000001697801054e-05,5.199999941396527e-05,4.5000000682193786e-05,4.5000000682193786e-05,136428,0.0,0.0
2025-03-08 00:00:00+00:00,4.5000000682193786e-05,5.0999999075429514e-05,3.099999958067201e-05,3.099999958067201e-05,105149,0.0,0.0
2025-03-09 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,3.099999958067201e-05,3.099999958067201e-05,50301,0.0,0.0
2025-03-10 00:00:00+00:00,3.099999958067201e-05,4.70000013592653e-05,2.8000000384054147e-05,4.70000013592653e-05,80483,0.0,0.0
2025-03-11 00:00:00+00:00,4.70000013592653e-05,4.70000013592653e-05,3.300000025774352e-05,3.400000059627928e-05,107009,0.0,0.0
2025-03-12 00:00:00+00:00,3.400000059627928e-05,3.600000127335079e-05,3.300000025774352e-05,3.600000127335079e-05,150412,0.0,0.0
2025-03-13 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,3.300000025774352e-05,3.5000000934815034e-05,143714,0.0,0.0
2025-03-14 00:00:00+00:00,3.5000000934815034e-05,3.600000127335079e-05,3.300000025774352e-05,3.300000025774352e-05,131340,0.0,0.0
2025-03-15 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,3.099999958067201e-05,3.099999958067201e-05,114661,0.0,0.0
2025-03-16 00:00:00+00:00,3.099999958067201e-05,3.400000059627928e-05,2.9999999242136255e-05,3.300000025774352e-05,120457,0.0,0.0
2025-03-17 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,2.9999999242136255e-05,3.400000059627928e-05,128153,0.0,0.0
2025-03-18 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,2.9999999242136255e-05,3.199999991920777e-05,125615,0.0,0.0
2025-03-19 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,3.099999958067201e-05,3.099999958067201e-05,124142,0.0,0.0
2025-03-20 00:00:00+00:00,3.099999958067201e-05,3.400000059627928e-05,2.9999999242136255e-05,3.300000025774352e-05,133352,0.0,0.0
2025-03-21 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,2.9999999242136255e-05,3.099999958067201e-05,121021,0.0,0.0
2025-03-22 00:00:00+00:00,3.099999958067201e-05,3.400000059627928e-05,2.9999999242136255e-05,3.099999958067201e-05,116553,0.0,0.0
2025-03-23 00:00:00+00:00,3.099999958067201e-05,3.400000059627928e-05,3.099999958067201e-05,3.099999958067201e-05,126035,0.0,0.0
2025-03-24 00:00:00+00:00,3.099999958067201e-05,3.400000059627928e-05,3.099999958067201e-05,3.199999991920777e-05,128404,0.0,0.0
2025-03-25 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,3.099999958067201e-05,3.099999958067201e-05,126749,0.0,0.0
2025-03-26 00:00:00+00:00,3.099999958067201e-05,3.400000059627928e-05,3.099999958067201e-05,3.199999991920777e-05,134260,0.0,0.0
2025-03-27 00:00:00+00:00,3.199999991920777e-05,3.400000059627928e-05,3.099999958067201e-05,3.199999991920777e-05,129870,0.0,0.0
