,K,Alpha,Tau,MSE
0,14,1250,0.25,0.30377115811466937
1,12,1000,0.3,0.3037721755100314
2,9,500,0.3,0.3037728527051893
3,14,1250,0.3,0.3037732079815887
4,9,500,0.25,0.3037736114479247
5,13,1000,0.3,0.303773955100454
6,13,1000,0.25,0.30377416579893307
7,13,1250,0.3,0.3037743819531053
8,13,1000,0.2,0.30377599258942184
9,8,250,0.3,0.3037769156373014
10,12,750,0.3,0.30377692926812166
11,9,250,0.3,0.3037771056162611
12,7,250,0.3,0.30377764190442125
13,12,750,0.25,0.30377807742866675
14,14,1000,0.3,0.3037783451540543
15,14,1000,0.25,0.3037785655284437
16,8,250,0.25,0.30377900305427874
17,9,250,0.25,0.30377917674368693
18,12,750,0.2,0.3037797300289179
19,7,250,0.25,0.3037800027671588
20,14,1000,0.2,0.3037805053179341
21,10,500,0.3,0.30378117078350086
22,10,500,0.25,0.30378262814862433
23,8,250,0.2,0.3037828782197963
24,9,250,0.2,0.30378297361497575
25,13,750,0.3,0.3037836888785144
26,7,250,0.2,0.3037843585806784
27,10,500,0.2,0.30378485014099815
28,6,250,0.3,0.3037855920901745
29,13,750,0.25,0.3037861986006979
30,13,750,0.2,0.3037898410348321
31,9,250,0.15,0.3037912450627661
32,8,250,0.15,0.3037913974509135
33,12,750,0.15,0.303791955778852
34,6,250,0.25,0.30379225251345265
35,7,250,0.15,0.3037939114100493
36,12,1000,0.25,0.3037941965507673
37,13,750,0.15,0.30379534772094097
38,14,1500,0.3,0.30379710877476207
39,14,750,0.3,0.3037985811100408
40,14,750,0.25,0.30380381643937043
41,14,750,0.2,0.30381067574411674
42,9,250,0.1,0.3038159550161303
43,14,750,0.15,0.30381908332584706
44,7,250,0.1,0.30382108602494345
45,8,250,0.1,0.303824892653614
46,12,500,0.3,0.30384001340965333
47,9,500,0.2,0.30384832882232327
48,13,500,0.3,0.3038520749288882
49,12,500,0.25,0.30385669964006834
50,14,500,0.3,0.30387351363407467
51,13,500,0.25,0.3038751391340555
52,12,500,0.2,0.30388275447771446
53,14,500,0.25,0.30390554153870797
54,13,500,0.2,0.30391160320189436
55,12,500,0.15,0.3039292570545063
56,10,500,0.15,0.3039568719772334
57,14,500,0.2,0.30395706255121063
58,13,500,0.15,0.30397471562305123
59,9,250,0.05,0.303981631549101
60,12,500,0.1,0.3040263655547167
61,10,250,0.3,0.30402966804876963
62,14,500,0.15,0.3040464313320306
63,13,500,0.1,0.3040874663976202
64,10,250,0.25,0.3041149488429787
65,14,500,0.1,0.3041830783557314
66,10,250,0.2,0.3042547484599914
67,11,500,0.2,0.30444583059703684
68,10,250,0.15,0.3045109017866005
69,13,750,0.1,0.30460710602841023
70,15,1500,0.3,0.3046264697777069
71,11,500,0.25,0.30470452837320605
72,15,1250,0.25,0.30482116521543684
73,11,500,0.3,0.3048409136060937
74,15,1250,0.3,0.3048536526773672
75,15,1250,0.2,0.3048815423945945
76,12,500,0.05,0.3048967634257924
77,11,250,0.3,0.30491454245487276
78,13,1250,0.25,0.3049506248763825
79,14,250,0.3,0.304964224704603
80,15,1500,0.25,0.3050120517670114
81,10,250,0.1,0.3050473057507556
82,15,250,0.3,0.3051906540135715
83,15,1250,0.15,0.3052316850580236
84,13,1000,0.15,0.3053140343619231
85,11,250,0.25,0.30540276965995117
86,14,250,0.25,0.3054621669418797
87,12,250,0.3,0.3056108861834122
88,15,250,0.25,0.30574828822563815
89,15,1500,0.2,0.30588403595404867
90,7,250,0.05,0.3063078407804351
91,12,250,0.25,0.3063187667454103
92,11,250,0.2,0.3063232769862671
93,14,250,0.2,0.3063737504120312
94,14,500,0.05,0.3064128286672819
95,15,1000,0.1,0.3066190095287558
96,15,250,0.2,0.3067692812986287
97,14,750,0.1,0.3069234901917443
98,12,750,0.1,0.3070582845889767
99,10,250,0.05,0.30744720643100526
100,12,250,0.2,0.3075809274323307
101,6,250,0.2,0.30809457601600254
102,12,1000,0.2,0.308105097260026
103,14,250,0.15,0.30836255421080194
104,11,250,0.15,0.30850048913719935
105,15,250,0.15,0.30901572279739564
106,15,1750,0.3,0.30914777589014214
107,15,1000,0.15,0.30930389876133574
108,13,250,0.3,0.3094293230395092
109,8,500,0.3,0.3098151348135079
110,12,250,0.15,0.31026707900919753
111,15,1000,0.2,0.31127373815352205
112,13,500,0.05,0.31128739084714785
113,15,1500,0.15,0.3118590256468561
114,11,500,0.15,0.31202698799482664
115,15,1750,0.25,0.31264670359126395
116,13,250,0.25,0.31283978680383234
117,8,250,0.05,0.31284737771035515
118,15,1000,0.25,0.31342115232657053
119,14,1000,0.15,0.3136494364570724
120,14,250,0.1,0.3144436618427114
121,15,1000,0.3,0.31563236593978494
122,15,250,0.1,0.3160240325893547
123,11,250,0.1,0.3179244367430463
124,12,250,0.1,0.3184562702425315
125,15,1750,0.2,0.3196983264131193
126,13,250,0.2,0.3198129926381549
127,15,1250,0.1,0.321730644470687
128,15,750,0.3,0.3222405434081059
129,13,250,0.15,0.33578706780021766
130,15,750,0.25,0.355404111774215
131,10,500,0.1,0.35852254715557275
132,14,250,0.05,0.3588895598801069
133,13,1250,0.2,0.360781367171813
134,15,250,0.05,0.3647919907031533
135,13,250,0.1,0.3791087193213272
136,12,250,0.05,0.3872040263635325
137,15,2000,0.3,0.38962428614116423
138,15,500,0.3,0.40793854442976385
139,14,1000,0.1,0.41310544231558843
140,13,1500,0.3,0.4417286772358092
141,12,1250,0.3,0.44682931782992474
142,14,1250,0.1,0.4545730990775604
143,15,2000,0.25,0.46049730933504507
144,15,2250,0.25,0.47629163463331264
145,15,750,0.2,0.4891077311207946
146,15,2500,0.3,0.52334217892077
147,15,1000,0.05,0.5320891182002297
148,13,250,0.05,0.541723077041688
149,14,1250,0.2,0.5468222175211129
150,15,2250,0.3,0.5651483201674959
151,15,500,0.25,0.5682516993889072
152,8,500,0.25,0.5872267528234504
153,15,750,0.15,0.6067729932183203
154,14,1500,0.2,0.6158909815534833
155,15,500,0.05,0.7056415675496645
156,9,500,0.15,0.7802945804646934
157,15,500,0.1,0.7947188477295202
158,15,750,0.1,0.7977016377964989
159,12,750,0.05,0.8323966417401952
160,11,500,0.1,0.8485359550152078
161,14,1750,0.25,0.9236664944753212
162,14,1000,0.05,1.0111319739925566
163,15,500,0.2,1.0178430731916015
164,14,1750,0.3,1.1918985876148693
165,11,750,0.25,1.2159029002452455
166,10,750,0.3,1.34369809185717
167,14,1250,0.15,1.3715962026179502
168,11,750,0.2,1.4123798972016546
169,12,1500,0.2,1.515295051764215
170,15,750,0.05,1.5447329244799741
171,10,750,0.2,1.627160967552203
172,12,1000,0.15,1.6331054322018108
173,14,1500,0.25,1.7560805740401775
174,15,500,0.15,1.7562439197440673
175,14,750,0.05,1.8557926792057273
176,14,1500,0.1,2.1016374999328895
177,13,750,0.05,2.287848824031421
178,14,1750,0.2,2.393654817864932
179,11,750,0.3,2.590134450068565
180,9,750,0.3,2.5923601233530995
181,8,500,0.15,2.6729533429813475
182,15,2000,0.2,2.7287775989255705
183,12,1250,0.25,2.8060149756547488
184,12,1000,0.1,3.019785956876674
185,11,250,0.05,3.188649624574518
186,11,500,0.05,3.1948344664135337
187,13,1500,0.25,3.2718792288171117
188,15,1750,0.15,3.3699263626737403
189,13,1250,0.1,3.5102332302639594
190,12,1250,0.2,3.8855593981911722
191,14,1500,0.15,4.065856079399171
192,10,750,0.25,4.072573327657314
193,11,1000,0.25,4.25041425391502
194,12,1750,0.25,4.327859013459491
195,15,250,0.0,4.7226403162379444
196,15,2750,0.25,4.853774730931863
197,14,250,0.0,4.949596379796669
198,13,1000,0.1,4.964359301448159
199,14,2000,0.3,5.026415509095027
200,12,1250,0.15,5.477794624057533
201,13,250,0.0,5.727525063658063
202,8,500,0.2,5.918807459866742
203,15,1500,0.05,6.104504236875944
204,10,500,0.05,6.122049586307391
205,11,1000,0.05,6.293783705056397
206,9,750,0.25,6.381534521432194
207,12,250,0.0,6.691568214982876
208,13,2250,0.3,6.703689528719864
209,13,1250,0.15,6.83607269096982
210,15,1500,0.1,6.840555986889346
211,14,1750,0.1,7.017653695477079
212,10,1250,0.3,7.235461667206627
213,14,2000,0.25,7.24721438377605
214,5,250,0.3,7.266686033164164
215,9,750,0.15,7.37734271958692
216,12,1500,0.3,7.4843551398968575
217,13,1750,0.3,7.532291308713356
218,13,1750,0.25,8.279487741649566
219,13,1000,0.05,8.284302617458708
220,9,500,0.05,8.290905448224454
