TIMESTAMP,DOGEMOON36204_OPEN_PRICE_USD,DOGEMOON36204_HIGH_PRICE_USD,DOGEMOON36204_LOW_PRICE_USD,DOGEMOON36204_CLOSE_PRICE_USD,DOGEMOON36204_VOLUME_USD,DOGEMOON36204_DIVIDENDS_USD,DOGEMOON36204_STOCK_SPLITS_USD
2025-04-05 00:00:00+00:00,,,,0.0,122428,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,136010,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,5513,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,7822,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,3893,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,1574,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,3021,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,2032,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,986,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,865,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,114,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,373,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,24,0.0,0.0
2025-05-16 00:00:00+00:00,,,,0.0,520,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,250,0.0,0.0
2025-05-19 00:00:00+00:00,,,,0.0,89,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,73,0.0,0.0
2025-06-01 00:00:00+00:00,1.1894000053521564e-13,1.1894000053521564e-13,1.111119998634981e-13,1.1111222348019617e-13,247,0.0,0.0
