TIMESTAMP,COAI_OPEN_PRICE_USD,COAI_HIGH_PRICE_USD,COAI_LOW_PRICE_USD,COAI_CLOSE_PRICE_USD,COAI_VOLUME_USD,COAI_DIVIDENDS_USD,COAI_STOCK_SPLITS_USD
2024-08-01 00:00:00+00:00,0.014055999927222729,0.0159939993172884,0.009070999920368195,0.010240999981760979,5562444,0.0,0.0
2024-08-02 00:00:00+00:00,0.009479000233113766,0.012090000323951244,0.002816000021994114,0.002983999904245138,10214642,0.0,0.0
2024-08-03 00:00:00+00:00,0.002985999919474125,0.00443900004029274,0.000910000002477318,0.0009720000089146197,12760833,0.0,0.0
2024-08-04 00:00:00+00:00,0.0009720000089146197,0.001218999968841672,0.0004039999912492931,0.0004299999854993075,11281613,0.0,0.0
2024-08-05 00:00:00+00:00,0.00044999999227002263,0.0006949999951757491,0.00016700000560376793,0.00021100000594742596,9609497,0.0,0.0
2024-08-06 00:00:00+00:00,0.00021100000594742596,0.00022200000239536166,5.199999941396527e-05,7.400000322377309e-05,3998737,0.0,0.0
2024-08-07 00:00:00+00:00,7.500000356230885e-05,7.699999696342275e-05,4.400000034365803e-05,4.999999873689376e-05,7427588,0.0,0.0
2024-08-08 00:00:00+00:00,4.999999873689376e-05,6.199999916134402e-05,2.9000000722589903e-05,3.099999958067201e-05,3375756,0.0,0.0
2024-08-09 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.2000000171829015e-05,2.5999999706982635e-05,629551,0.0,0.0
2024-08-10 00:00:00+00:00,2.5999999706982635e-05,3.400000059627928e-05,2.499999936844688e-05,2.700000004551839e-05,186930,0.0,0.0
2024-08-11 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.499999936844688e-05,71879,0.0,0.0
2024-08-12 00:00:00+00:00,2.499999936844688e-05,2.700000004551839e-05,2.300000051036477e-05,2.700000004551839e-05,89501,0.0,0.0
2024-08-13 00:00:00+00:00,2.700000004551839e-05,3.199999991920777e-05,2.2000000171829015e-05,2.9000000722589903e-05,96905,0.0,0.0
2024-08-14 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.499999936844688e-05,2.5999999706982635e-05,77067,0.0,0.0
2024-08-15 00:00:00+00:00,2.5999999706982635e-05,2.8000000384054147e-05,2.499999936844688e-05,2.700000004551839e-05,46408,0.0,0.0
2024-08-16 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.300000051036477e-05,2.499999936844688e-05,58891,0.0,0.0
2024-08-17 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,2.300000051036477e-05,2.499999936844688e-05,27479,0.0,0.0
2024-08-18 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,2.099999983329326e-05,2.2000000171829015e-05,57883,0.0,0.0
2024-08-19 00:00:00+00:00,2.2000000171829015e-05,2.300000051036477e-05,2.099999983329326e-05,2.300000051036477e-05,48004,0.0,0.0
2024-08-20 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.300000051036477e-05,40199,0.0,0.0
2024-08-21 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,2.099999983329326e-05,2.099999983329326e-05,58099,0.0,0.0
2024-08-22 00:00:00+00:00,2.099999983329326e-05,2.300000051036477e-05,1.8000000636675395e-05,1.8999999156221747e-05,73421,0.0,0.0
2024-08-23 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.8000000636675395e-05,50050,0.0,0.0
