,ETH,Lag
BTC,4.179229974990488e-06,28
XRP,0.00010074708988,11
ETC,0.0001349105686742,28
XEM,0.0004093673780303,1
SC,0.0006891641264295,29
FIRO,0.0007066127562677,15
XMR,0.0017930655456954,24
GNO,0.0020818026612628,18
DOGE,0.0027811434387861,5
ZEN,0.0038663643202065,28
RLC,0.0050563185828004,22
DGB,0.0061772883756159,30
BAT,0.0091638614180203,29
LSK,0.0157593061281544,4
WAVES,0.0174437846552009,29
QTUM,0.0382022666213889,27
LUNC,0.0393150782280145,4
LTC,0.0677086254248809,10
GAS,0.0688472021619012,7
XLM,0.0719873236183401,18
BTS,0.0748575712625934,4
MIOTA,0.100913600668694,29
KMD,0.112063112445542,3
PIVX,0.198119532001398,18
DCR,0.2046793250531952,30
DASH,0.2053073779713628,15
ARK,0.2429664074562312,10
ANT,0.3325963108513399,10
ZEC,0.3550651831597309,3
STEEM,0.3820563332148503,21
SYS,0.3938284866836849,29
