,ETH
XRP,0.0046705763649501
XMR,0.00538119551410255
FIRO,0.0069397021296716994
ETC,0.01066207121154405
GNO,0.015173579259283601
XEM,0.01763043447786675
BTC,0.01847053911711075
RLC,0.0232866738931269
SC,0.02815180882825755
DOGE,0.03260204779691955
BAT,0.0558244129824577
DGB,0.10040914630558201
LSK,0.1182586971189543
ZEN,0.14814854210804984
GAS,0.16977577664132948
QTUM,0.22944474403175097
BTS,0.2602569960953464
WAVES,0.28449706435400846
XLM,0.3246241369383799
DASH,0.3247705226071388
PIVX,0.3368210592778421
LTC,0.3943414067230277
DCR,0.45945761977830935
KMD,0.4698098476957992
ARK,0.48261944116406064
MIOTA,0.554635057317387
STEEM,0.6131392108849412
LUNC,0.6361386958777482
ANT,0.6636396888606169
ZEC,0.7036395030770607
SYS,0.8593412451236493
