TIMESTAMP,CASPER_OPEN_PRICE_USD,CASPER_HIGH_PRICE_USD,CASPER_LOW_PRICE_USD,CASPER_CLOSE_PRICE_USD,CASPER_VOLUME_USD,CASPER_DIVIDENDS_USD,CASPER_STOCK_SPLITS_USD
2024-08-25 00:00:00+00:00,7.200000254670158e-05,0.000195999993593432,4.70000013592653e-05,7.79999973019585e-05,405531,0.0,0.0
2024-08-26 00:00:00+00:00,7.79999973019585e-05,0.00014699999883305281,3.099999958067201e-05,3.899999865097925e-05,109422,0.0,0.0
2024-08-27 00:00:00+00:00,3.9999998989515007e-05,5.8000001445179805e-05,2.8000000384054147e-05,3.099999958067201e-05,35151,0.0,0.0
2024-08-28 00:00:00+00:00,3.099999958067201e-05,3.5000000934815034e-05,2.300000051036477e-05,2.4000000848900527e-05,7215,0.0,0.0
2024-08-29 00:00:00+00:00,2.4000000848900527e-05,2.5999999706982635e-05,1.4000000192027073e-05,1.4000000192027073e-05,8334,0.0,0.0
2024-08-30 00:00:00+00:00,1.4000000192027073e-05,2.4000000848900527e-05,1.2999999853491317e-05,1.8000000636675395e-05,10366,0.0,0.0
2024-08-31 00:00:00+00:00,1.8000000636675395e-05,2.4000000848900527e-05,1.4999999621068127e-05,1.5999999959603883e-05,7215,0.0,0.0
2024-09-01 00:00:00+00:00,1.5999999959603883e-05,2.099999983329326e-05,1.4000000192027073e-05,1.4000000192027073e-05,6064,0.0,0.0
2024-09-02 00:00:00+00:00,1.4000000192027073e-05,2.300000051036477e-05,1.4000000192027073e-05,1.8000000636675395e-05,4426,0.0,0.0
2024-09-03 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.2999999853491317e-05,1.2999999853491317e-05,1304,0.0,0.0
2024-09-04 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,207,0.0,0.0
2024-09-05 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.1000000085914508e-05,1.1000000085914508e-05,673,0.0,0.0
2024-09-06 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,239,0.0,0.0
2024-09-07 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,417,0.0,0.0
2024-09-08 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,59,0.0,0.0
2024-09-09 00:00:00+00:00,9.999999747378752e-06,1.5999999959603883e-05,9.999999747378752e-06,1.2000000424450263e-05,2467,0.0,0.0
2024-09-10 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,21,0.0,0.0
2024-09-11 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,9.000000318337698e-06,9.000000318337698e-06,669,0.0,0.0
2024-09-12 00:00:00+00:00,9.000000318337698e-06,1.2999999853491317e-05,7.000000096013537e-06,9.999999747378752e-06,2204,0.0,0.0
2024-09-13 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,9.999999747378752e-06,1.2000000424450263e-05,1272,0.0,0.0
2024-09-14 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,9.000000318337698e-06,9.000000318337698e-06,446,0.0,0.0
2024-09-15 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,48,0.0,0.0
2024-09-16 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,343,0.0,0.0
2024-09-17 00:00:00+00:00,9.999999747378752e-06,4.199999966658652e-05,9.000000318337698e-06,1.4999999621068127e-05,18488,0.0,0.0
2024-09-18 00:00:00+00:00,1.4999999621068127e-05,2.300000051036477e-05,1.4000000192027073e-05,1.4999999621068127e-05,5422,0.0,0.0
2024-09-19 00:00:00+00:00,1.4999999621068127e-05,3.600000127335079e-05,1.4999999621068127e-05,2.5999999706982635e-05,12428,0.0,0.0
2024-09-20 00:00:00+00:00,2.5999999706982635e-05,3.300000025774352e-05,2.099999983329326e-05,2.099999983329326e-05,8450,0.0,0.0
2024-09-21 00:00:00+00:00,2.099999983329326e-05,3.099999958067201e-05,2.099999983329326e-05,3.099999958067201e-05,3062,0.0,0.0
2024-09-22 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,2.099999983329326e-05,2.099999983329326e-05,2455,0.0,0.0
2024-09-23 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,1.700000029813964e-05,1.8000000636675395e-05,1921,0.0,0.0
2024-09-24 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.4999999621068127e-05,614,0.0,0.0
2024-09-25 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,0,0.0,0.0
2024-09-26 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.5999999959603883e-05,393,0.0,0.0
2024-09-27 00:00:00+00:00,1.5999999959603883e-05,2.5999999706982635e-05,7.000000096013537e-06,1.8999999156221747e-05,11763,0.0,0.0
2024-09-28 00:00:00+00:00,1.8999999156221747e-05,2.099999983329326e-05,1.5999999959603883e-05,1.700000029813964e-05,2541,0.0,0.0
2024-09-29 00:00:00+00:00,1.700000029813964e-05,1.9999999494757503e-05,1.700000029813964e-05,1.9999999494757503e-05,999,0.0,0.0
2024-09-30 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.8000000636675395e-05,324,0.0,0.0
2024-10-01 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,0,0.0,0.0
2024-10-02 00:00:00+00:00,1.8000000636675395e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.9999999494757503e-05,1220,0.0,0.0
2024-10-03 00:00:00+00:00,1.9999999494757503e-05,2.8000000384054147e-05,1.9999999494757503e-05,2.099999983329326e-05,2537,0.0,0.0
2024-10-04 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.8999999156221747e-05,1.8999999156221747e-05,200,0.0,0.0
2024-10-05 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.2999999853491317e-05,1.5999999959603883e-05,2049,0.0,0.0
2024-10-06 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4000000192027073e-05,1.5999999959603883e-05,952,0.0,0.0
2024-10-07 00:00:00+00:00,1.5999999959603883e-05,2.099999983329326e-05,1.4999999621068127e-05,1.4999999621068127e-05,5872,0.0,0.0
2024-10-08 00:00:00+00:00,1.4999999621068127e-05,1.8999999156221747e-05,1.2000000424450263e-05,1.8999999156221747e-05,2261,0.0,0.0
2024-10-09 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.5999999959603883e-05,1.5999999959603883e-05,670,0.0,0.0
2024-10-10 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.2000000424450263e-05,1.2000000424450263e-05,1407,0.0,0.0
2024-10-11 00:00:00+00:00,1.2000000424450263e-05,1.700000029813964e-05,1.2000000424450263e-05,1.700000029813964e-05,1210,0.0,0.0
2024-10-12 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.4000000192027073e-05,1.4000000192027073e-05,609,0.0,0.0
2024-10-13 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.4999999621068127e-05,494,0.0,0.0
2024-10-14 00:00:00+00:00,1.4999999621068127e-05,1.700000029813964e-05,1.4999999621068127e-05,1.700000029813964e-05,104,0.0,0.0
2024-10-15 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,129,0.0,0.0
2024-10-16 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,106,0.0,0.0
2024-10-17 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,0,0.0,0.0
2024-10-18 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.2000000424450263e-05,1.5999999959603883e-05,1367,0.0,0.0
2024-10-19 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.700000029813964e-05,102,0.0,0.0
2024-10-20 00:00:00+00:00,1.700000029813964e-05,2.499999936844688e-05,1.700000029813964e-05,2.099999983329326e-05,3433,0.0,0.0
2024-10-21 00:00:00+00:00,2.099999983329326e-05,2.8000000384054147e-05,1.8999999156221747e-05,1.9999999494757503e-05,2850,0.0,0.0
2024-10-22 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,0,0.0,0.0
2024-10-23 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,0,0.0,0.0
2024-10-24 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.5999999959603883e-05,690,0.0,0.0
2024-10-25 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.4999999621068127e-05,138,0.0,0.0
2024-10-26 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.2999999853491317e-05,430,0.0,0.0
2024-10-27 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,0,0.0,0.0
2024-10-28 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,0,0.0,0.0
2024-10-29 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,0,0.0,0.0
2024-10-30 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,77,0.0,0.0
2024-10-31 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2000000424450263e-05,322,0.0,0.0
2024-11-01 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,26,0.0,0.0
2024-11-02 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,0,0.0,0.0
