TIMESTAMP,WEN29175_OPEN_PRICE_USD,WEN29175_HIGH_PRICE_USD,WEN29175_LOW_PRICE_USD,WEN29175_CLOSE_PRICE_USD,WEN29175_VOLUME_USD,WEN29175_DIVIDENDS_USD,WEN29175_STOCK_SPLITS_USD
2024-01-26 00:00:00+00:00,257.99725341796875,2915.73193359375,7.999999979801942e-06,0.00010199999815085903,100557845,0.0,0.0
2024-01-27 00:00:00+00:00,0.00010099999781232327,0.00014200000441633165,8.600000001024455e-05,0.00010299999848939478,94924159,0.0,0.0
2024-01-28 00:00:00+00:00,0.00010199999815085903,0.00016500000492669642,0.00010099999781232327,0.00015100000018719584,101035239,0.0,0.0
2024-01-29 00:00:00+00:00,0.00015100000018719584,0.00018400000408291817,0.00010699999984353781,0.00011200000153621659,174910376,0.0,0.0
2024-01-30 00:00:00+00:00,0.00011200000153621659,0.00014000000373926014,7.999999797903001e-05,7.999999797903001e-05,100452592,0.0,0.0
2024-01-31 00:00:00+00:00,7.999999797903001e-05,0.00010299999848939478,7.200000254670158e-05,7.899999764049426e-05,91515550,0.0,0.0
2024-02-01 00:00:00+00:00,7.899999764049426e-05,7.999999797903001e-05,6.199999916134402e-05,6.199999916134402e-05,50434128,0.0,0.0
2024-02-02 00:00:00+00:00,6.199999916134402e-05,6.199999916134402e-05,5.0999999075429514e-05,5.2999999752501026e-05,34247485,0.0,0.0
2024-02-03 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,4.099999932805076e-05,5.199999941396527e-05,35804042,0.0,0.0
2024-02-04 00:00:00+00:00,5.199999941396527e-05,5.900000178371556e-05,5.0999999075429514e-05,5.199999941396527e-05,27710401,0.0,0.0
2024-02-05 00:00:00+00:00,5.199999941396527e-05,5.500000042957254e-05,4.600000102072954e-05,4.8000001697801054e-05,20386980,0.0,0.0
2024-02-06 00:00:00+00:00,4.8000001697801054e-05,4.8000001697801054e-05,4.400000034365803e-05,4.5000000682193786e-05,15177758,0.0,0.0
2024-02-07 00:00:00+00:00,4.5000000682193786e-05,5.199999941396527e-05,4.099999932805076e-05,5.0999999075429514e-05,19373936,0.0,0.0
2024-02-08 00:00:00+00:00,5.0999999075429514e-05,5.199999941396527e-05,4.400000034365803e-05,4.5000000682193786e-05,15327532,0.0,0.0
2024-02-09 00:00:00+00:00,4.5000000682193786e-05,4.600000102072954e-05,4.199999966658652e-05,4.5000000682193786e-05,16431495,0.0,0.0
2024-02-10 00:00:00+00:00,4.5000000682193786e-05,4.600000102072954e-05,4.3000000005122274e-05,4.400000034365803e-05,13073159,0.0,0.0
2024-02-11 00:00:00+00:00,4.400000034365803e-05,5.700000110664405e-05,4.3000000005122274e-05,5.500000042957254e-05,20841992,0.0,0.0
2024-02-12 00:00:00+00:00,5.500000042957254e-05,7.300000288523734e-05,4.8000001697801054e-05,7.200000254670158e-05,33753255,0.0,0.0
2024-02-13 00:00:00+00:00,7.200000254670158e-05,9.999999747378752e-05,6.800000119255856e-05,9.7999996796716e-05,50400823,0.0,0.0
