,MSE,RMSE,MAE,MAPE,R2
0,1228.1526959270118,35.045009572362964,27.273073199999995,0.12042653110470848,-0.6200937799571415
1,312.07052829556767,17.665518059076774,14.311814193548384,0.06677171743750651,-0.46733208583123353
2,653.8631210311418,25.57074736942864,19.957479354838707,0.07050571101921121,-0.14202986606388657
3,945.9826245124433,30.75683053424789,24.724076333333336,0.09726242053609388,-0.3259387999964909
4,404.718222283729,20.11760975572717,16.448531612903224,0.060930845007303655,-3.418046166448609
5,265.7762335702667,16.30264498694205,13.068004,0.05270714510134048,0.06791825263100293
6,448.06067436715813,21.167443737191274,17.633524838709686,0.08607106938019246,-0.7593669577879836
7,1332.3419623291552,36.5012597361948,30.525701290322584,0.16783242118810987,-0.28227806394065347
8,356.3196474187071,18.876431003203628,14.609479285714285,0.08828880327572748,-1.0617654722764938
9,328.77082217986435,18.13203855554759,15.924251612903221,0.0838401562082936,-0.059261976026521834
10,584.0842833760832,24.167835719734676,18.358138333333333,0.07638319977351034,-0.7110023514700694
11,1080.408894839342,32.86957399844638,24.13428516129033,0.1442158491154501,-0.9871395590150234
Mean,661.7124758442059,24.76441191900865,19.747363268074757,0.09293632242895401,-0.7305280688485919
