TIMESTAMP,BNBTIGER_OPEN_PRICE_USD,BNBTIGER_HIGH_PRICE_USD,BNBTIGER_LOW_PRICE_USD,BNBTIGER_CLOSE_PRICE_USD,BNBTIGER_VOLUME_USD,BNBTIGER_DIVIDENDS_USD,BNBTIGER_STOCK_SPLITS_USD
2022-01-13 00:00:00+00:00,,,,0.0,610255,0.0,0.0
2022-01-14 00:00:00+00:00,,,,0.0,578169,0.0,0.0
2022-01-15 00:00:00+00:00,,,,0.0,191509,0.0,0.0
2022-01-16 00:00:00+00:00,,,,0.0,119863,0.0,0.0
2022-01-17 00:00:00+00:00,,,,0.0,79083,0.0,0.0
2022-01-18 00:00:00+00:00,,,,0.0,87233,0.0,0.0
2022-01-19 00:00:00+00:00,,,,0.0,88843,0.0,0.0
2022-01-20 00:00:00+00:00,,,,0.0,77727,0.0,0.0
2022-01-21 00:00:00+00:00,,,,0.0,68607,0.0,0.0
2022-01-22 00:00:00+00:00,,,,0.0,53691,0.0,0.0
2022-01-23 00:00:00+00:00,,,,0.0,33307,0.0,0.0
2022-01-24 00:00:00+00:00,,,,0.0,59055,0.0,0.0
2022-01-25 00:00:00+00:00,,,,0.0,116426,0.0,0.0
2022-01-26 00:00:00+00:00,,,,0.0,76030,0.0,0.0
2022-01-27 00:00:00+00:00,,,,0.0,21866,0.0,0.0
2022-01-28 00:00:00+00:00,,,,0.0,47400,0.0,0.0
2022-01-29 00:00:00+00:00,,,,0.0,78636,0.0,0.0
2022-01-30 00:00:00+00:00,,,,0.0,63966,0.0,0.0
2022-01-31 00:00:00+00:00,,,,0.0,47236,0.0,0.0
2022-02-01 00:00:00+00:00,,,,0.0,44671,0.0,0.0
2022-02-02 00:00:00+00:00,,,,0.0,40431,0.0,0.0
2022-02-03 00:00:00+00:00,,,,0.0,32997,0.0,0.0
2022-02-04 00:00:00+00:00,,,,0.0,49699,0.0,0.0
2022-02-05 00:00:00+00:00,,,,0.0,69744,0.0,0.0
2022-02-06 00:00:00+00:00,,,,0.0,46940,0.0,0.0
2022-02-07 00:00:00+00:00,,,,0.0,30415,0.0,0.0
2022-02-08 00:00:00+00:00,,,,0.0,24155,0.0,0.0
2022-02-09 00:00:00+00:00,,,,0.0,16744,0.0,0.0
2022-02-10 00:00:00+00:00,,,,0.0,20559,0.0,0.0
2022-02-11 00:00:00+00:00,,,,0.0,26253,0.0,0.0
2022-02-12 00:00:00+00:00,,,,0.0,19586,0.0,0.0
2022-02-13 00:00:00+00:00,,,,0.0,8766,0.0,0.0
2022-02-14 00:00:00+00:00,,,,0.0,12807,0.0,0.0
2022-02-15 00:00:00+00:00,,,,0.0,37024,0.0,0.0
