,XMR,Lag
LOOK,1.0105526714636048e-45,2
BRIT,1.1286021599989068e-28,19
WYZ,2.905183678204809e-12,30
LTCR,1.0307733678035589e-10,25
ACES,1.4071718438493455e-09,28
XEM,2.59244516258143e-09,14
DOGE,4.022646481645666e-09,25
TRST,4.175876700910709e-09,2
QBC,4.488247106979776e-09,25
UNIT,8.935196298147728e-09,29
NOBL,6.496378799582804e-08,30
RRT,8.316305270358497e-08,28
BTA,3.86294267821935e-07,26
IFC,1.748994440407002e-06,30
SILK,1.856764110149453e-06,18
VLT,1.92440580803706e-06,30
VAL,2.1048477671531888e-06,23
GRS,2.2170700989530053e-06,23
QTUM,3.273873066019819e-06,25
IMS,4.066437893127788e-06,25
RBT,5.352342327917117e-06,24
SWING,7.988634680527456e-06,27
USDT,1.2179383875207864e-05,30
IBANK,1.2258369516951346e-05,12
ZET,1.460189600560489e-05,29
XRP,1.9980818688179226e-05,9
BITS,2.6088327510419224e-05,12
RLC,3.068411852420131e-05,21
PUT,3.836622465371819e-05,27
ARK,4.6654330621536494e-05,15
LOG,4.978356864042483e-05,2
XTO,5.0307985474125526e-05,4
BAT,5.601708809554617e-05,2
NAV,7.67040327336556e-05,9
XLM,9.391868741700576e-05,24
BTS,0.0001531858375542,30
PXI,0.0001915138076434,28
HBD,0.000249463194174,30
VIDZ,0.0002517317980954,30
MOTO,0.0002550310561668,16
XMS,0.0002568517570609,24
ENT,0.0002822789605491,25
SKR,0.0004159343380228,3
EVIL,0.000451908593074,7
NEWB,0.0005803784725657,28
DGB,0.0007548274435708,24
XHI,0.0008159233250673,22
SKULL,0.0008336990507367,29
CJ,0.0008583966949492,13
TAB,0.0009202119443313,29
OPAL,0.0009691152923469,13
XWC,0.0010343442532476,20
ZUR,0.0011417123968786,27
LTC,0.001166905309336,13
WGR,0.0012139283129874,27
C2,0.0013257555055557,12
COOL,0.001336072029798,30
VEC2,0.0015546447472824,9
CETI,0.0016225969647351,30
TECH,0.0020943761102784,30
AV,0.0021450317243497,28
BCN,0.0022369478239201,8
XDN,0.0022729330399752,24
KIN,0.0026209923393022,12
NMC,0.0032856677951363,8
TAJ,0.0033292443239993,9
CAB,0.0034518149042156,20
PZM,0.0035298317237526,2
SLS,0.0041973937424406,18
DASH,0.0044624746082209,6
SANDG,0.0059190494238181,2
MONA,0.0059419228377511,1
SPR,0.0061129217575445,3
SYS,0.006540674872063,6
ETC,0.0068937975518467,20
WBB,0.0072808691603443,30
SC,0.0073852309106125,25
GNO,0.0076180241350029,30
GBYTE,0.0079562666261955,1
GAS,0.009550352421361,22
HVCO,0.0096652396366262,9
ZEN,0.0099584444198359,27
PPC,0.0101768521226755,23
CARBON,0.0105801660860067,29
IOTA,0.010758002110786,2
FRN,0.0108405585335564,5
KOBO,0.011216167188305,13
ICON,0.0116036831455234,24
NETKO,0.0135457478938699,29
BERN,0.013862895498144,16
PXC,0.018547159028227,30
XPX,0.0192855270518362,4
MAID,0.020165487828197,2
PHR,0.0214025759722112,30
START,0.0240677782641563,1
ZEC,0.0269946440675285,6
2GIVE,0.0278158424457021,30
LSK,0.0282426603387078,19
AGRS,0.029925898810714,29
STEEM,0.0300191186741592,1
PLU,0.0309981907270094,27
CREVA,0.0329662047592533,29
JLP,0.0332661104749673,6
EQB,0.0333223825544419,26
ACOIN,0.0334314246599857,5
ETH,0.0343728393513236,30
AE,0.0371008842571837,14
BTC,0.0372281242813394,5
WAVES,0.0381484753172485,23
DCY,0.0386627565330465,2
ZCL,0.0396953756583466,3
KMD,0.0412491231350408,30
ADC,0.0431594114770765,2
NXS,0.0431948267301221,2
DCR,0.0458153949208512,3
FIRO,0.0478036991652953,9
SWT,0.0509999296901033,6
XCP,0.0595089495696327,4
ADZ,0.0620541550615405,1
EUC,0.0655182718560488,17
VTC,0.0679487246121793,5
KURT,0.0698303054987008,4
BLU,0.0712141989856545,13
LUNC,0.0743104415728262,4
ARGUS,0.0823522365266208,8
POST,0.0860447575823232,11
AXIOM,0.0863742387193035,23
CKC,0.0864224229873236,14
ZOOM,0.0910997129777708,15
XPY,0.0913266332929709,5
BTB,0.0926701288753644,5
PAK,0.0996382163866989,28
SIB,0.1020382772922686,3
XPM,0.1066907534285855,17
MCN,0.1088518727482814,29
PIVX,0.1100270360103717,21
DGC,0.1135954274334294,1
MST,0.114447102899898,2
VERI,0.1184197869922403,3
MNTC,0.1286677654133033,1
HBN,0.1308088935074309,1
PKB,0.1327967232319683,1
BTCS,0.1438853339611324,29
DEM,0.1458443933846643,20
BLK,0.1484892409780373,19
BSTY,0.1565476024649978,1
SIGNA,0.1593319345543112,30
ANT,0.1716088270671192,13
BCDN,0.1774652738282182,4
IXC,0.1775408408821613,15
XQN,0.1776985015525082,24
CYT,0.1797331779869705,30
MAY,0.1807493311452889,7
ZER,0.1818398040369802,5
FRC,0.185748162803881,11
LUN,0.1960446771682,30
CSC,0.19698533388691,27
ICOB,0.2025210629818374,4
EDRC,0.2102555962275621,21
OZO,0.2241948080818323,1
CF,0.2291178166465404,1
HUSH,0.2353006935334612,11
NXT,0.2401907316550289,1
AMS,0.2428700269782781,27
HMQ,0.2450542412798708,4
LANA,0.2458184812319052,2
BLAZR,0.2536905412709788,7
FTC,0.2652195826961322,3
DCT,0.2683614148788734,1
XST,0.2683958873157718,30
ILC,0.2768173450173884,1
RBIES,0.2803908812641257,10
ALIAS,0.2805086224520073,2
SXC,0.2899408142948727,19
RDD,0.2906448308330401,1
QTZ,0.2942521464121668,1
ZENI,0.296356324279418,15
RBY,0.3150776748779604,6
INF,0.3209535070362829,24
CLOAK,0.3215827163418206,5
BS,0.3293371240821802,1
CRW,0.3326794475194246,22
SNRG,0.3440129512834759,10
42,0.346743834087124,20
PTOY,0.365660771098772,1
FOREX,0.3660677715060703,1
XPTX,0.371766372518273,11
LDOGE,0.3721601029475552,13
EFL,0.3798139639365092,30
LAMB,0.3820397334961798,1
GLC,0.4002566259237364,17
XBY,0.407005310162034,1
CANN,0.4203899994878345,4
PIE,0.4340053047392712,1
LMC,0.4418655958952481,15
CLUB,0.4470353821804133,25
TES,0.4694578443971634,2
SWIFT,0.474986660655589,1
POT,0.4845362942996758,1
LBC,0.488484513991511,1
CLAM,0.5092814421077136,6
NVC,0.5579230486538735,2
AMBER,0.558112764203432,6
GCC,0.5798513933898497,2
HNC,0.6360418727147059,1
ZYD,0.6426790126462454,3
WC,0.6448397901086449,13
OK,0.6572305320088805,1
SONG,0.6588477345693644,3
IRL,0.6736659883277758,3
BIS,0.6948463653260125,1
CNT,0.7501115393353471,1
WINGS,0.7840546942576223,21
NEVA,0.8161130107575575,1
PASC,0.8209092869599519,1
BOLI,0.8811113226432927,5
XBC,0.8902250737913413,1
