,XRP
XLM,0.7902924762439534
ETH,0.7286403448133081
LTC,0.7141889098961544
QTUM,0.688792373979183
BTC,0.6784205722156001
MIOTA,0.6733544052084944
ETC,0.6693345258873223
DASH,0.6571657790414767
XEM,0.6310386373360257
ZEC,0.626178080210507
BAT,0.6200095094187767
DOGE,0.6118907284357322
DGB,0.583014186085116
GNO,0.582348562599433
XMR,0.5790626023806352
SC,0.5691647696047218
LSK,0.5615644912387376
SYS,0.552305276521354
ZEN,0.5503436613510313
WAVES,0.5473064003075525
BTS,0.5470310660686274
STEEM,0.5356731443084863
KMD,0.5307579989333497
FIRO,0.5302773150181245
GAS,0.5236270579536944
RLC,0.5168645080570844
ANT,0.5130415176118306
LUNC,0.5115233925223993
DCR,0.5057728009974064
PIVX,0.4852395035182724
ARK,0.4332091068828727
