TIMESTAMP,NAV_CLOSE_PRICE_USD,NAV_OPEN_PRICE_USD,NAV_HIGH_PRICE_USD,NAV_LOW_PRICE_USD
2018-02-02,1.8,1.99999,1.99999,1.35
2018-02-03,1.88,1.8,1.89999,1.55
2018-02-04,1.6016,1.88,1.91999,1.6
2018-02-05,1.21,1.6016,1.6016,1.21
2018-02-06,1.39684,1.21,2.06871,0.917
2018-02-07,1.35,1.39684,1.7524,1.30871
2018-02-08,1.46147,1.35,1.58964,1.31
2018-02-09,1.58964,1.46147,1.675,1.39876
2018-02-10,1.5968,1.58964,1.67674,1.46311
2018-02-11,1.97999,1.5968,1.98,1.44
2018-02-12,1.86011,1.97999,2.06871,1.85001
2018-02-13,1.86,1.86011,1.99999,1.79
2018-02-14,1.95,1.86,1.9764,1.803
2018-02-15,2.07,1.95,2.07,1.9001
2018-02-16,1.9401,2.07,2.07,1.93264
2018-02-17,2.12,1.9401,2.21999,1.9401
2018-02-18,2.005,2.12,2.2,1.93503
2018-02-19,2.08927,2.005,2.08927,1.95001
2018-02-20,1.86,2.08927,2.14,1.86
2018-02-21,1.73,1.86,1.88,1.61001
2018-02-22,1.64962,1.73,1.87998,1.61001
2018-02-23,1.76002,1.64962,1.85895,1.6495
2018-02-24,1.7,1.76002,1.92927,1.6494
2018-02-25,1.75824,1.7,1.75827,1.6494
2018-02-26,1.75828,1.75824,1.75828,1.652
2018-02-27,1.92927,1.75828,1.92927,1.65285
2018-02-28,1.90659,1.92927,1.93193,1.66001
2018-03-01,1.96682,1.90659,1.96682,1.71104
2018-03-02,1.89177,1.96682,2.099,1.71079
2018-03-03,1.82171,1.89177,2.0989,1.82001
2018-03-04,1.90371,1.82171,2.09569,1.8211
2018-03-05,2.00542,1.90371,2.00947,1.90371
2018-03-06,1.69,2.00542,2.00542,1.65283
2018-03-07,1.61,1.69,2.13202,1.44001
2018-03-08,1.45299,1.61,1.651,1.41003
2018-03-09,1.4,1.45299,1.57703,1.24249
2018-03-10,1.49999,1.4,1.52258,1.35005
2018-03-11,1.4484,1.49999,1.49999,1.26294
2018-03-12,1.40229,1.4484,1.47997,1.35841
2018-03-13,1.33996,1.40229,1.40229,1.33996
2018-03-14,1.1719,1.33996,1.43206,1.1719
2018-03-15,1.18,1.1719,1.18,1.05471
2018-03-16,1.18,1.18,1.18,1.06246
2018-03-17,0.98,1.18,1.18,0.98
2018-03-18,0.999,0.98,0.999,0.82
2018-03-19,1.0849,0.999,1.08493,0.999
2018-03-20,1.2,1.0849,1.26042,1.02008
2018-03-21,1.19201,1.2,1.29795,1.06041
2018-03-22,1.19999,1.19201,1.23329,1.07055
2018-03-23,1.02004,1.19999,1.19999,1.02001
2018-03-24,1.04301,1.02004,1.23332,1.02004
2018-03-25,1.2799,1.04301,1.2799,1.03003
2018-03-26,1.19775,1.2799,1.2799,1.19775
2018-03-27,1.05229,1.19775,1.19775,1.03113
2018-03-28,1.032,1.05229,1.14974,1.032
2018-03-29,0.83015,1.032,1.09995,0.83015
2018-03-30,0.85,0.83015,0.89091,0.80102
2018-03-31,0.86094,0.85,0.99077,0.85
2018-04-01,0.9,0.86094,0.98974,0.72132
2018-04-02,0.81956,0.9,0.9,0.81956
2018-04-03,0.86934,0.81956,0.97745,0.81956
2018-04-04,0.8,0.86934,0.86934,0.8
2018-04-05,0.83,0.8,0.96741,0.8
2018-04-06,0.85831,0.83,0.85831,0.83
2018-04-07,0.85833,0.85831,0.85833,0.79246
2018-04-08,0.85833,0.85833,0.85833,0.85833
2018-04-09,0.81001,0.85833,0.89492,0.80947
2018-04-10,0.95658,0.81001,0.95658,0.81001
2018-04-11,0.95658,0.95658,0.95658,0.83569
2018-04-12,1.1,0.95658,1.18778,0.93383
2018-04-13,1.09946,1.1,1.18777,1.09946
2018-04-14,1.1701,1.09946,1.18657,1.07084
2018-04-15,1.1701,1.1701,1.1701,1.16893
2018-04-16,1.1701,1.1701,1.1701,1.1701
2018-04-17,1.11018,1.1701,1.17899,1.10957
2018-04-18,1.2799,1.11018,1.2799,1.10951
2018-04-19,1.39879,1.2799,1.3988,1.25
2018-04-20,1.45,1.39879,1.45,1.33747
2018-04-21,1.38,1.45,1.455,1.28001
2018-04-22,1.49,1.38,1.6,1.38
2018-04-23,1.39006,1.49,1.49,1.39006
2018-04-24,1.52998,1.39006,1.53,1.39006
2018-04-25,1.33,1.52998,1.52998,1.21028
2018-04-26,1.39,1.33,1.39,1.3
2018-04-27,1.33,1.39,1.43669,1.3204
2018-04-28,1.33123,1.33,1.33123,1.33
2018-04-29,1.34039,1.33123,1.44,1.33123
2018-04-30,1.48239,1.34039,1.48239,1.34039
2018-05-01,1.35027,1.48239,1.48239,1.35
2018-05-02,1.35027,1.35027,1.35027,1.35027
2018-05-03,1.45784,1.35027,1.518,1.35027
2018-05-04,1.435,1.45784,1.51724,1.40179
2018-05-05,1.35405,1.435,1.50385,1.35405
2018-05-06,1.3409,1.35405,1.39999,1.3409
2018-05-07,1.31974,1.3409,1.3409,1.22001
2018-05-08,1.26704,1.26729,1.27065,1.177
2018-05-09,1.27065,1.26704,1.27065,1.17771
2018-05-10,1.05,1.27065,1.27065,1.05
2018-05-11,1.09832,1.05,1.09832,0.97
2018-05-12,1.00001,1.09832,1.29658,0.97041
2018-05-13,1.1,1.00001,1.22459,1.00001
2018-05-14,1.09472,1.1,1.1946,1.01
2018-05-15,1.06084,1.09472,1.19365,1.05046
2018-05-16,1.18425,1.05134,1.20627,1.01011
2018-05-17,1.05186,1.18425,1.2123,1.05186
2018-05-18,1.03175,1.0437,1.06519,1.01011
2018-05-19,1.10439,1.03175,1.10439,1.02178
2018-05-20,1.21599,1.10439,1.26129,1.09058
2018-05-21,1.14565,1.21599,1.22791,1.10607
2018-05-22,1.00101,1.14565,1.14565,1.00101
2018-05-23,0.9303,1.00101,1.00292,0.9
2018-05-24,0.90783,0.91682,0.96,0.87773
2018-05-25,0.93013,0.90783,1.0,0.90783
2018-05-26,1.04051,0.93013,1.04051,0.93013
2018-05-27,0.9711,0.95553,0.9967,0.95553
2018-05-28,0.835,0.93002,0.95,0.835
2018-05-29,0.92556,0.80001,0.92645,0.80001
2018-05-30,0.88304,0.92556,0.92556,0.88216
2018-05-31,0.94943,0.92,0.95108,0.92
2018-06-01,0.93159,0.93425,0.94229,0.91927
2018-06-02,0.99201,0.93159,1.04052,0.93159
2018-06-03,0.99272,0.99997,1.01076,0.98901
2018-06-04,0.91909,0.99272,0.99342,0.91446
2018-06-05,0.94345,0.91909,0.95554,0.88656
2018-06-06,0.93011,0.94345,0.94533,0.91646
2018-06-07,0.91377,0.92739,0.94628,0.91377
