TIMESTAMP,RKR_OPEN_PRICE_USD,RKR_HIGH_PRICE_USD,RKR_LOW_PRICE_USD,RKR_CLOSE_PRICE_USD,RKR_VOLUME_USD,RKR_DIVIDENDS_USD,RKR_STOCK_SPLITS_USD
2024-02-15 00:00:00+00:00,2.8000000384054147e-05,3.199999991920777e-05,2.8000000384054147e-05,3.099999958067201e-05,91562,0.0,0.0
2024-02-16 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.9999999242136255e-05,2.9999999242136255e-05,48049,0.0,0.0
2024-02-17 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.9999999242136255e-05,3.099999958067201e-05,63376,0.0,0.0
2024-02-18 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,2.9999999242136255e-05,3.099999958067201e-05,94198,0.0,0.0
2024-02-19 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,3.099999958067201e-05,3.099999958067201e-05,89833,0.0,0.0
2024-02-20 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,3.099999958067201e-05,3.099999958067201e-05,38263,0.0,0.0
2024-02-21 00:00:00+00:00,3.099999958067201e-05,4.600000102072954e-05,3.099999958067201e-05,4.400000034365803e-05,263136,0.0,0.0
2024-02-22 00:00:00+00:00,4.400000034365803e-05,6.0999998822808266e-05,4.3000000005122274e-05,4.600000102072954e-05,418140,0.0,0.0
2024-02-23 00:00:00+00:00,4.600000102072954e-05,4.8999998398358e-05,3.5000000934815034e-05,3.600000127335079e-05,179515,0.0,0.0
2024-02-24 00:00:00+00:00,3.600000127335079e-05,4.3000000005122274e-05,3.5000000934815034e-05,3.9999998989515007e-05,98419,0.0,0.0
2024-02-25 00:00:00+00:00,3.9999998989515007e-05,4.600000102072954e-05,3.899999865097925e-05,4.5000000682193786e-05,68512,0.0,0.0
2024-02-26 00:00:00+00:00,4.5000000682193786e-05,5.700000110664405e-05,4.400000034365803e-05,5.199999941396527e-05,218083,0.0,0.0
2024-02-27 00:00:00+00:00,5.199999941396527e-05,5.900000178371556e-05,4.5000000682193786e-05,4.5000000682193786e-05,213701,0.0,0.0
2024-02-28 00:00:00+00:00,4.5000000682193786e-05,4.8999998398358e-05,3.9999998989515007e-05,4.199999966658652e-05,111915,0.0,0.0
2024-02-29 00:00:00+00:00,4.199999966658652e-05,4.600000102072954e-05,3.7999998312443495e-05,3.899999865097925e-05,96507,0.0,0.0
2024-03-01 00:00:00+00:00,3.899999865097925e-05,4.600000102072954e-05,3.899999865097925e-05,4.099999932805076e-05,125003,0.0,0.0
2024-03-02 00:00:00+00:00,4.099999932805076e-05,4.600000102072954e-05,3.9999998989515007e-05,4.400000034365803e-05,63304,0.0,0.0
2024-03-03 00:00:00+00:00,4.400000034365803e-05,5.6000000768108293e-05,4.400000034365803e-05,5.0999999075429514e-05,195376,0.0,0.0
2024-03-04 00:00:00+00:00,5.0999999075429514e-05,5.199999941396527e-05,4.5000000682193786e-05,4.999999873689376e-05,86875,0.0,0.0
2024-03-05 00:00:00+00:00,4.999999873689376e-05,5.900000178371556e-05,4.8000001697801054e-05,5.0999999075429514e-05,144189,0.0,0.0
2024-03-06 00:00:00+00:00,5.0999999075429514e-05,6.500000017695129e-05,4.999999873689376e-05,6.0999998822808266e-05,351661,0.0,0.0
2024-03-07 00:00:00+00:00,6.0999998822808266e-05,6.199999916134402e-05,5.700000110664405e-05,5.8000001445179805e-05,96763,0.0,0.0
2024-03-08 00:00:00+00:00,5.8000001445179805e-05,5.8000001445179805e-05,4.8999998398358e-05,4.8999998398358e-05,82761,0.0,0.0
2024-03-09 00:00:00+00:00,4.8999998398358e-05,5.199999941396527e-05,3.899999865097925e-05,4.600000102072954e-05,327932,0.0,0.0
2024-03-10 00:00:00+00:00,4.600000102072954e-05,4.70000013592653e-05,3.400000059627928e-05,3.7999998312443495e-05,228603,0.0,0.0
2024-03-11 00:00:00+00:00,3.7999998312443495e-05,4.199999966658652e-05,3.7000001611886546e-05,4.199999966658652e-05,53268,0.0,0.0
2024-03-12 00:00:00+00:00,4.199999966658652e-05,4.199999966658652e-05,3.7999998312443495e-05,3.7999998312443495e-05,52694,0.0,0.0
2024-03-13 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,3.400000059627928e-05,3.7000001611886546e-05,113560,0.0,0.0
2024-03-14 00:00:00+00:00,3.7000001611886546e-05,4.3000000005122274e-05,3.600000127335079e-05,3.899999865097925e-05,102693,0.0,0.0
2024-03-15 00:00:00+00:00,3.899999865097925e-05,3.9999998989515007e-05,3.5000000934815034e-05,3.600000127335079e-05,55507,0.0,0.0
2024-03-16 00:00:00+00:00,3.600000127335079e-05,3.7999998312443495e-05,3.5000000934815034e-05,3.5000000934815034e-05,53011,0.0,0.0
2024-03-17 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,3.199999991920777e-05,3.300000025774352e-05,35927,0.0,0.0
2024-03-18 00:00:00+00:00,3.300000025774352e-05,3.300000025774352e-05,2.5999999706982635e-05,2.700000004551839e-05,63367,0.0,0.0
