TIMESTAMP,BTC_ALL_TIME_ZERO_BALANCE_ADDRESS_COUNT,BTC_ALL_TIME_UNIQUE_ADDRESS_COUNT,BTC_NEW_ADDRESS_COUNT,BTC_ACTIVE_ADDRESS_COUNT,BTC_TRANSACTION_COUNT,BTC_ALL_TIME_TRANSACTION_COUNT,BTC_LARGE_TRANSACTION_COUNT,BTC_AVERAGE_TRANSACTION_VALUE,BTC_BLOCK_HEIGHT,BTC_HASH_RATE,BTC_DIFFICULTY,BTC_BLOCK_TIME,BTC_BLOCK_SIZE,BTC_CURRENT_SUPPLY
2010-07-17,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-18,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-19,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-20,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-21,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-22,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-23,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-24,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-25,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-26,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-27,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-28,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-29,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-30,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-07-31,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-01,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-02,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-03,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-04,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-05,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-06,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-07,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-08,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-09,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-10,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-11,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-12,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-13,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-14,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-15,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-16,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-17,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-18,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-19,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-20,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-21,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-22,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
2010-08-23,567493380,595767060,409694,845211,317597,478694518,10164,3.19449528071978,605662,89385614.9549132,12973235968799.8,623.36231884058,1185653,18070758.5449724
