,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{XRP}/\emph{USDT} OP,4238,0.49,0.27,0.13,0.20,0.30,0.42,0.60,1.08,1.84
\emph{XRP}/\emph{USDT} HP,4238,0.50,0.28,0.15,0.20,0.31,0.43,0.61,1.11,1.97
\emph{XRP}/\emph{USDT} LP,4238,0.47,0.26,0.10,0.19,0.29,0.41,0.58,1.06,1.71
\emph{XRP}/\emph{USDT} CP,4238,0.49,0.27,0.13,0.20,0.30,0.42,0.60,1.08,1.84
