,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{XRP}/\emph{USDT} OP,12712,0.49,0.27,0.13,0.20,0.30,0.42,0.60,1.08,1.90
\emph{XRP}/\emph{USDT} HP,12712,0.50,0.28,0.14,0.20,0.30,0.43,0.61,1.10,1.97
\emph{XRP}/\emph{USDT} LP,12712,0.48,0.26,0.10,0.20,0.30,0.41,0.59,1.07,1.81
\emph{XRP}/\emph{USDT} CP,12712,0.49,0.27,0.13,0.20,0.30,0.42,0.60,1.08,1.90
