TIMESTAMP,PIVX_CLOSE_PRICE_USD,PIVX_OPEN_PRICE_USD,PIVX_HIGH_PRICE_USD,PIVX_LOW_PRICE_USD
2017-12-08,4.7143,3.9583,4.9365,3.7042
2017-12-09,4.6471,4.7222,4.9355,4.2727
2017-12-10,4.2015,4.6544,5.5227,3.4936
2017-12-11,4.575,4.2015,4.7456,3.9923
2017-12-12,4.8559,4.5833,5.0948,4.4344
2017-12-13,4.9113,4.8559,5.3103,4.5887
2017-12-14,5.7787,4.9355,5.918,4.8871
2017-12-15,5.3947,5.7787,5.7787,4.7845
2017-12-16,5.9808,5.3947,6.3942,5.3509
2017-12-17,7.3396,5.9615,9.2308,5.9615
2017-12-18,7.9811,7.3774,8.2547,7.0625
2017-12-19,7.5603,7.9811,8.5094,7.0424
2017-12-20,8.0164,7.5603,8.4138,6.4841
2017-12-21,10.2656,8.0164,11.0085,8.0164
2017-12-22,7.5461,10.25,11.0156,5.1828
2017-12-23,10.5986,7.5,12.4191,7.3571
2017-12-24,11.5676,10.662,13.2394,10.0698
2017-12-25,12.4521,11.5676,13.6111,10.5506
2017-12-26,12.6406,12.4452,13.3731,11.1538
2017-12-27,12.5846,12.6563,12.803,11.375
2017-12-28,11.4357,12.5385,12.8846,10.1458
2017-12-29,11.6,11.4357,11.8857,10.4583
2017-12-30,9.284,11.6,11.6,8.6548
2017-12-31,10.33333,9.37975,10.75342,9.2375
2018-01-01,10.58667,10.20548,11.10959,9.75658
2018-01-02,11.38971,10.58667,12.12319,10.58667
2018-01-03,11.08333,11.43382,12.19403,10.52899
2018-01-04,10.34091,11.14394,11.18841,9.71831
2018-01-05,10.16949,10.34091,12.12903,9.85593
2018-01-06,11.12069,10.16949,11.55085,9.41667
2018-01-07,12.28998,11.12069,12.425,10.9322
2018-01-08,11.96738,12.29595,13.55476,9.90453
2018-01-09,12.30268,11.93369,13.26714,11.36342
2018-01-10,13.69584,12.30481,13.94972,10.96283
2018-01-11,12.15054,13.71449,14.06401,10.80556
2018-01-12,12.57266,12.13123,13.08296,11.6781
2018-01-13,12.7008,12.5989,13.33673,12.27751
2018-01-14,11.48731,12.69359,12.76299,10.95876
2018-01-15,11.76354,11.47209,12.75139,11.21736
2018-01-16,8.06053,11.80892,11.81237,6.57563
2018-01-17,8.98698,8.07728,9.84775,7.06656
2018-01-18,9.0331,9.12646,9.97251,8.47974
2018-01-19,9.36355,8.95866,9.86058,8.44164
