TIMESTAMP,DOGS32815_OPEN_PRICE_USD,DOGS32815_HIGH_PRICE_USD,DOGS32815_LOW_PRICE_USD,DOGS32815_CLOSE_PRICE_USD,DOGS32815_VOLUME_USD,DOGS32815_DIVIDENDS_USD,DOGS32815_STOCK_SPLITS_USD
2024-08-24 00:00:00+00:00,,,,0.0,264924,0.0,0.0
2024-08-25 00:00:00+00:00,,,,0.0,196489,0.0,0.0
2024-08-26 00:00:00+00:00,,,,0.0,71752,0.0,0.0
2024-08-27 00:00:00+00:00,,,,0.0,13306,0.0,0.0
2024-08-28 00:00:00+00:00,,,,0.0,6190,0.0,0.0
2024-08-29 00:00:00+00:00,,,,0.0,2405,0.0,0.0
2024-08-30 00:00:00+00:00,,,,0.0,496,0.0,0.0
2024-08-31 00:00:00+00:00,,,,0.0,3391,0.0,0.0
2024-09-01 00:00:00+00:00,,,,0.0,2109,0.0,0.0
2024-09-02 00:00:00+00:00,,,,0.0,1182,0.0,0.0
2024-09-03 00:00:00+00:00,,,,0.0,2326,0.0,0.0
2024-09-04 00:00:00+00:00,,,,0.0,4659,0.0,0.0
2024-09-05 00:00:00+00:00,,,,0.0,1736,0.0,0.0
2024-09-06 00:00:00+00:00,,,,0.0,2510,0.0,0.0
2024-09-07 00:00:00+00:00,,,,0.0,1945,0.0,0.0
2024-09-08 00:00:00+00:00,,,,0.0,1808,0.0,0.0
2024-09-09 00:00:00+00:00,,,,0.0,637,0.0,0.0
2024-09-10 00:00:00+00:00,,,,0.0,426,0.0,0.0
2024-09-11 00:00:00+00:00,,,,0.0,273,0.0,0.0
2024-09-12 00:00:00+00:00,,,,0.0,541,0.0,0.0
2024-09-14 00:00:00+00:00,,,,0.0,76,0.0,0.0
2024-09-15 00:00:00+00:00,,,,0.0,62,0.0,0.0
2024-09-17 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-09-18 00:00:00+00:00,,,,0.0,17,0.0,0.0
2024-09-20 00:00:00+00:00,,,,0.0,41,0.0,0.0
2024-09-21 00:00:00+00:00,,,,0.0,42,0.0,0.0
2024-09-22 00:00:00+00:00,,,,0.0,43,0.0,0.0
2024-09-24 00:00:00+00:00,,,,0.0,5,0.0,0.0
2024-09-27 00:00:00+00:00,,,,0.0,23,0.0,0.0
2024-09-28 00:00:00+00:00,,,,0.0,829,0.0,0.0
2024-10-05 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-10-06 00:00:00+00:00,,,,0.0,58,0.0,0.0
2024-10-07 00:00:00+00:00,,,,0.0,380,0.0,0.0
2024-10-11 00:00:00+00:00,,,,0.0,15,0.0,0.0
2024-10-15 00:00:00+00:00,,,,0.0,7,0.0,0.0
