TIMESTAMP,YODA_OPEN_PRICE_USD,YODA_HIGH_PRICE_USD,YODA_LOW_PRICE_USD,YODA_CLOSE_PRICE_USD,YODA_VOLUME_USD,YODA_DIVIDENDS_USD,YODA_STOCK_SPLITS_USD
2025-03-13 00:00:00+00:00,0.0001320000010309741,0.0001320000010309741,0.00011200000153621659,0.0001140000022132881,25446,0.0,0.0
2025-03-14 00:00:00+00:00,0.0001140000022132881,0.00012599999899975955,0.00011200000153621659,0.0001230000052601099,28391,0.0,0.0
2025-03-15 00:00:00+00:00,0.00012199999764561653,0.00012599999899975955,0.00011600000289035961,0.00011700000322889537,20616,0.0,0.0
2025-03-16 00:00:00+00:00,0.00011600000289035961,0.00011899999663000926,0.0001049999991664663,0.00010599999950500205,25357,0.0,0.0
2025-03-17 00:00:00+00:00,0.00010599999950500205,0.00011300000187475234,9.600000339560211e-05,9.600000339560211e-05,15200,0.0,0.0
2025-03-18 00:00:00+00:00,9.600000339560211e-05,9.999999747378752e-05,8.70000003487803e-05,9.000000136438757e-05,24203,0.0,0.0
2025-03-19 00:00:00+00:00,9.000000136438757e-05,0.00010099999781232327,8.600000001024455e-05,9.699999645818025e-05,22684,0.0,0.0
2025-03-20 00:00:00+00:00,9.699999645818025e-05,9.699999645818025e-05,7.899999764049426e-05,8.299999899463728e-05,16810,0.0,0.0
2025-03-21 00:00:00+00:00,8.299999899463728e-05,8.70000003487803e-05,7.500000356230885e-05,7.500000356230885e-05,20513,0.0,0.0
2025-03-22 00:00:00+00:00,7.500000356230885e-05,7.599999662488699e-05,6.199999916134402e-05,6.299999949987978e-05,19837,0.0,0.0
2025-03-23 00:00:00+00:00,6.299999949987978e-05,8.399999933317304e-05,6.299999949987978e-05,7.300000288523734e-05,18865,0.0,0.0
2025-03-24 00:00:00+00:00,7.300000288523734e-05,7.899999764049426e-05,6.800000119255856e-05,6.900000153109431e-05,35720,0.0,0.0
2025-03-25 00:00:00+00:00,7.000000186963007e-05,7.400000322377309e-05,6.800000119255856e-05,7.000000186963007e-05,12001,0.0,0.0
2025-03-26 00:00:00+00:00,7.000000186963007e-05,7.400000322377309e-05,5.8000001445179805e-05,5.900000178371556e-05,13072,0.0,0.0
2025-03-27 00:00:00+00:00,5.900000178371556e-05,6.299999949987978e-05,5.700000110664405e-05,5.8000001445179805e-05,13649,0.0,0.0
2025-03-28 00:00:00+00:00,5.8000001445179805e-05,5.8000001445179805e-05,4.70000013592653e-05,4.8000001697801054e-05,14637,0.0,0.0
2025-03-29 00:00:00+00:00,4.8000001697801054e-05,5.0999999075429514e-05,3.9999998989515007e-05,3.9999998989515007e-05,18440,0.0,0.0
2025-03-30 00:00:00+00:00,3.9999998989515007e-05,4.099999932805076e-05,3.600000127335079e-05,3.7999998312443495e-05,12399,0.0,0.0
2025-03-31 00:00:00+00:00,3.7999998312443495e-05,4.099999932805076e-05,3.7000001611886546e-05,3.899999865097925e-05,1435,0.0,0.0
2025-04-01 00:00:00+00:00,3.899999865097925e-05,5.500000042957254e-05,3.7999998312443495e-05,5.199999941396527e-05,3916,0.0,0.0
2025-04-02 00:00:00+00:00,5.199999941396527e-05,5.199999941396527e-05,3.9999998989515007e-05,3.9999998989515007e-05,1639,0.0,0.0
