,ANT,ARK,BTC,BTS,CON,DCR,DGB,DOGE,ETC,ETH,FIRO,GNO,KMD,LSK,MAID,MONA,QTUM,RLC,SC,STEEM,SYS,USDT,VERI,XEM,XRP,XWC,ZEN
ANT,1.0,0.32531545971506864,0.4244893124747454,0.3941111487180615,0.10746238876209452,0.2835869338262393,0.3872661947057899,0.32058806205398444,0.36612936106722715,0.46461543531340743,0.38123028551313626,0.36050844088891515,0.30341625695541224,0.36552398104450495,0.30410374393407974,0.31286155037189345,0.40729431557606977,0.3289650904273561,0.38870574694161303,0.31377558937674527,0.2949469701775359,0.04415068487694724,0.2185689411318107,0.3536031768786812,0.40404676148648244,0.19770106483775676,0.37345573019627176
ARK,0.32531545971506864,1.0,0.3689671298062959,0.3924244312634666,0.13705489772909019,0.3524520493810676,0.3729143755620772,0.30772357665853733,0.34953567525642104,0.41223805871990393,0.36790094608705354,0.35343540847063154,0.44113165825828266,0.44888060384314243,0.27294598115115254,0.3111165637378575,0.4107991355871811,0.34671529793244843,0.4459256687583178,0.4448627614325574,0.3241701957796161,0.07820881177084231,0.200328924479409,0.38412963023510066,0.3805428662794819,0.17568842757583455,0.32592715634472735
BTC,0.4244893124747454,0.3689671298062959,1.0,0.5690871223140362,0.18158353981334172,0.5307386243865297,0.5521250518238765,0.5484379928640147,0.5667667349426314,0.7413809141788136,0.46558045032362766,0.5149851270481085,0.39789362589965693,0.47343440067887954,0.506069555176844,0.510191591534695,0.5808340067036425,0.3822418413473948,0.5628144900409098,0.3977227306358438,0.34709833035386534,0.14953758681137244,0.3457086112710105,0.49170424630738657,0.584356632527234,0.305367450941369,0.44612379320920215
BTS,0.3941111487180615,0.3924244312634666,0.5690871223140362,1.0,0.18511995513613205,0.4282323133669557,0.504909015356465,0.47535230027004294,0.534430003578715,0.5982568801644829,0.4603374718598912,0.42844178306466635,0.39054527640652675,0.47325580153685154,0.3855910108396848,0.42076284097436123,0.5850408442729039,0.4020438314807909,0.5532596053313817,0.42964176106786056,0.3437169354056296,0.0851985511388116,0.2846640753013597,0.49585957933920377,0.534294723138537,0.21937322263019116,0.426158052096474
CON,0.10746238876209452,0.13705489772909019,0.18158353981334172,0.18511995513613205,1.0,0.12049630895946686,0.15401294817523228,0.1348252755085462,0.16390759664477025,0.19767833187495387,0.141697942941186,0.20243026378209267,0.11362729210255063,0.16271707986352765,0.1403879292057109,0.146992038347431,0.1767210555598165,0.12324102276049573,0.2064484245006258,0.14812408896256454,0.11399441488764342,0.08295613651969574,0.08417112902503764,0.1537727125447369,0.20132652623320665,0.06402147413033228,0.12375099168453783
DCR,0.2835869338262393,0.3524520493810676,0.5307386243865297,0.4282323133669557,0.12049630895946686,1.0,0.40516357401790076,0.38640641577369683,0.420883070148451,0.5212639624785728,0.36985282810830017,0.37597450102525665,0.36559083902139516,0.35862693958524283,0.34485944235031907,0.39014544032916354,0.4286164445278047,0.3267369738809017,0.43162260527639595,0.34410783259966754,0.304022195874493,0.06691934259590725,0.23145655555070332,0.4125446685292428,0.409027698759571,0.20227850105317668,0.35200816076751984
DGB,0.3872661947057899,0.3729143755620772,0.5521250518238765,0.504909015356465,0.15401294817523228,0.40516357401790076,1.0,0.45883449656404446,0.452838561779129,0.5669236091057529,0.423855458376181,0.4270157039630316,0.40220779134888224,0.4222077425795888,0.3394062673496371,0.40609967037562994,0.4987124658013647,0.3881358967165626,0.5523711125080845,0.3653900787919384,0.362704543298322,0.05443244439669545,0.27540829432511965,0.4605420271728127,0.4806745685127462,0.21440659014003682,0.4518112954529132
DOGE,0.32058806205398444,0.30772357665853733,0.5484379928640147,0.47535230027004294,0.1348252755085462,0.38640641577369683,0.45883449656404446,1.0,0.49193118556395465,0.5323064824691686,0.36856250091088644,0.41121981888258324,0.3320012830122798,0.4229159544652068,0.34324300428614446,0.381171254162202,0.510357457483788,0.3149715990212773,0.4990172216810133,0.3317392643423344,0.32394741991938264,0.08707243171357144,0.27464613246488245,0.4304399592202925,0.4997852115147529,0.24247380826432585,0.35403526807350555
ETC,0.36612936106722715,0.34953567525642104,0.5667667349426314,0.534430003578715,0.16390759664477025,0.420883070148451,0.452838561779129,0.49193118556395465,1.0,0.6646229707826432,0.44731945600449585,0.470551080427795,0.4035602210360579,0.44905642967369436,0.34517981063456643,0.464915067272534,0.6075205809561671,0.3632702399468242,0.4862845716075422,0.40596275135294624,0.34885498394938574,0.12801481869466935,0.2761034026177672,0.4822174907653355,0.5853276851267339,0.22012590148183156,0.4246388511231611
ETH,0.46461543531340743,0.41223805871990393,0.7413809141788136,0.5982568801644829,0.19767833187495387,0.5212639624785728,0.5669236091057529,0.5323064824691686,0.6646229707826432,1.0,0.49058600477959696,0.6320864564573393,0.44103725769948116,0.5087763050604687,0.45299904548123276,0.49989712919752227,0.6214644099922099,0.4373235988660941,0.5747510459041908,0.441954844849397,0.38945792159502113,0.11683242683300166,0.390464758565707,0.5246761064684319,0.6485634166106691,0.28896865059716004,0.5009256318702282
