,LTC,Lag
LSK,0.0001126438794925,26
DOGE,0.0001590994376947,26
QTUM,0.0001692880376678,19
PIVX,0.000317120990434,26
ETH,0.0003792410003046,29
XMR,0.0011401053635623,4
XRP,0.0013604344726768,9
ETC,0.003156291811693,26
GNO,0.0049657011179575,4
KMD,0.005582185103319,6
ARK,0.0163961148128147,17
ZEN,0.0188262223365221,27
XLM,0.0278587964363654,1
XEM,0.0353381270030948,7
WAVES,0.0382212488403515,6
BAT,0.0568875055486719,10
BTS,0.0688664895859542,4
BTC,0.0710020300356889,3
FIRO,0.0945464952733787,15
STEEM,0.0953366265351272,21
DGB,0.1099142455103583,9
DCR,0.1119123347676954,17
SYS,0.1189302495832172,22
RLC,0.1247855904697827,5
SC,0.1334446508850685,5
ZEC,0.1408664087774456,1
GAS,0.1422202782418107,1
LUNC,0.2590231862180562,1
ANT,0.3003541424263783,2
DASH,0.3174895850011225,13
MIOTA,0.3847569660542048,26
