,LTC
QTUM,0.0017575971756568266
XMR,0.013454107144188543
LSK,0.020469738925807817
ETH,0.021986303439111607
PIVX,0.03454886231702912
KMD,0.04166360163461644
ARK,0.04553400329337132
ETC,0.0520887096347105
DOGE,0.05365782351411941
GNO,0.11149542331351406
XEM,0.12082717345399045
XRP,0.14479061326436915
ZEN,0.1594178927749494
XLM,0.16552023961299953
WAVES,0.21565556440128306
FIRO,0.21975926317619796
BTS,0.2690515799046635
BTC,0.28931124797800906
BAT,0.2976514279123304
STEEM,0.30584799056559736
DGB,0.328006887238798
SYS,0.34802168643543285
SC,0.35765500277024553
DCR,0.40333673388343966
RLC,0.4356911224801986
DASH,0.5107567122439257
ZEC,0.5780622736595608
GAS,0.5954711653956737
ANT,0.6021923135214561
LUNC,0.6236804127131629
MIOTA,0.7062847386469654
