TIMESTAMP,MINIDOGE34758_OPEN_PRICE_USD,MINIDOGE34758_HIGH_PRICE_USD,MINIDOGE34758_LOW_PRICE_USD,MINIDOGE34758_CLOSE_PRICE_USD,MINIDOGE34758_VOLUME_USD,MINIDOGE34758_DIVIDENDS_USD,MINIDOGE34758_STOCK_SPLITS_USD
2025-02-11 00:00:00+00:00,6.900000153109431e-05,7.000000186963007e-05,6.70000008540228e-05,6.800000119255856e-05,744,0.0,0.0
2025-02-12 00:00:00+00:00,6.800000119255856e-05,0.00014099999680183828,6.800000119255856e-05,0.0001320000010309741,26712,0.0,0.0
2025-02-13 00:00:00+00:00,0.00012700000661425292,0.00013899999612476677,8.099999831756577e-05,9.300000237999484e-05,45054,0.0,0.0
2025-02-14 00:00:00+00:00,9.300000237999484e-05,0.00011700000322889537,8.199999865610152e-05,8.800000068731606e-05,5317,0.0,0.0
2025-02-15 00:00:00+00:00,8.800000068731606e-05,9.40000027185306e-05,7.899999764049426e-05,7.999999797903001e-05,7317,0.0,0.0
2025-02-16 00:00:00+00:00,7.999999797903001e-05,9.100000170292333e-05,7.999999797903001e-05,8.199999865610152e-05,5282,0.0,0.0
2025-02-17 00:00:00+00:00,8.199999865610152e-05,9.000000136438757e-05,7.899999764049426e-05,8.099999831756577e-05,1042,0.0,0.0
2025-02-18 00:00:00+00:00,8.099999831756577e-05,8.099999831756577e-05,6.800000119255856e-05,7.899999764049426e-05,2694,0.0,0.0
2025-02-19 00:00:00+00:00,7.899999764049426e-05,8.199999865610152e-05,7.500000356230885e-05,7.699999696342275e-05,407,0.0,0.0
2025-02-20 00:00:00+00:00,7.699999696342275e-05,8.199999865610152e-05,6.800000119255856e-05,8.199999865610152e-05,6368,0.0,0.0
2025-02-21 00:00:00+00:00,8.199999865610152e-05,8.600000001024455e-05,7.79999973019585e-05,7.79999973019585e-05,297,0.0,0.0
2025-02-22 00:00:00+00:00,7.79999973019585e-05,7.899999764049426e-05,6.600000051548705e-05,6.70000008540228e-05,6172,0.0,0.0
2025-02-23 00:00:00+00:00,6.70000008540228e-05,6.70000008540228e-05,6.399999983841553e-05,6.399999983841553e-05,239,0.0,0.0
2025-02-24 00:00:00+00:00,6.399999983841553e-05,6.399999983841553e-05,6.399999983841553e-05,6.399999983841553e-05,0,0.0,0.0
2025-02-25 00:00:00+00:00,6.399999983841553e-05,6.399999983841553e-05,5.0999999075429514e-05,5.6000000768108293e-05,166,0.0,0.0
2025-02-26 00:00:00+00:00,5.6000000768108293e-05,5.8000001445179805e-05,5.199999941396527e-05,5.400000009103678e-05,535,0.0,0.0
2025-02-27 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,5.199999941396527e-05,5.199999941396527e-05,6,0.0,0.0
2025-02-28 00:00:00+00:00,5.199999941396527e-05,5.500000042957254e-05,4.70000013592653e-05,5.500000042957254e-05,167,0.0,0.0
2025-03-01 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,5.0999999075429514e-05,5.0999999075429514e-05,488,0.0,0.0
2025-03-02 00:00:00+00:00,5.0999999075429514e-05,5.900000178371556e-05,5.0999999075429514e-05,5.900000178371556e-05,169,0.0,0.0
