,K,Alpha,Tau,Non_Stationary_IMFs,MSE,IMF_1_P_Val
0,12,1250,0.05,1,1.5498215994059115e-09,0.01
1,10,1000,0.05,1,1.5503301068631163e-09,0.01
2,11,1000,0.05,1,1.5519250633608863e-09,0.01
3,13,1500,0.1,1,1.5540814050497016e-09,0.01
4,10,750,0.05,1,1.5543648246863963e-09,0.01
5,11,750,0.05,1,1.5547725564924116e-09,0.01
6,12,1000,0.15,1,1.5554243153058338e-09,0.01
7,12,1250,0.1,1,1.5554428013482569e-09,0.01
8,15,1500,0.25,1,1.5557766952612717e-09,0.01
9,15,1500,0.3,1,1.5558015721650236e-09,0.01
10,13,1500,0.15,1,1.55582077220816e-09,0.01
11,12,1500,0.15,1,1.5558253784481706e-09,0.01
12,15,1750,0.15,1,1.5558261365832194e-09,0.01
13,10,1000,0.1,1,1.55583239719307e-09,0.01
14,11,1000,0.1,1,1.5558348207240725e-09,0.01
15,15,1750,0.3,1,1.555837176079123e-09,0.01
16,12,1750,0.25,1,1.5558373053067316e-09,0.01
17,10,1250,0.2,1,1.5558373222225755e-09,0.01
18,14,2000,0.25,1,1.5558377346950617e-09,0.01
19,15,1750,0.25,1,1.5558385028704456e-09,0.01
20,12,1750,0.3,1,1.5558386690021945e-09,0.01
21,13,1750,0.3,1,1.5558387201547512e-09,0.01
22,10,1250,0.25,1,1.555838770882541e-09,0.01
23,11,1250,0.25,1,1.555838778425555e-09,0.01
24,10,1250,0.3,1,1.5558387819865413e-09,0.01
25,11,1250,0.3,1,1.5558387834385168e-09,0.01
26,10,1000,0.3,1,1.5558388021424624e-09,0.01
27,14,2000,0.3,1,1.5558388023115352e-09,0.01
28,11,1000,0.3,1,1.555838808663863e-09,0.01
29,13,1500,0.3,1,1.5558388399751615e-09,0.01
30,10,1000,0.25,1,1.5558388473208601e-09,0.01
31,11,1000,0.25,1,1.5558388526306353e-09,0.01
32,10,1000,0.2,1,1.5558389388215984e-09,0.01
33,11,1000,0.2,1,1.5558389408860381e-09,0.01
34,13,1500,0.25,1,1.5558389885141126e-09,0.01
35,13,1750,0.25,1,1.5558390990321584e-09,0.01
36,11,1000,0.15,1,1.5558391261954762e-09,0.01
37,10,1000,0.15,1,1.5558391303009208e-09,0.01
38,12,1500,0.25,1,1.5558391929071918e-09,0.01
39,14,2250,0.3,1,1.5558393287486612e-09,0.01
40,13,1500,0.2,1,1.5558395047034837e-09,0.01
41,12,1500,0.2,1,1.5558395538764826e-09,0.01
42,15,1750,0.2,1,1.5558399609539129e-09,0.01
43,14,1750,0.3,1,1.5558406404325082e-09,0.01
44,14,1750,0.2,1,1.5558407791210915e-09,0.01
45,14,1750,0.25,1,1.555841097593027e-09,0.01
46,13,1250,0.3,1,1.5558427399441662e-09,0.01
47,12,1250,0.3,1,1.5558443167028954e-09,0.01
48,13,1250,0.25,1,1.5558451806724064e-09,0.01
49,11,1250,0.2,1,1.5558457967232603e-09,0.01
50,15,1750,0.1,1,1.5558464002563305e-09,0.01
51,11,750,0.3,1,1.5558474827588503e-09,0.01
52,10,750,0.3,1,1.5558477168679645e-09,0.01
53,13,1250,0.2,1,1.5558502697159908e-09,0.01
54,11,750,0.25,1,1.5558518471501789e-09,0.01
55,10,750,0.25,1,1.5558522308998565e-09,0.01
56,13,1750,0.2,1,1.5558538511631067e-09,0.01
57,11,750,0.2,1,1.555860246036547e-09,0.01
58,10,750,0.2,1,1.555860934270126e-09,0.01
59,13,1250,0.1,1,1.5558634279223068e-09,0.01
60,14,1500,0.3,1,1.5558636627124483e-09,0.01
61,13,1250,0.15,1,1.555864070947646e-09,0.01
62,12,1250,0.15,1,1.555867940384702e-09,0.01
63,14,1500,0.25,1,1.5558698397602575e-09,0.01
64,15,1500,0.2,1,1.5558728694287858e-09,0.01
65,14,1500,0.2,1,1.5558789768234629e-09,0.01
66,11,750,0.15,1,1.555879603613758e-09,0.01
67,10,750,0.15,1,1.5558810441852718e-09,0.01
68,15,1500,0.15,1,1.555886583584683e-09,0.01
69,13,1000,0.3,1,1.5558899502737545e-09,0.01
70,14,1500,0.15,1,1.5558932087855176e-09,0.01
71,12,1000,0.3,1,1.555903846880426e-09,0.01
72,12,1250,0.25,1,1.5559092343201025e-09,0.01
73,13,1000,0.25,1,1.5559167530769183e-09,0.01
74,14,2000,0.2,1,1.5559395207921533e-09,0.01
75,15,1500,0.1,1,1.55593976489454e-09,0.01
76,12,1000,0.25,1,1.5559399786114678e-09,0.01
77,11,750,0.1,1,1.5559408470767985e-09,0.01
78,10,750,0.1,1,1.5559446324564039e-09,0.01
79,13,1000,0.2,1,1.5559706927864794e-09,0.01
80,11,1500,0.3,1,1.556003485628283e-09,0.01
81,12,1000,0.2,1,1.5560282103730745e-09,0.01
82,14,1750,0.15,1,1.5560505747595262e-09,0.01
83,11,500,0.3,1,1.5560703894776978e-09,0.01
84,15,1250,0.3,1,1.5560719656905795e-09,0.01
85,13,1000,0.15,1,1.556104913283992e-09,0.01
86,14,1250,0.3,1,1.556118455217132e-09,0.01
87,15,1250,0.25,1,1.556138190384578e-09,0.01
88,12,500,0.3,1,1.5561700617565142e-09,0.01
89,14,1250,0.25,1,1.5561965730926652e-09,0.01
90,10,500,0.3,1,1.5562054400372842e-09,0.01
91,9,500,0.3,1,1.5562183286374609e-09,0.01
92,11,500,0.25,1,1.5562366508896e-09,0.01
93,15,1250,0.2,1,1.5562366538158917e-09,0.01
94,14,750,0.3,1,1.5562760934676363e-09,0.01
95,12,1750,0.2,1,1.5562770536780572e-09,0.01
96,14,1500,0.1,1,1.5562848045237151e-09,0.01
97,10,1500,0.3,1,1.5563057912651167e-09,0.01
98,14,1250,0.2,1,1.5563122184169003e-09,0.01
99,13,750,0.3,1,1.5563151001709296e-09,0.01
100,12,500,0.25,1,1.5563308197915969e-09,0.01
101,8,500,0.3,1,1.5563672768303946e-09,0.01
102,9,500,0.25,1,1.5563758023691601e-09,0.01
103,10,500,0.25,1,1.5563813941544426e-09,0.01
104,15,1250,0.15,1,1.556391837584014e-09,0.01
105,14,750,0.25,1,1.5564890816814809e-09,0.01
106,14,1250,0.15,1,1.5564917682135294e-09,0.01
107,12,750,0.3,1,1.5565171024681273e-09,0.01
108,13,750,0.25,1,1.5565492350471685e-09,0.01
109,11,500,0.2,1,1.5565623401216207e-09,0.01
110,13,1000,0.1,1,1.556610899016722e-09,0.01
111,12,500,0.2,1,1.5566412382541417e-09,0.01
112,15,1250,0.1,1,1.556670454550056e-09,0.01
113,10,500,0.2,1,1.5567209415335162e-09,0.01
114,14,1250,0.1,1,1.5567640009072946e-09,0.01
115,12,750,0.25,1,1.5568520873669847e-09,0.01
116,12,1000,0.1,1,1.5568605745343946e-09,0.01
117,14,750,0.2,1,1.5569062144546836e-09,0.01
118,13,750,0.2,1,1.5570101048910687e-09,0.01
119,14,2250,0.25,1,1.557091417285918e-09,0.01
120,11,500,0.15,1,1.5573049925083722e-09,0.01
121,12,500,0.15,1,1.5573653979531128e-09,0.01
122,10,500,0.15,1,1.5575131378421117e-09,0.01
123,12,750,0.2,1,1.5575133807417973e-09,0.01
124,10,1250,0.15,1,1.5578397930711719e-09,0.01
125,14,750,0.15,1,1.5579045658911665e-09,0.01
126,13,750,0.15,1,1.5581212626220554e-09,0.01
127,15,2000,0.25,1,1.5581504134158192e-09,0.01
128,15,1000,0.3,1,1.558606886195223e-09,0.01
129,12,750,0.15,1,1.5589000371882115e-09,0.01
130,14,1000,0.3,1,1.559150338643605e-09,0.01
131,15,500,0.3,1,1.5592583542291304e-09,0.01
132,15,1000,0.25,1,1.5595347090074161e-09,0.01
133,12,500,0.1,1,1.5597736567733556e-09,0.01
134,14,500,0.3,1,1.559844924158313e-09,0.01
135,10,500,0.1,1,1.5601524149370327e-09,0.01
136,11,500,0.1,1,1.5602211591650243e-09,0.01
137,15,2000,0.3,1,1.5602441229194373e-09,0.01
138,14,1000,0.25,1,1.5602459820886767e-09,0.01
139,12,250,0.3,1,1.5607499906783888e-09,0.01
140,13,250,0.3,1,1.5608916137277927e-09,0.01
141,14,250,0.3,1,1.5609278270757413e-09,0.01
142,15,500,0.25,1,1.5609284503952914e-09,0.01
143,15,1000,0.2,1,1.5610237733599273e-09,0.01
144,10,250,0.3,1,1.5610837858674392e-09,0.01
145,9,250,0.3,1,1.5610871943999304e-09,0.01
146,8,250,0.3,1,1.5611273309536692e-09,0.01
147,7,250,0.3,1,1.561189110443752e-09,0.01
148,13,500,0.3,1,1.5612539321924686e-09,0.01
149,14,750,0.1,1,1.5614048882505743e-09,0.01
150,14,500,0.25,1,1.5617410607596163e-09,0.01
151,14,1000,0.2,1,1.5620044771661924e-09,0.01
152,13,750,0.1,1,1.5620629091362204e-09,0.01
153,15,250,0.3,1,1.5622376422463843e-09,0.01
154,12,750,0.1,1,1.5623685214700516e-09,0.01
155,12,250,0.25,1,1.5631111077908191e-09,0.01
156,13,2000,0.3,1,1.5631142987275137e-09,0.01
157,13,1250,0.05,1,1.5631174925923667e-09,0.01
158,13,250,0.25,1,1.5632435426976506e-09,0.01
159,14,250,0.25,1,1.5632688040971748e-09,0.01
160,10,250,0.25,1,1.5635182712830158e-09,0.01
161,9,250,0.25,1,1.5635278906095026e-09,0.01
162,15,1000,0.15,1,1.563579616848342e-09,0.01
163,8,250,0.25,1,1.5635948564529128e-09,0.01
164,7,250,0.25,1,1.5636324690669013e-09,0.01
165,13,500,0.25,1,1.5638032204478223e-09,0.01
166,15,2500,0.25,1,1.5641679999162655e-09,0.01
167,15,500,0.2,1,1.564176212936726e-09,0.01
168,12,1000,0.05,1,1.5643254351340853e-09,0.01
169,14,1000,0.15,1,1.5650308682121782e-09,0.01
170,14,500,0.2,1,1.565416410736608e-09,0.01
171,15,250,0.25,1,1.5654607467241705e-09,0.01
172,13,1000,0.05,1,1.5675591291786958e-09,0.01
173,12,250,0.2,1,1.5676185816416422e-09,0.01
174,14,250,0.2,1,1.5676410562408288e-09,0.01
175,13,250,0.2,1,1.5677105390028181e-09,0.01
176,15,1000,0.1,1,1.5677834078115018e-09,0.01
177,10,250,0.2,1,1.5681444387926328e-09,0.01
178,9,250,0.2,1,1.568168059959987e-09,0.01
179,8,250,0.2,1,1.5682897279195684e-09,0.01
180,13,500,0.2,1,1.5687557419178082e-09,0.01
181,14,1000,0.1,1,1.5699860247692975e-09,0.01
182,15,250,0.2,1,1.5716123792102228e-09,0.01
183,15,500,0.15,1,1.571853953442047e-09,0.01
184,11,1250,0.15,1,1.573730493925499e-09,0.01
185,14,500,0.15,1,1.5740958343273888e-09,0.01
186,15,2750,0.3,1,1.574264742994037e-09,0.01
187,15,2250,0.2,1,1.576453551799735e-09,0.01
188,14,250,0.15,1,1.5772089155506579e-09,0.01
189,13,250,0.15,1,1.5778620044068587e-09,0.01
190,12,250,0.15,1,1.5779150316376516e-09,0.01
191,11,250,0.3,1,1.578412768521071e-09,0.01
192,10,250,0.15,1,1.5786699230277999e-09,0.01
193,9,250,0.15,1,1.578731961348148e-09,0.01
194,8,250,0.15,1,1.5789893826281105e-09,0.01
195,13,500,0.15,1,1.5805470801145923e-09,0.01
196,11,500,0.05,1,1.5817039916997536e-09,0.01
197,12,500,0.05,1,1.5821503345783222e-09,0.01
198,15,1250,0.05,1,1.5822195429347536e-09,0.01
199,10,500,0.05,1,1.5843614679507335e-09,0.01
200,9,500,0.2,1,1.5853487293603853e-09,0.01
201,15,250,0.15,1,1.5856048369497608e-09,0.01
202,15,1500,0.05,1,1.5865863663519808e-09,0.01
203,14,2000,0.15,1,1.5881893939323666e-09,0.01
