TIMESTAMP,MEIZHU_OPEN_PRICE_USD,MEIZHU_HIGH_PRICE_USD,MEIZHU_LOW_PRICE_USD,MEIZHU_CLOSE_PRICE_USD,MEIZHU_VOLUME_USD,MEIZHU_DIVIDENDS_USD,MEIZHU_STOCK_SPLITS_USD
2024-10-28 00:00:00+00:00,0.0002589999930933118,0.00029299999005161226,7.400000322377309e-05,8.800000068731606e-05,349124,0.0,0.0
2024-10-29 00:00:00+00:00,8.70000003487803e-05,0.00013299999409355223,7.200000254670158e-05,9.100000170292333e-05,83378,0.0,0.0
2024-10-30 00:00:00+00:00,9.100000170292333e-05,9.500000305706635e-05,3.5000000934815034e-05,3.5000000934815034e-05,31075,0.0,0.0
2024-10-31 00:00:00+00:00,3.5000000934815034e-05,4.8000001697801054e-05,3.199999991920777e-05,3.400000059627928e-05,11187,0.0,0.0
2024-11-01 00:00:00+00:00,3.400000059627928e-05,4.3000000005122274e-05,2.9000000722589903e-05,2.9999999242136255e-05,5954,0.0,0.0
2024-11-02 00:00:00+00:00,2.9999999242136255e-05,3.400000059627928e-05,2.8000000384054147e-05,2.8000000384054147e-05,4999,0.0,0.0
2024-11-03 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.300000051036477e-05,2.499999936844688e-05,2051,0.0,0.0
2024-11-04 00:00:00+00:00,2.499999936844688e-05,3.199999991920777e-05,2.300000051036477e-05,2.5999999706982635e-05,8194,0.0,0.0
2024-11-05 00:00:00+00:00,2.5999999706982635e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.4000000848900527e-05,1415,0.0,0.0
2024-11-06 00:00:00+00:00,2.4000000848900527e-05,2.700000004551839e-05,2.4000000848900527e-05,2.5999999706982635e-05,1468,0.0,0.0
2024-11-07 00:00:00+00:00,2.5999999706982635e-05,3.300000025774352e-05,2.5999999706982635e-05,3.199999991920777e-05,2590,0.0,0.0
2024-11-08 00:00:00+00:00,3.199999991920777e-05,3.7000001611886546e-05,2.9000000722589903e-05,3.099999958067201e-05,5921,0.0,0.0
2024-11-09 00:00:00+00:00,3.099999958067201e-05,3.300000025774352e-05,2.9000000722589903e-05,3.099999958067201e-05,3938,0.0,0.0
2024-11-10 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,2.700000004551839e-05,2.700000004551839e-05,1178,0.0,0.0
2024-11-11 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.5999999706982635e-05,1564,0.0,0.0
2024-11-12 00:00:00+00:00,2.5999999706982635e-05,3.099999958067201e-05,2.499999936844688e-05,2.5999999706982635e-05,4528,0.0,0.0
2024-11-13 00:00:00+00:00,2.5999999706982635e-05,3.300000025774352e-05,2.300000051036477e-05,2.9999999242136255e-05,4761,0.0,0.0
2024-11-14 00:00:00+00:00,2.9999999242136255e-05,4.3000000005122274e-05,2.9999999242136255e-05,3.400000059627928e-05,16657,0.0,0.0
2024-11-15 00:00:00+00:00,3.400000059627928e-05,8.299999899463728e-05,2.9999999242136255e-05,4.3000000005122274e-05,88710,0.0,0.0
2024-11-16 00:00:00+00:00,4.3000000005122274e-05,6.70000008540228e-05,3.199999991920777e-05,4.600000102072954e-05,45293,0.0,0.0
2024-11-17 00:00:00+00:00,4.600000102072954e-05,8.399999933317304e-05,4.600000102072954e-05,5.400000009103678e-05,48452,0.0,0.0
2024-11-18 00:00:00+00:00,5.400000009103678e-05,5.400000009103678e-05,3.7000001611886546e-05,3.9999998989515007e-05,6612,0.0,0.0
2024-11-19 00:00:00+00:00,3.9999998989515007e-05,7.000000186963007e-05,3.7000001611886546e-05,5.900000178371556e-05,32262,0.0,0.0
