TIMESTAMP,LOLA31204_OPEN_PRICE_USD,LOLA31204_HIGH_PRICE_USD,LOLA31204_LOW_PRICE_USD,LOLA31204_CLOSE_PRICE_USD,LOLA31204_VOLUME_USD,LOLA31204_DIVIDENDS_USD,LOLA31204_STOCK_SPLITS_USD
2024-05-11 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,0.0,9.999999974752427e-07,620452,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,819320,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,178565,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,41213,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,16571,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,15358,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,21158,0.0,0.0
2024-05-18 00:00:00+00:00,,,,0.0,8657,0.0,0.0
2024-05-19 00:00:00+00:00,,,,0.0,4360,0.0,0.0
2024-05-20 00:00:00+00:00,,,,0.0,10405,0.0,0.0
2024-05-21 00:00:00+00:00,,,,0.0,17310,0.0,0.0
2024-05-22 00:00:00+00:00,,,,0.0,16424,0.0,0.0
2024-05-23 00:00:00+00:00,,,,0.0,7152,0.0,0.0
2024-05-24 00:00:00+00:00,,,,0.0,2980,0.0,0.0
2024-05-25 00:00:00+00:00,,,,0.0,4079,0.0,0.0
2024-05-26 00:00:00+00:00,,,,0.0,2501,0.0,0.0
2024-05-27 00:00:00+00:00,,,,0.0,5313,0.0,0.0
2024-05-28 00:00:00+00:00,,,,0.0,2641,0.0,0.0
2024-05-29 00:00:00+00:00,,,,0.0,2677,0.0,0.0
2024-05-30 00:00:00+00:00,,,,0.0,659,0.0,0.0
2024-05-31 00:00:00+00:00,,,,0.0,981,0.0,0.0
2024-06-01 00:00:00+00:00,,,,0.0,2282,0.0,0.0
2024-06-02 00:00:00+00:00,,,,0.0,6185,0.0,0.0
2024-06-03 00:00:00+00:00,,,,0.0,4248,0.0,0.0
2024-06-04 00:00:00+00:00,,,,0.0,7894,0.0,0.0
2024-06-05 00:00:00+00:00,,,,0.0,1661,0.0,0.0
2024-06-06 00:00:00+00:00,,,,0.0,2643,0.0,0.0
2024-06-07 00:00:00+00:00,,,,0.0,1116,0.0,0.0
2024-06-08 00:00:00+00:00,,,,0.0,1284,0.0,0.0
2024-06-09 00:00:00+00:00,,,,0.0,701,0.0,0.0
2024-06-10 00:00:00+00:00,,,,0.0,577,0.0,0.0
2024-06-11 00:00:00+00:00,,,,0.0,924,0.0,0.0
