TIMESTAMP,KYUB_OPEN_PRICE_USD,KYUB_HIGH_PRICE_USD,KYUB_LOW_PRICE_USD,KYUB_CLOSE_PRICE_USD,KYUB_VOLUME_USD,KYUB_DIVIDENDS_USD,KYUB_STOCK_SPLITS_USD
2022-04-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,219481,0.0,0.0
2022-04-28 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,75025,0.0,0.0
2022-04-29 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,39780,0.0,0.0
2022-04-30 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,26816,0.0,0.0
2022-05-01 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,17749,0.0,0.0
2022-05-02 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9853,0.0,0.0
2022-05-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,21329,0.0,0.0
2022-05-04 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,57441,0.0,0.0
2022-05-05 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,130183,0.0,0.0
2022-05-06 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,109994,0.0,0.0
2022-05-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,26544,0.0,0.0
2022-05-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,19396,0.0,0.0
2022-05-09 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,30734,0.0,0.0
2022-05-10 00:00:00+00:00,,,,0.0,44158,0.0,0.0
2022-05-11 00:00:00+00:00,,,,0.0,61945,0.0,0.0
2022-05-12 00:00:00+00:00,,,,0.0,45951,0.0,0.0
2022-05-13 00:00:00+00:00,,,,0.0,14614,0.0,0.0
2022-05-14 00:00:00+00:00,,,,0.0,18147,0.0,0.0
2022-05-15 00:00:00+00:00,,,,0.0,14286,0.0,0.0
2022-05-16 00:00:00+00:00,,,,0.0,12432,0.0,0.0
2022-05-17 00:00:00+00:00,,,,0.0,11664,0.0,0.0
2022-05-18 00:00:00+00:00,,,,0.0,8402,0.0,0.0
2022-05-19 00:00:00+00:00,,,,0.0,7960,0.0,0.0
2022-05-20 00:00:00+00:00,,,,0.0,10095,0.0,0.0
