TIMESTAMP,CKBTC_OPEN_PRICE_USD,CKBTC_HIGH_PRICE_USD,CKBTC_LOW_PRICE_USD,CKBTC_CLOSE_PRICE_USD,CKBTC_VOLUME_USD,CKBTC_DIVIDENDS_USD,CKBTC_STOCK_SPLITS_USD
2024-01-05 00:00:00+00:00,43833.25,45132.3671875,43070.12890625,44618.26953125,25449,0.0,0.0
2024-01-06 00:00:00+00:00,44618.26953125,44799.40625,39596.83984375,43982.8125,88611,0.0,0.0
2024-01-07 00:00:00+00:00,43982.8125,45255.52734375,43271.90234375,43738.453125,24921,0.0,0.0
2024-01-08 00:00:00+00:00,43738.453125,47868.1640625,42586.83984375,47075.50390625,179348,0.0,0.0
2024-01-09 00:00:00+00:00,47295.6484375,48154.875,45659.78125,46488.7734375,68423,0.0,0.0
2024-01-10 00:00:00+00:00,46488.7734375,47571.80859375,44380.72265625,46568.8203125,107241,0.0,0.0
2024-01-11 00:00:00+00:00,46568.8203125,50097.55859375,45686.71484375,46767.6328125,257554,0.0,0.0
2024-01-12 00:00:00+00:00,46897.73046875,47321.96875,41988.54296875,43051.97265625,337222,0.0,0.0
2024-01-13 00:00:00+00:00,43051.97265625,43727.87890625,42400.484375,42758.80859375,270889,0.0,0.0
2024-01-14 00:00:00+00:00,42758.80859375,43506.22265625,41685.8359375,41685.8359375,177700,0.0,0.0
2024-01-15 00:00:00+00:00,41685.8359375,43747.20703125,41666.3359375,42683.4296875,200334,0.0,0.0
2024-01-16 00:00:00+00:00,42683.4296875,43918.4765625,42220.5078125,43249.96484375,205404,0.0,0.0
2024-01-17 00:00:00+00:00,43249.96484375,43620.5703125,41807.17578125,43113.40234375,136317,0.0,0.0
2024-01-18 00:00:00+00:00,43113.40234375,43291.1875,40568.140625,41214.3984375,112439,0.0,0.0
2024-01-19 00:00:00+00:00,41214.3984375,42485.53125,38393.05859375,41369.69140625,162618,0.0,0.0
2024-01-20 00:00:00+00:00,41369.69140625,42489.1015625,40357.49609375,41827.87890625,158006,0.0,0.0
2024-01-21 00:00:00+00:00,41827.87890625,42168.296875,41181.6796875,41449.05859375,150965,0.0,0.0
2024-01-22 00:00:00+00:00,41449.05859375,41907.3359375,39164.84375,39536.375,130042,0.0,0.0
2024-01-23 00:00:00+00:00,39536.375,40510.42578125,38394.52734375,39886.4375,146240,0.0,0.0
2024-01-24 00:00:00+00:00,39886.4375,40682.40625,39339.96875,40094.05859375,110612,0.0,0.0
2024-01-25 00:00:00+00:00,40094.05859375,40618.03125,39407.3046875,40212.65234375,87474,0.0,0.0
2024-01-26 00:00:00+00:00,40212.65234375,42410.6953125,39497.9609375,41943.48828125,136916,0.0,0.0
2024-01-27 00:00:00+00:00,42219.953125,42947.8515625,41238.96875,42449.0234375,125477,0.0,0.0
2024-01-28 00:00:00+00:00,42449.0234375,43093.71875,41652.2265625,42256.796875,112001,0.0,0.0
