,LTC
ETH,0.6756470462573726
BTC,0.6558598563734945
DASH,0.5803987026636721
ETC,0.5533811531673621
ZEC,0.5531477020044614
QTUM,0.5263889972135529
MIOTA,0.4835919011596181
XLM,0.479601368052612
XMR,0.4478193552243401
XRP,0.4476826603817305
BAT,0.425377974294734
DGB,0.3674261508752478
ZEN,0.3665533831337584
SC,0.3611624618339227
WAVES,0.3312853600783627
RLC,0.3189626888971707
GNO,0.3142815778664036
XEM,0.3078322382116896
LSK,0.2998445013831525
LUNC,0.2699203176946515
BTS,0.2672879530605723
DCR,0.2596258043563155
GAS,0.2564482303653788
PIVX,0.2508004525677845
ANT,0.2433092249830249
KMD,0.2277979774890569
DOGE,0.2244565339566528
SYS,0.2218660511820437
FIRO,0.2164884103323109
ARK,0.2040267586451903
STEEM,0.1915999203059762
