,LTC
ETH,0.7930139872639357
BTC,0.7625483521623542
DASH,0.7305689258696331
ETC,0.7191602912860693
QTUM,0.7092493360754601
ZEC,0.6990558605358541
MIOTA,0.6814516606401132
XMR,0.6612138866593827
XLM,0.6456105750391412
BAT,0.6382312057668714
XRP,0.6359222107119011
GNO,0.6043212122943064
LSK,0.5958766668745753
SC,0.5782847100324182
DGB,0.575217194578796
XEM,0.573417297030474
ZEN,0.5687881869577575
DCR,0.5494569978313647
RLC,0.5423479244528259
BTS,0.5205580097484677
ANT,0.5165122789752912
STEEM,0.5083114846559122
WAVES,0.5027125645982734
SYS,0.4986379230149948
KMD,0.4638254952233597
PIVX,0.4498485505590682
FIRO,0.4490364607654237
LUNC,0.3999170090251029
GAS,0.3792389355963585
ARK,0.3504148460600588
DOGE,0.3238465548912566
