,BTC
AXIOM,0.8336933259309492
ETH,0.7942739022724574
2GIVE,0.7455852785798804
PXI,0.7287260705971145
LTC,0.7262090734925029
ZENI,0.7087804394531161
ICOB,0.7061824729641105
VEC2,0.7060869899339443
SNRG,0.7009470298244359
SONG,0.698448739495899
CJ,0.6976508398166341
HBN,0.6873011314759018
PKB,0.6851632602423632
QTUM,0.6826323666735508
ETC,0.6797318927076212
RBIES,0.6793886661564085
VLT,0.6793632338535119
DASH,0.6789221694908694
C2,0.6787868182376371
AV,0.6763486333605141
IBANK,0.6753572477804898
IMS,0.674439283695668
VIDZ,0.6727000468236282
SPR,0.6721754103095118
QBC,0.669416041045442
FRN,0.6693997849690725
CREVA,0.6686945631900999
CAB,0.667155734163096
ACES,0.6638301425325417
XRP,0.6628064791966124
DOGE,0.6621960224823377
IOTA,0.6616618293296571
LTCR,0.6616191067256859
CF,0.6606456178659309
BLAZR,0.6605105429976884
ZYD,0.6597358734779372
POST,0.656317574115385
OPAL,0.6552612743233287
GCC,0.6551057057662205
DGB,0.6545817562339145
XLM,0.6533379672037816
EVIL,0.6479656117316197
WBB,0.6475974961656026
ACOIN,0.6458356955481552
EUC,0.6447433942263793
NEWB,0.642736046183114
XQN,0.6420936278016377
XMR,0.6416667842398619
ZEC,0.6405942910132266
SC,0.6401015404441481
BITS,0.6379936751700328
MAY,0.634391133761796
BLU,0.6333929537039842
ADZ,0.6333365811373971
JLP,0.6301533799923124
XPY,0.627424196836236
ADC,0.6262636767715251
BERN,0.625314582295203
BAT,0.6226010446337851
XEM,0.6226002168914626
GNO,0.621673798224234
XHI,0.6214190267733151
TAJ,0.6191632784730303
MST,0.617839649582517
DCR,0.6171703941558933
LSK,0.6134195767856888
KURT,0.6118866903745108
SWING,0.608948571338133
ICON,0.6044473989579644
MOTO,0.6017736157937573
UNIT,0.5999593132819587
KOBO,0.5984548987342365
CANN,0.5922786748848337
NETKO,0.590397077759841
FIRO,0.5898441091599276
BTS,0.5877371836293455
GAS,0.5856837998921516
ARGUS,0.5855065459074829
LUN,0.584195010023647
WAVES,0.5805456026016813
STEEM,0.5706798384863232
RBT,0.5683594654400101
EDRC,0.5575780389056343
SIB,0.5562347716633862
START,0.5549458573314556
ZEN,0.5517450200116335
ENT,0.5512324881776601
KMD,0.5439879588560848
