,BTC
AXIOM,0.8367560167300306
ETH,0.7965797302081675
SXC,0.7794367369824512
2GIVE,0.7674916517000805
PXI,0.7327008324308901
LTC,0.7314877141709196
SONG,0.7267472503935136
ZET,0.7233175409303852
AV,0.7186356391443539
DASH,0.7137041140536754
ICOB,0.7126110616343606
CREVA,0.7083311535223683
VEC2,0.7061419286162498
PKB,0.7043340414974538
CJ,0.7035281834547197
GCC,0.6989705090609294
HBN,0.6983919071629356
QTUM,0.6970170254635701
IOTA,0.6930898120892394
BLAZR,0.6913631923422451
SNRG,0.690783871068688
C2,0.6899681529530146
EVIL,0.6885538808220816
IBANK,0.687796929895072
LTCR,0.687535900976648
NEWB,0.6865325302291296
JLP,0.6862915114180645
ETC,0.6848067525069916
ZENI,0.6836125039148203
DOGE,0.6828424910222057
VLT,0.682535997532998
FRN,0.6806261851056599
RBIES,0.6803922800874403
ACES,0.6803265460362151
XRP,0.6783770366414025
XLM,0.6727745786156413
CAB,0.6719803083453872
IMS,0.6697989563590775
DGB,0.6697203968709459
CF,0.6694310071931303
XMR,0.6673051087120954
OPAL,0.6647464249778712
XQN,0.6613132263722445
EUC,0.6610159302560109
DCR,0.6595628732661771
BLU,0.6578999729495713
VIDZ,0.6574858365463924
ACOIN,0.6530350061559729
SPR,0.6529888579466544
BAT,0.6516881429648971
ZEC,0.6509087367398045
SC,0.6498059674853486
ZYD,0.6490865232542408
POST,0.647313453631647
MAY,0.645838454646466
LSK,0.6401459411746437
XEM,0.6384919275460456
QBC,0.6363014093251744
ADZ,0.6345490464415855
ADC,0.6337919867767391
BITS,0.6332011395443194
XHI,0.6318699542887319
WBB,0.6316717144374954
BTS,0.6302967275238339
BERN,0.6280889591212729
KURT,0.6271009792676017
TAJ,0.626815277428908
XPY,0.6254780304252016
GNO,0.6240430629801227
STEEM,0.6200217779342898
FIRO,0.6188709863653203
GAS,0.6177203002068018
MST,0.6145321732051089
UNIT,0.613459855367619
SWING,0.6100771141289422
ARGUS,0.6075450050243074
KOBO,0.6028301216098237
MOTO,0.5984229115658868
ICON,0.5981137503691042
FRC,0.5965826200396347
EDRC,0.5953175495420597
KMD,0.5943216572609462
ENT,0.5896467533231301
WAVES,0.5867443438981904
ARK,0.5863618789699366
NETKO,0.5834742474639043
RLC,0.5830141254869253
SYS,0.5826270556085266
LUN,0.5825066082935004
CANN,0.5806431597423588
ZEN,0.5801159651452507
EFL,0.5760152369496486
START,0.575645981312936
RBT,0.5677856196632082
PXC,0.5668395618693217
XPM,0.5667469405371314
AMS,0.562535536444797
GRS,0.5568469540798832
SLS,0.5567946906809739
PIVX,0.5543152720904561
CNT,0.5523312727654005
AE,0.5509267407351658
MONA,0.5486884460064291
ANT,0.5374112921285724
SANDG,0.5219835954600895
SIB,0.5186601751000315
HVCO,0.514188657070259
VAL,0.514141225516497
CYT,0.5115606455329134
NXS,0.5109870802644514
LUNC,0.5079600516841263
42,0.5065427837494549
HMQ,0.5056709472932998
NEOS,0.5
LANA,0.49902066345689
VTC,0.4962722364359656
RBY,0.4894234341356984
NAV,0.4876354895515252
TRST,0.4846435090977171
CARBON,0.4843497483580425
TECH,0.4836659518558671
WINGS,0.4816141768902633
PPC,0.4813042748776046
NEVA,0.4805728945224698
NXT,0.4765867137569662
NOBL,0.4755970181855802
CLUB,0.474454070389629
LAMB,0.4729560763963975
SWIFT,0.4726189939554835
BTCS,0.4695326812513601
CLAM,0.4691072558793246
TES,0.4678023074529757
CRW,0.4622606798230811
AMBER,0.4581191148434518
COOL,0.4564955100384632
XPTX,0.4532709152242582
NVC,0.4515323101795601
SP,0.4493877551020408
LBC,0.4454665487763612
NMC,0.4435682811947034
MAID,0.4431533020134558
FTC,0.4428356448613007
XMS,0.4422782239826181
SWT,0.4418022996479173
BLK,0.439069994141907
DEM,0.4315344355465155
XBY,0.4291327718434589
WGR,0.4283376416838787
EQB,0.4268357165634824
OK,0.4257873780260215
GBYTE,0.4182866086767873
SKR,0.4143949426438109
CKC,0.4125945223321798
PASC,0.4112704326772678
XST,0.410799186753043
LDOGE,0.4031886807602366
IXC,0.3988144415583762
BRIT,0.3911281030447445
BOLI,0.3868745543336469
RDD,0.3856687431696022
BCN,0.3848294420387664
HUSH,0.3808688065658275
ZCL,0.3792262671545711
CETI,0.371251085243383
XDN,0.3703073636176325
PTOY,0.369461993441369
ZUR,0.3558498919780656
XTO,0.3528473770742659
DCY,0.3507491726030433
ALIAS,0.3499511724812685
LMC,0.3452848352916807
PAK,0.3365319440074582
POT,0.3274886702557188
CSC,0.3257496823002325
VERI,0.3241154006189248
BIS,0.3230449147079895
WYZ,0.3225181316122164
HBD,0.3209213274201273
AGRS,0.3202008495497547
ZER,0.319947338208582
SKULL,0.3196868325699895
KIN,0.3154658885458546
BTA,0.3113139267573228
LOG,0.3082402134142744
INF,0.3082329972282871
CLOAK,0.3015623469230727
GLC,0.3011141123928892
PHR,0.2976196636881027
PLU,0.2970944630643911
XCP,0.285301114558073
SHND,0.2800862252929199
XPX,0.2784504591512993
USDT,0.2759623471750276
BSTY,0.271504765816405
XBC,0.2703357578277598
DGC,0.2652381076607447
PUT,0.2630660644298981
XWC,0.2624124702320958
BCDN,0.2615947068815388
DIME,0.2586896250923754
WDC,0.2533517525153868
IFC,0.2447074739458629
LKY,0.2395448079658605
TAB,0.2330526610076577
ILC,0.2305342666744634
SIGNA,0.2190253535821585
FOREX,0.2111014963090626
IRL,0.2040306029667731
HNC,0.2037668897619427
LOOK,0.2032972116270708
PIE,0.1852334055096267
NYC,0.1792476624064566
SILK,0.1561427512138485
DCT,0.1535497948725549
QTZ,0.1302470528563588
BS,0.1294763335994039
ZOOM,0.1235357410964575
JKC,0.1142857142857142
MNTC,0.1123617339849982
PZM,0.1087859782207381
OZO,0.0733457445213608
BTB,0.0705308257450217
RRT,0.0588650858670958
MCN,0.0135189793087533
WC,-0.0329568675944215
BOSS,
CAM,
CDN,
CYG,
DOGED,
ETT,
IMPACT,
MARI,
MARV,
NKT,
PX,
RCX,
SLING,
UR,
USC,
VDO,
VMC,
