,BTC
MARI,1.0
AXIOM,0.8330667185792845
ETH,0.7935602302748058
2GIVE,0.7430079779535906
PXI,0.7267459709655286
LTC,0.7239786650997659
ZENI,0.7128741195603232
SNRG,0.7117895372967299
VEC2,0.7067873816141383
ICOB,0.7027977231950332
SONG,0.7004303278035012
HBN,0.6950555211631234
PKB,0.6926893914222032
CJ,0.691053604707703
VLT,0.6906948639323061
RBIES,0.6878013383030078
IBANK,0.6876716379419525
AV,0.6856882566020182
QTUM,0.6836382114397962
IMS,0.6828041540141372
ETC,0.6812294846599279
DASH,0.6780762499469907
SPR,0.6767479101077033
VIDZ,0.6746729866788128
C2,0.6734294781653402
FRN,0.6720953152123357
CAB,0.6716827295397932
ACES,0.6714230080454235
QBC,0.6704234827341843
ZYD,0.6688079294677837
CREVA,0.6671104275411327
CF,0.6664401006548699
XRP,0.6640450945638506
DOGE,0.6603741680522229
GCC,0.6603613417765738
EVIL,0.6596335875650003
IOTA,0.6595660142710029
OPAL,0.6588155298511895
BLAZR,0.6584416112386046
POST,0.6569172151875603
WBB,0.6560110746171507
LTCR,0.6557816183085476
DGB,0.6540381948215622
XLM,0.6534812186550876
EUC,0.6496852353595601
XQN,0.6461391221234266
XMR,0.6442190003202586
BITS,0.6428309722159234
ACOIN,0.6425260591331322
ZEC,0.6415121768395995
NEWB,0.6414774324981446
SC,0.6397129295826708
ADZ,0.6325028116473208
MAY,0.6323834032293677
ADC,0.6321978818749591
XPY,0.6313103588223519
BLU,0.6291982933672814
JLP,0.6263242402220773
BERN,0.6245644211758216
TAJ,0.624327793837228
XEM,0.6231421056667334
BAT,0.6205773004702468
XHI,0.6204708835962094
GNO,0.6203432318341507
DCR,0.6190406715143041
MST,0.6176881573963013
ICON,0.6142719791585927
LSK,0.6129375902019526
SWING,0.6118959562253172
KURT,0.6116188079318878
NETKO,0.6050335393005825
MOTO,0.5997558803406641
KOBO,0.599587916538787
UNIT,0.5966574546726007
CANN,0.5949980710266372
FIRO,0.5930073342159161
GAS,0.5885432543271193
BTS,0.5881550243569472
LUN,0.5851552873826585
ARGUS,0.5798766295090829
WAVES,0.5794080299086748
RBT,0.5724922437012114
STEEM,0.5706613254380365
EDRC,0.5635975287989977
ENT,0.5523433845163819
ZEN,0.5514865542618269
START,0.5514213753594337
SIB,0.5494240269899947
FRC,0.5470529710975761
AMS,0.5448111156435264
KMD,0.5414002775646369
RLC,0.5373967224214975
BTCS,0.5366467558260843
SYS,0.535562250830979
CNT,0.533035886118994
PXC,0.5324432009292313
MONA,0.5308953706946351
SANDG,0.5234373748332884
AE,0.5230648891329366
ARK,0.5211491663560437
ZET,0.5191746457827664
PIVX,0.510737580844748
ANT,0.5093739473313709
GRS,0.5044701511253417
PPC,0.5020966219698056
VAL,0.5020742776633984
42,0.5016400929467351
NEOS,0.5
SLS,0.4979236833806413
NXS,0.49550806768159
SXC,0.4949882918947501
LANA,0.4912916492982905
TES,0.4901478075183344
EFL,0.4892785177750394
NMC,0.4881500802414547
RBY,0.4827116497244772
LDOGE,0.4778718626996118
VTC,0.4739181353788583
TRST,0.4735988741756636
HVCO,0.4722961025650385
WINGS,0.4704994257846027
LUNC,0.4684035155210972
NEVA,0.4637139445761236
MAID,0.4585847460428444
WGR,0.4577621238723466
ZCL,0.4551973595817248
NOBL,0.454791719907999
XPM,0.4543893580690037
CLUB,0.4536011542817739
NAV,0.4528345302690029
COOL,0.4512740422081623
CARBON,0.4482227226571092
LAMB,0.4475131709246013
CYT,0.4456782356743875
NXT,0.4423114247603666
GBYTE,0.441352810427764
TECH,0.441321386230027
CRW,0.4386737423445515
AMBER,0.4384842873153211
FTC,0.4359720056114407
SWIFT,0.4318251727269306
XMS,0.4259999688133348
LBC,0.4236401975563614
PASC,0.4109527993421794
EQB,0.4097815528164406
OK,0.4085546010758331
XST,0.4075504216059941
NVC,0.4068104220686302
XPTX,0.4034701656203672
HMQ,0.4032845424855621
CKC,0.399592986783249
CLAM,0.3950234989419541
SKULL,0.3933816312726486
BLK,0.3887266361879506
PTOY,0.3789869520239814
SWT,0.3743686817926649
DCY,0.370664792920491
XBY,0.3647405914940434
BCN,0.3586919495343957
WYZ,0.3572177124226495
SKR,0.3567098939843995
DEM,0.3547793725828049
ALIAS,0.3480086555663946
AGRS,0.3434872083668475
POT,0.3427308640783457
PHR,0.3411485895184702
CSC,0.3333159136137598
ZER,0.3313593158063012
