TIMESTAMP,CHAD24507_OPEN_PRICE_USD,CHAD24507_HIGH_PRICE_USD,CHAD24507_LOW_PRICE_USD,CHAD24507_CLOSE_PRICE_USD,CHAD24507_VOLUME_USD,CHAD24507_DIVIDENDS_USD,CHAD24507_STOCK_SPLITS_USD
2023-04-18 00:00:00+00:00,7.999999979801942e-06,1.1000000085914508e-05,1.9999999949504854e-06,3.000000106112566e-06,12382203,0.0,0.0
2023-04-19 00:00:00+00:00,3.000000106112566e-06,1.4999999621068127e-05,1.9999999949504854e-06,3.999999989900971e-06,13104117,0.0,0.0
2023-04-20 00:00:00+00:00,3.999999989900971e-06,2.4000000848900527e-05,3.999999989900971e-06,7.000000096013537e-06,6092525,0.0,0.0
2023-04-21 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,3.999999989900971e-06,3.999999989900971e-06,1971201,0.0,0.0
2023-04-22 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,3.000000106112566e-06,3.999999989900971e-06,3051405,0.0,0.0
2023-04-23 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1098827,0.0,0.0
2023-04-24 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,3.000000106112566e-06,3.000000106112566e-06,2276877,0.0,0.0
2023-04-25 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1169386,0.0,0.0
2023-04-26 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,11545253,0.0,0.0
2023-04-27 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,3393689,0.0,0.0
2023-04-28 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,639173,0.0,0.0
2023-04-29 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,642636,0.0,0.0
2023-04-30 00:00:00+00:00,1.9999999949504854e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,1353203,0.0,0.0
2023-05-01 00:00:00+00:00,3.000000106112566e-06,7.000000096013537e-06,3.000000106112566e-06,7.000000096013537e-06,2878310,0.0,0.0
