,XMR
USDT,1.5947275198037578e-05
ACES,0.003575850633389263
BTC,0.00483836904730395
TRST,0.008668250898080621
ARK,0.012882611261707996
RBT,0.013536038722601892
IBANK,0.01586466828884611
WYZ,0.016995179540905767
QTUM,0.018033203591416046
VLT,0.021992664999464378
TAB,0.02689816953136124
ZUR,0.026915894117389236
PPC,0.02891777652438058
SIGNA,0.0329668659688332
VEC2,0.033923744643991165
XTO,0.03405137551490918
VAL,0.0357739259539859
IFC,0.03865995015611761
DGB,0.04174498248602557
PXC,0.04192550181266546
LDOGE,0.04275965496062281
ICOB,0.04375059070665413
BAT,0.04666286626600449
PUT,0.0523522039230401
GRS,0.05466351711140615
VIDZ,0.055090175429755105
SWING,0.05776084346717262
LUNC,0.06195405998534752
XQN,0.06271207058865909
XEM,0.06365345577681819
RLC,0.0705568851620438
C2,0.07403150586149398
AV,0.07506047687251244
RBIES,0.07738122931549116
LTCR,0.0793510483390214
FRN,0.08084381106987551
ICON,0.08183375725086638
XPX,0.08209522795165013
CSC,0.08367762540203774
HBD,0.08689566358084337
PXI,0.08692107706865992
BERN,0.08697143917119124
IMS,0.08792089892339569
XLM,0.09113356245540101
XRP,0.09550089731966215
ADZ,0.09625774551178638
HVCO,0.0999739552818257
LOG,0.10686652159781539
STEEM,0.1080733177281567
WBB,0.10927754567481358
EVIL,0.11529643945224576
BITS,0.11714273351186086
LTC,0.12625737403390658
DASH,0.1270485631104731
NXT,0.1273250479499249
CAB,0.13069520736021592
SPR,0.13104779520509674
START,0.13337857080909293
CJ,0.13674978004321986
NEWB,0.14200948829046114
VTC,0.14818708821016732
EUC,0.148593897952584
MOTO,0.14976223416424977
TAJ,0.15402366197579792
GBYTE,0.15588758738325353
ZEC,0.16108538385716237
DOGE,0.17437930307471622
KOBO,0.1901489356291803
GAS,0.19111926507867136
ZET,0.2081478393341255
XHI,0.20909933974513778
XPM,0.21428315684438087
PAK,0.22039328024141944
RBY,0.22437392218250451
SXC,0.22530416754283672
CREVA,0.22951967775990909
KMD,0.23043182683091498
LOOK,0.23689795540139874
XWC,0.2489560971815986
LSK,0.2522586588960884
SYS,0.2622226429401462
XPY,0.26470214761909594
BOLI,0.26576921614869825
KIN,0.2689383793933778
BTS,0.273516293245114
ETC,0.28688192144236047
ZEN,0.2916628635097149
ZENI,0.2932208391864724
PIVX,0.3034541860533723
NMC,0.30785147730343787
MONA,0.3110680316456641
CANN,0.3201306311045717
KURT,0.3265798807251041
CKC,0.34428734787987797
ZYD,0.34675609807390145
BLU,0.3488038642110865
MCN,0.3489492721377644
WAVES,0.36008997674769394
MAY,0.3669134117074068
AMS,0.36871429595534283
CARBON,0.3719060079287485
CF,0.3763769054823142
ETH,0.37877526414853213
SANDG,0.383371221980736
AE,0.3867264059877408
OPAL,0.3888978487762564
CLUB,0.39209718168861446
JLP,0.39550640042364615
ANT,0.41760282483976174
SKULL,0.42414705356394106
ARGUS,0.4447346764443753
AXIOM,0.4473943838303737
NXS,0.46271227435641354
ADC,0.469700493345585
DCT,0.46997424195197157
SKR,0.48089328843730855
PLU,0.4870006511686287
PZM,0.49002974151835665
42,0.4900465947392528
ZCL,0.4901155012072419
ACOIN,0.4994103918022535
BRIT,0.504966636978457
XMS,0.5119814037967289
BS,0.5205094175942936
FIRO,0.5213438552174237
CETI,0.5294092375676366
GNO,0.5558900501402834
RRT,0.556954772529993
LAMB,0.5569759580779804
SILK,0.5695331663482708
LANA,0.5732640104411709
BTCS,0.5793087163207495
NOBL,0.5862092226441589
EFL,0.5906525181965043
AGRS,0.6090305577817435
HNC,0.6102218346020145
DCY,0.6140633736343717
WINGS,0.6142793523609367
COOL,0.614847300831594
QTZ,0.6209176515304112
XCP,0.6317646065476418
DCR,0.6614358006763454
POST,0.6780644297005963
SC,0.7036420788734183
XDN,0.7285887520683487
BCN,0.7295242568296678
BLAZR,0.7332540866764643
BTA,0.7362306404220821
FOREX,0.7372379454641518
PTOY,0.7461467730913435
NAV,0.7485599458393611
LBC,0.7521513229351063
BLK,0.768205084211158
SWT,0.7774363536939055
QBC,0.7847089962011393
ILC,0.786034375326387
SIB,0.791686363208417
BIS,0.7954271656806433
ALIAS,0.7976447946038548
IOTA,0.8003330364864036
TES,0.8221139613298754
XBY,0.826882717070842
EDRC,0.8355046514920245
XPTX,0.8368490135465023
CRW,0.8391042512675876
INF,0.8397712792822514
FTC,0.8404765941468403
GCC,0.8420478001447635
SNRG,0.8473353133831449
NVC,0.8503385713845756
VERI,0.8520072546803543
HBN,0.8553744217130546
SWIFT,0.8579955833858742
WC,0.86028023876819
2GIVE,0.8603078333353831
MAID,0.862526468611575
FRC,0.8637204174736232
BTB,0.8705659635998712
PHR,0.8729439223498878
PKB,0.8739334198584604
DGC,0.8808598395898206
ZER,0.8817514069884699
HMQ,0.8874761412909717
IRL,0.8932899411938554
MST,0.9042658253223099
OZO,0.9050198768760628
PASC,0.9079482119199184
PIE,0.9141474047392396
XST,0.9173090565376663
WGR,0.9186623321501242
DEM,0.9188077222437012
XBC,0.9285478466394602
CLOAK,0.9302014400423526
POT,0.9327845467080877
CLAM,0.933254555606791
SONG,0.9334873737923316
TECH,0.9383784822353433
EQB,0.9421901311391904
RDD,0.9468934525882159
LMC,0.9477725312817514
AMBER,0.9538992239106316
BSTY,0.9618057964566442
SLS,0.97171172704922
IXC,0.9751349699679354
OK,0.9794844020288448
MNTC,0.9801858016552598
CNT,0.9893107230654523
NEVA,0.9966208010389498
