,XMR,Lag
TRST,9.702750143162699e-30,30
BRIT,6.646310616873933e-26,19
42,5.3465586427857115e-24,27
WYZ,4.876877760757128e-18,30
PXC,1.7179609101557035e-16,27
PUT,1.8691850928034752e-14,3
VEC2,7.191700817456942e-14,30
ACES,1.0857689348740014e-12,30
IFC,2.532240558158141e-12,7
LTCR,2.575996105043321e-12,30
RBT,2.697966862780438e-12,25
DOGE,2.9178361465630035e-11,26
IBANK,2.1862506445536943e-10,29
SIGNA,5.054617966072981e-10,26
RLC,6.657741194921428e-10,21
PPC,9.871294227732844e-09,9
XTO,1.0156729311011297e-08,28
QTUM,3.3963567468155834e-08,25
IMS,3.493793922739606e-08,24
USDT,9.562546744636765e-08,2
XLM,2.8902571882455933e-07,21
BTA,4.478757041556633e-07,26
XEM,1.0613696327403615e-06,16
STEEM,1.089037833970615e-06,25
WBB,2.620722110161433e-06,23
RBIES,3.727640813007787e-06,11
CKC,4.448638237290625e-06,28
BERN,6.759852274148589e-06,16
NOBL,1.3394670061855594e-05,29
ZUR,1.4898503724946686e-05,12
CAB,1.7029054283081576e-05,30
XRP,3.0341355052775405e-05,30
RRT,3.425835250035146e-05,30
EVIL,3.7773167373163125e-05,30
SXC,4.232751923950883e-05,27
PAK,4.98986519260832e-05,30
BITS,7.562465032411093e-05,12
TAB,7.650590171213496e-05,30
NXT,9.037747396201362e-05,2
BTC,0.0001095336551035,13
GNO,0.000139341134215,28
ICOB,0.0001672395306264,6
VLT,0.0002944271791976,30
VIDZ,0.0003252098657708,24
DGB,0.0003739379390644,23
VAL,0.0003780416932809,20
ICON,0.0003865349872157,25
XQN,0.0009351069933256,9
EUC,0.0009637621030985,17
HBD,0.0010370412614196,29
GRS,0.0011051671159998,29
ARK,0.0012576008502016,20
XPY,0.00135832358963,30
C2,0.001633310987687,30
CREVA,0.00199723667473,28
BTS,0.0019983162139221,30
BAT,0.00211493970224,23
MONA,0.0021372715534744,29
PXI,0.002226285467189,8
ADZ,0.0022489294522699,10
