,XMR,Lag
IOTA,9.861828553719574e-18,15
BAT,1.6922598174739195e-11,2
LTC,2.795741663117875e-11,3
DOGE,7.063206689929343e-08,25
BTC,1.2732005911110395e-06,25
ETC,3.238795583933357e-06,1
DASH,1.166704163984466e-05,11
QTUM,1.3592868890775628e-05,21
ETH,1.613138413082145e-05,30
XLM,0.0007412906080569,4
ZEC,0.0010496919617973,1
DCR,0.0021356185520772,2
XRP,0.0059488647788398,6
USDT,0.011751825120968,23
GNO,0.2202166691583013,22
