TIMESTAMP,SHIRYO_OPEN_PRICE_USD,SHIRYO_HIGH_PRICE_USD,SHIRYO_LOW_PRICE_USD,SHIRYO_CLOSE_PRICE_USD,SHIRYO_VOLUME_USD,SHIRYO_DIVIDENDS_USD,SHIRYO_STOCK_SPLITS_USD
2021-11-06 00:00:00+00:00,,,,0.0,9807198,0.0,0.0
2021-11-07 00:00:00+00:00,,,,0.0,27718795,0.0,0.0
2021-11-08 00:00:00+00:00,,,,0.0,15786339,0.0,0.0
2021-11-09 00:00:00+00:00,,,,0.0,6320454,0.0,0.0
2021-11-10 00:00:00+00:00,,,,0.0,4181080,0.0,0.0
2021-11-11 00:00:00+00:00,,,,0.0,4480028,0.0,0.0
2021-11-12 00:00:00+00:00,,,,0.0,3762465,0.0,0.0
2021-11-13 00:00:00+00:00,,,,0.0,3976111,0.0,0.0
2021-11-14 00:00:00+00:00,,,,0.0,4588898,0.0,0.0
2021-11-15 00:00:00+00:00,,,,0.0,2696688,0.0,0.0
2021-11-16 00:00:00+00:00,,,,0.0,2950698,0.0,0.0
2021-11-17 00:00:00+00:00,,,,0.0,2606193,0.0,0.0
2021-11-18 00:00:00+00:00,,,,0.0,4476958,0.0,0.0
2021-11-19 00:00:00+00:00,,,,0.0,2588156,0.0,0.0
2021-11-20 00:00:00+00:00,,,,0.0,4198470,0.0,0.0
2021-11-21 00:00:00+00:00,,,,0.0,5107181,0.0,0.0
2021-11-22 00:00:00+00:00,,,,0.0,3192693,0.0,0.0
2021-11-23 00:00:00+00:00,,,,0.0,2368537,0.0,0.0
2021-11-24 00:00:00+00:00,,,,0.0,2257854,0.0,0.0
2021-11-25 00:00:00+00:00,,,,0.0,3736201,0.0,0.0
2021-11-26 00:00:00+00:00,,,,0.0,2101623,0.0,0.0
2021-11-27 00:00:00+00:00,,,,0.0,1781084,0.0,0.0
2021-11-28 00:00:00+00:00,,,,0.0,1285056,0.0,0.0
2021-11-29 00:00:00+00:00,,,,0.0,1464701,0.0,0.0
2021-11-30 00:00:00+00:00,,,,0.0,2407103,0.0,0.0
2021-12-01 00:00:00+00:00,,,,0.0,1801682,0.0,0.0
2021-12-02 00:00:00+00:00,,,,0.0,2125407,0.0,0.0
2021-12-03 00:00:00+00:00,,,,0.0,3716899,0.0,0.0
2021-12-04 00:00:00+00:00,,,,0.0,4990797,0.0,0.0
2021-12-05 00:00:00+00:00,,,,0.0,1549231,0.0,0.0
2021-12-06 00:00:00+00:00,,,,0.0,1610135,0.0,0.0
2021-12-07 00:00:00+00:00,,,,0.0,1108229,0.0,0.0
2021-12-08 00:00:00+00:00,,,,0.0,1314390,0.0,0.0
2021-12-09 00:00:00+00:00,,,,0.0,1217447,0.0,0.0
2021-12-10 00:00:00+00:00,,,,0.0,1401517,0.0,0.0
2021-12-11 00:00:00+00:00,,,,0.0,1025634,0.0,0.0
2021-12-12 00:00:00+00:00,,,,0.0,917227,0.0,0.0
2021-12-13 00:00:00+00:00,,,,0.0,825805,0.0,0.0
2021-12-14 00:00:00+00:00,,,,0.0,1836005,0.0,0.0
2021-12-15 00:00:00+00:00,,,,0.0,830019,0.0,0.0
2021-12-16 00:00:00+00:00,,,,0.0,1248429,0.0,0.0
2021-12-17 00:00:00+00:00,,,,0.0,5777029,0.0,0.0
2021-12-18 00:00:00+00:00,,,,0.0,2341674,0.0,0.0
2021-12-19 00:00:00+00:00,,,,0.0,1312932,0.0,0.0
2021-12-20 00:00:00+00:00,,,,0.0,1418295,0.0,0.0
2021-12-21 00:00:00+00:00,,,,0.0,915410,0.0,0.0
2021-12-22 00:00:00+00:00,,,,0.0,788024,0.0,0.0
2021-12-23 00:00:00+00:00,,,,0.0,668512,0.0,0.0
2021-12-24 00:00:00+00:00,,,,0.0,614868,0.0,0.0
2021-12-25 00:00:00+00:00,,,,0.0,524296,0.0,0.0
2021-12-26 00:00:00+00:00,,,,0.0,441534,0.0,0.0
2021-12-27 00:00:00+00:00,,,,0.0,905605,0.0,0.0
