TIMESTAMP,INNBC_OPEN_PRICE_USD,INNBC_HIGH_PRICE_USD,INNBC_LOW_PRICE_USD,INNBC_CLOSE_PRICE_USD,INNBC_VOLUME_USD,INNBC_DIVIDENDS_USD,INNBC_STOCK_SPLITS_USD
2020-03-11 00:00:00+00:00,,,,0.0,345,0.0,0.0
2020-03-12 00:00:00+00:00,,,,0.0,235,0.0,0.0
2020-03-13 00:00:00+00:00,,,,0.0,144,0.0,0.0
2020-03-14 00:00:00+00:00,,,,0.0,379,0.0,0.0
2020-03-15 00:00:00+00:00,,,,0.0,871,0.0,0.0
2020-03-16 00:00:00+00:00,,,,0.0,78,0.0,0.0
2020-03-17 00:00:00+00:00,,,,0.0,132,0.0,0.0
2020-03-18 00:00:00+00:00,,,,0.0,995,0.0,0.0
2020-03-19 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,1056,0.0,0.0
2020-03-20 00:00:00+00:00,,,,0.0,255,0.0,0.0
2020-03-21 00:00:00+00:00,,,,0.0,185,0.0,0.0
2020-03-22 00:00:00+00:00,,,,0.0,310,0.0,0.0
2020-03-23 00:00:00+00:00,,,,0.0,229,0.0,0.0
2020-03-24 00:00:00+00:00,,,,0.0,38377,0.0,0.0
2020-03-25 00:00:00+00:00,,,,0.0,77316,0.0,0.0
2020-03-26 00:00:00+00:00,,,,0.0,223813,0.0,0.0
2020-03-27 00:00:00+00:00,,,,0.0,87602,0.0,0.0
2020-03-28 00:00:00+00:00,,,,0.0,27881,0.0,0.0
2020-03-29 00:00:00+00:00,,,,0.0,169820,0.0,0.0
2020-03-30 00:00:00+00:00,,,,0.0,174614,0.0,0.0
2020-03-31 00:00:00+00:00,,,,0.0,198844,0.0,0.0
2020-04-01 00:00:00+00:00,,,,0.0,109541,0.0,0.0
2020-04-02 00:00:00+00:00,,,,0.0,243103,0.0,0.0
2020-04-03 00:00:00+00:00,,,,0.0,70585,0.0,0.0
2020-04-04 00:00:00+00:00,,,,0.0,63414,0.0,0.0
2020-04-05 00:00:00+00:00,,,,0.0,89770,0.0,0.0
2020-04-06 00:00:00+00:00,,,,0.0,26430,0.0,0.0
2020-04-07 00:00:00+00:00,,,,0.0,61390,0.0,0.0
2020-04-08 00:00:00+00:00,,,,0.0,78353,0.0,0.0
2020-04-09 00:00:00+00:00,,,,0.0,90198,0.0,0.0
2020-04-10 00:00:00+00:00,,,,0.0,44097,0.0,0.0
2020-04-11 00:00:00+00:00,,,,0.0,95816,0.0,0.0
2020-04-12 00:00:00+00:00,,,,0.0,54007,0.0,0.0
2020-04-13 00:00:00+00:00,,,,0.0,33566,0.0,0.0
2020-04-14 00:00:00+00:00,,,,0.0,41172,0.0,0.0
2020-04-15 00:00:00+00:00,,,,0.0,34948,0.0,0.0
2020-04-16 00:00:00+00:00,,,,0.0,39990,0.0,0.0
2020-04-17 00:00:00+00:00,,,,0.0,1571,0.0,0.0
2020-04-18 00:00:00+00:00,,,,0.0,12923,0.0,0.0
2020-04-19 00:00:00+00:00,,,,0.0,30243,0.0,0.0
2020-04-20 00:00:00+00:00,,,,0.0,21889,0.0,0.0
2020-04-21 00:00:00+00:00,,,,0.0,2117,0.0,0.0
2020-04-22 00:00:00+00:00,,,,0.0,2107,0.0,0.0
2020-05-16 00:00:00+00:00,0.3880069851875305,0.4411109983921051,0.38643699884414673,0.3874810039997101,6604,0.0,0.0
2020-05-17 00:00:00+00:00,0.38749200105667114,0.4169430136680603,0.3404040038585663,0.3904609978199005,3239,0.0,0.0
2020-05-18 00:00:00+00:00,0.39045700430870056,0.9993720054626465,0.10016199946403503,0.8891239762306213,60069,0.0,0.0
2020-05-19 00:00:00+00:00,0.8893240094184875,0.8926780223846436,0.20378099381923676,0.20378099381923676,7373,0.0,0.0
2020-05-20 00:00:00+00:00,0.20364299416542053,0.45058000087738037,0.16023099422454834,0.3476189970970154,55259,0.0,0.0
2020-05-21 00:00:00+00:00,0.3475640118122101,0.8920069932937622,0.16464300453662872,0.8809469938278198,71761,0.0,0.0
2020-05-22 00:00:00+00:00,0.8811799883842468,2.0050690174102783,0.5310710072517395,1.3912030458450317,30387,0.0,0.0
2020-05-23 00:00:00+00:00,1.3913969993591309,1.3913969993591309,0.7173410058021545,1.0556279420852661,8500,0.0,0.0
2020-05-24 00:00:00+00:00,1.0554640293121338,1.0571850538253784,0.6002269983291626,0.9600039720535278,11898,0.0,0.0
2020-05-25 00:00:00+00:00,0.9602469801902771,1.0558580160140991,0.7511820197105408,1.0526210069656372,12990,0.0,0.0
2020-05-26 00:00:00+00:00,1.0527180433273315,1.0527180433273315,0.6972240209579468,0.9678800106048584,7273,0.0,0.0
2020-05-27 00:00:00+00:00,0.9678800106048584,0.9679509997367859,0.6519569754600525,0.7541940212249756,13744,0.0,0.0
2020-05-28 00:00:00+00:00,0.7539510130882263,0.9844549894332886,0.6647220253944397,0.9805570244789124,12625,0.0,0.0
2020-05-29 00:00:00+00:00,0.9803400039672852,0.9866390228271484,0.614251971244812,0.8327190279960632,14692,0.0,0.0
2020-05-30 00:00:00+00:00,0.8326110243797302,0.8834689855575562,0.6120730042457581,0.7447140216827393,14073,0.0,0.0
2020-05-31 00:00:00+00:00,0.7446609735488892,0.901328980922699,0.6889669895172119,0.8175039887428284,11356,0.0,0.0
2020-06-01 00:00:00+00:00,0.8181890249252319,0.8210150003433228,0.6095529794692993,0.7845249772071838,19199,0.0,0.0
2020-06-02 00:00:00+00:00,0.7839620113372803,1.0003390312194824,0.4096139967441559,0.8190739750862122,17495,0.0,0.0
2020-06-03 00:00:00+00:00,0.8190739750862122,0.9498199820518494,0.5971140265464783,0.5993840098381042,17159,0.0,0.0
2020-06-04 00:00:00+00:00,0.6996189951896667,0.9019669890403748,0.6359099745750427,0.6840699911117554,16445,0.0,0.0
2020-06-05 00:00:00+00:00,0.6840699911117554,0.8011760115623474,0.6093000173568726,0.6615409851074219,15626,0.0,0.0
2020-06-06 00:00:00+00:00,0.6616079807281494,0.7473660111427307,0.6216520071029663,0.666998028755188,15238,0.0,0.0
2020-06-07 00:00:00+00:00,0.666998028755188,0.7537209987640381,0.666998028755188,0.7215560078620911,10763,0.0,0.0
2020-06-08 00:00:00+00:00,0.7215740084648132,0.8023560047149658,0.6911889910697937,0.762952983379364,15842,0.0,0.0
2020-06-09 00:00:00+00:00,0.7642589807510376,0.8821009993553162,0.7166309952735901,0.8220620155334473,17451,0.0,0.0
2020-06-10 00:00:00+00:00,0.8221179842948914,0.844539999961853,0.7017189860343933,0.7617380023002625,15137,0.0,0.0
2020-06-11 00:00:00+00:00,0.7617949843406677,0.8125960230827332,0.5883619785308838,0.7510989904403687,17501,0.0,0.0
2020-06-12 00:00:00+00:00,0.7515950202941895,0.7526699900627136,0.5962070226669312,0.6657410264015198,16473,0.0,0.0
2020-06-13 00:00:00+00:00,0.6659049987792969,0.7030429840087891,0.5108270049095154,0.5392900109291077,14934,0.0,0.0
2020-06-14 00:00:00+00:00,0.5393139719963074,0.7600619792938232,0.5119670033454895,0.7314850091934204,21342,0.0,0.0
2020-06-15 00:00:00+00:00,0.7314850091934204,0.7465149760246277,0.521606981754303,0.5436549782752991,17025,0.0,0.0
2020-06-16 00:00:00+00:00,0.5435910224914551,0.6918209791183472,0.31046101450920105,0.4391700029373169,15887,0.0,0.0
2020-06-17 00:00:00+00:00,0.43907201290130615,0.503512978553772,0.3486889898777008,0.3607510030269623,16068,0.0,0.0
