TIMESTAMP,DOGO29570_OPEN_PRICE_USD,DOGO29570_HIGH_PRICE_USD,DOGO29570_LOW_PRICE_USD,DOGO29570_CLOSE_PRICE_USD,DOGO29570_VOLUME_USD,DOGO29570_DIVIDENDS_USD,DOGO29570_STOCK_SPLITS_USD
2024-02-28 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,99393,0.0,0.0
2024-02-29 00:00:00+00:00,,,,0.0,216822,0.0,0.0
2024-03-01 00:00:00+00:00,,,,0.0,54203,0.0,0.0
2024-03-02 00:00:00+00:00,,,,0.0,5395,0.0,0.0
2024-03-03 00:00:00+00:00,,,,0.0,50845,0.0,0.0
2024-03-04 00:00:00+00:00,,,,0.0,8228,0.0,0.0
2024-03-05 00:00:00+00:00,,,,0.0,2364,0.0,0.0
2024-03-06 00:00:00+00:00,,,,0.0,6174,0.0,0.0
2024-03-07 00:00:00+00:00,,,,0.0,50798,0.0,0.0
2024-03-08 00:00:00+00:00,,,,0.0,4032,0.0,0.0
2024-03-09 00:00:00+00:00,,,,0.0,1684,0.0,0.0
2024-03-10 00:00:00+00:00,,,,0.0,1123,0.0,0.0
2024-03-11 00:00:00+00:00,,,,0.0,540,0.0,0.0
2024-03-12 00:00:00+00:00,,,,0.0,645,0.0,0.0
2024-03-13 00:00:00+00:00,,,,0.0,545,0.0,0.0
2024-03-14 00:00:00+00:00,,,,0.0,145,0.0,0.0
2024-03-15 00:00:00+00:00,,,,0.0,571,0.0,0.0
2024-03-16 00:00:00+00:00,,,,0.0,95,0.0,0.0
2024-03-17 00:00:00+00:00,,,,0.0,675,0.0,0.0
2024-03-18 00:00:00+00:00,,,,0.0,245,0.0,0.0
2024-03-19 00:00:00+00:00,,,,0.0,99,0.0,0.0
2024-03-20 00:00:00+00:00,,,,0.0,369,0.0,0.0
2024-03-21 00:00:00+00:00,,,,0.0,40,0.0,0.0
2024-03-22 00:00:00+00:00,,,,0.0,32,0.0,0.0
2024-03-23 00:00:00+00:00,,,,0.0,54,0.0,0.0
2024-03-24 00:00:00+00:00,,,,0.0,11,0.0,0.0
2024-03-25 00:00:00+00:00,,,,0.0,1909,0.0,0.0
2024-03-26 00:00:00+00:00,,,,0.0,4258,0.0,0.0
2024-03-27 00:00:00+00:00,0.0,0.5853000283241272,0.0,3.999999989900971e-06,546878,0.0,0.0
2024-03-28 00:00:00+00:00,3.999999989900971e-06,1.8000000636675395e-05,0.0,9.999999974752427e-07,193052,0.0,0.0
2024-03-29 00:00:00+00:00,9.999999974752427e-07,4.999999873689376e-06,0.0,4.999999873689376e-06,87618,0.0,0.0
2024-03-30 00:00:00+00:00,,,,0.0,71129,0.0,0.0
