TIMESTAMP,BABYGME_OPEN_PRICE_USD,BABYGME_HIGH_PRICE_USD,BABYGME_LOW_PRICE_USD,BABYGME_CLOSE_PRICE_USD,BABYGME_VOLUME_USD,BABYGME_DIVIDENDS_USD,BABYGME_STOCK_SPLITS_USD
2024-05-21 00:00:00+00:00,,,,0.0,656512,0.0,0.0
2024-05-22 00:00:00+00:00,,,,0.0,94249,0.0,0.0
2024-05-23 00:00:00+00:00,,,,0.0,19119,0.0,0.0
2024-05-24 00:00:00+00:00,,,,0.0,6869,0.0,0.0
2024-05-25 00:00:00+00:00,,,,0.0,3840,0.0,0.0
2024-05-26 00:00:00+00:00,,,,0.0,2445,0.0,0.0
2024-05-27 00:00:00+00:00,,,,0.0,643,0.0,0.0
2024-05-28 00:00:00+00:00,,,,0.0,1345,0.0,0.0
2024-05-29 00:00:00+00:00,,,,0.0,1220,0.0,0.0
2024-05-30 00:00:00+00:00,,,,0.0,576,0.0,0.0
2024-05-31 00:00:00+00:00,,,,0.0,361,0.0,0.0
2024-06-01 00:00:00+00:00,,,,0.0,594,0.0,0.0
2024-06-02 00:00:00+00:00,,,,0.0,95,0.0,0.0
2024-06-03 00:00:00+00:00,,,,0.0,82871,0.0,0.0
2024-06-04 00:00:00+00:00,,,,0.0,1262,0.0,0.0
2024-06-05 00:00:00+00:00,,,,0.0,689,0.0,0.0
2024-06-06 00:00:00+00:00,,,,0.0,4217,0.0,0.0
2024-06-07 00:00:00+00:00,,,,0.0,6064,0.0,0.0
2024-06-08 00:00:00+00:00,,,,0.0,474,0.0,0.0
2024-06-09 00:00:00+00:00,,,,0.0,1046,0.0,0.0
2024-06-10 00:00:00+00:00,,,,0.0,855,0.0,0.0
2024-06-11 00:00:00+00:00,,,,0.0,412,0.0,0.0
2024-06-12 00:00:00+00:00,,,,0.0,522,0.0,0.0
2024-06-13 00:00:00+00:00,,,,0.0,44,0.0,0.0
2024-06-14 00:00:00+00:00,,,,0.0,498,0.0,0.0
2024-06-15 00:00:00+00:00,,,,0.0,401,0.0,0.0
2024-06-16 00:00:00+00:00,,,,0.0,655,0.0,0.0
2024-06-17 00:00:00+00:00,,,,0.0,391,0.0,0.0
