TIMESTAMP,SHARE34031_OPEN_PRICE_USD,SHARE34031_HIGH_PRICE_USD,SHARE34031_LOW_PRICE_USD,SHARE34031_CLOSE_PRICE_USD,SHARE34031_VOLUME_USD,SHARE34031_DIVIDENDS_USD,SHARE34031_STOCK_SPLITS_USD
2024-11-27 00:00:00+00:00,2.300000051036477e-05,2.700000004551839e-05,2.300000051036477e-05,2.5999999706982635e-05,5281,0.0,0.0
2024-11-28 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.5999999706982635e-05,2.5999999706982635e-05,1930,0.0,0.0
2024-11-29 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.4000000848900527e-05,3574,0.0,0.0
2024-11-30 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,520,0.0,0.0
2024-12-01 00:00:00+00:00,2.4000000848900527e-05,2.499999936844688e-05,2.4000000848900527e-05,2.4000000848900527e-05,1165,0.0,0.0
2024-12-02 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,1686,0.0,0.0
2024-12-03 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.2000000171829015e-05,1254,0.0,0.0
2024-12-04 00:00:00+00:00,2.2000000171829015e-05,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,203,0.0,0.0
2024-12-05 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,2.300000051036477e-05,2.4000000848900527e-05,415,0.0,0.0
2024-12-06 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2459,0.0,0.0
2024-12-07 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,456,0.0,0.0
2024-12-08 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,224,0.0,0.0
