TIMESTAMP,GOLDEN_OPEN_PRICE_USD,GOLDEN_HIGH_PRICE_USD,GOLDEN_LOW_PRICE_USD,GOLDEN_CLOSE_PRICE_USD,GOLDEN_VOLUME_USD,GOLDEN_DIVIDENDS_USD,GOLDEN_STOCK_SPLITS_USD
2023-03-27 00:00:00+00:00,,,,0.0,51526,0.0,0.0
2023-03-28 00:00:00+00:00,,,,0.0,38235,0.0,0.0
2023-03-29 00:00:00+00:00,,,,0.0,12080,0.0,0.0
2023-03-30 00:00:00+00:00,,,,0.0,2838,0.0,0.0
2023-03-31 00:00:00+00:00,,,,0.0,20079,0.0,0.0
2023-04-01 00:00:00+00:00,,,,0.0,6188,0.0,0.0
2023-04-02 00:00:00+00:00,,,,0.0,15394,0.0,0.0
2023-04-03 00:00:00+00:00,,,,0.0,19102,0.0,0.0
2023-04-04 00:00:00+00:00,,,,0.0,4642,0.0,0.0
2023-04-05 00:00:00+00:00,,,,0.0,8555,0.0,0.0
2023-04-06 00:00:00+00:00,,,,0.0,2987,0.0,0.0
2023-04-07 00:00:00+00:00,,,,0.0,11308,0.0,0.0
2023-04-08 00:00:00+00:00,,,,0.0,2132,0.0,0.0
2023-04-09 00:00:00+00:00,,,,0.0,2300,0.0,0.0
2023-04-10 00:00:00+00:00,,,,0.0,7107,0.0,0.0
2023-04-11 00:00:00+00:00,,,,0.0,7218,0.0,0.0
2023-04-12 00:00:00+00:00,,,,0.0,2912,0.0,0.0
2023-04-13 00:00:00+00:00,,,,0.0,4260,0.0,0.0
2023-04-14 00:00:00+00:00,,,,0.0,4112,0.0,0.0
2023-04-15 00:00:00+00:00,,,,0.0,1789,0.0,0.0
2023-04-16 00:00:00+00:00,,,,0.0,601,0.0,0.0
2023-04-17 00:00:00+00:00,,,,0.0,1258,0.0,0.0
2023-04-18 00:00:00+00:00,,,,0.0,2128,0.0,0.0
2023-04-19 00:00:00+00:00,,,,0.0,7082,0.0,0.0
2023-04-20 00:00:00+00:00,,,,0.0,1356,0.0,0.0
2023-04-21 00:00:00+00:00,,,,0.0,1399,0.0,0.0
2023-04-22 00:00:00+00:00,,,,0.0,3042,0.0,0.0
2023-04-23 00:00:00+00:00,,,,0.0,1981,0.0,0.0
2023-04-24 00:00:00+00:00,,,,0.0,967,0.0,0.0
2023-04-25 00:00:00+00:00,,,,0.0,397,0.0,0.0
2023-04-26 00:00:00+00:00,,,,0.0,2298,0.0,0.0
2023-04-27 00:00:00+00:00,,,,0.0,469,0.0,0.0
2023-04-28 00:00:00+00:00,,,,0.0,1117,0.0,0.0
2023-04-29 00:00:00+00:00,,,,0.0,1926,0.0,0.0
2023-04-30 00:00:00+00:00,,,,0.0,3389,0.0,0.0
2023-05-01 00:00:00+00:00,,,,0.0,3313,0.0,0.0
2023-05-02 00:00:00+00:00,,,,0.0,4871,0.0,0.0
2023-05-03 00:00:00+00:00,,,,0.0,3900,0.0,0.0
2023-05-04 00:00:00+00:00,,,,0.0,1534,0.0,0.0
2023-05-05 00:00:00+00:00,,,,0.0,4641,0.0,0.0
2023-05-06 00:00:00+00:00,,,,0.0,2120,0.0,0.0
2023-05-07 00:00:00+00:00,,,,0.0,4094,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,5614,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,1263,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,2695,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,2448,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,1606,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,3390,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,1317,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,2895,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,379,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,716,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,1068,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,2364,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,1363,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,287,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,111,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,660,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,354,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,222,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,318,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,673,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,414,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,221,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,2970,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,925,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,213,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,1229,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,304,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,452,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,145,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,1067,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,5571,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,506,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,254,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,48,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,871,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,10055,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,26590,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,11529,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,1032,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,1827,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,1433,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,571,0.0,0.0
